subject_id,ml_pairwise,ml_hit,ml_sep,control_pairwise,control_hit,control_sep,pairwise_delta,hit_delta
MLV1_FA_006,0.0,0.0,-2.781886190289476,1.0,1.0,7.0,-1.0,-1.0
MLV1_FA_008,0.0,0.0,-3.0524487951570873,1.0,1.0,2.5,-1.0,-1.0
MLV1_OLD_023,0.0,0.0,-2.4493765275874573,1.0,1.0,12.0,-1.0,-1.0
MLV1_OLD_004,0.0,0.0,-2.1806913919114166,0.6666666666666666,1.0,2.0,-0.6666666666666666,-1.0
MLV1_PUB_005,0.5,1.0,1.7031091845189446,1.0,1.0,11.5,-0.5,0.0
MLV1_FA_012,0.5,0.0,-0.3325073379009836,1.0,1.0,3.5,-0.5,-1.0
MLV1_OLD_015,0.14285714285714285,0.0,-1.852246080310922,0.5,1.0,0.4285714285714306,-0.35714285714285715,-1.0
MLV1_FA_002,0.5,1.0,0.6423177431582855,0.5,1.0,0.5,0.0,0.0
MLV1_PUB_022,0.5,1.0,0.4774364257058821,0.5,0.0,-2.0,0.0,1.0
MLV1_OLD_001,0.6,1.0,1.2024792413172634,0.45,1.0,0.6000000000000014,0.14999999999999997,0.0
MLV1_OLD_055,0.4722222222222222,0.0,-0.13565285238782,0.2777777777777778,0.0,-4.333333333333343,0.19444444444444442,0.0
MLV1_OLD_002,0.8,1.0,1.9476793070239171,0.5333333333333333,1.0,1.3333333333333286,0.2666666666666667,0.0
MLV1_OLD_020,0.75,1.0,1.9025986914843935,0.4166666666666667,0.0,-1.4166666666666714,0.3333333333333333,1.0
MLV1_OLD_026,0.7777777777777778,1.0,3.5608213025061213,0.3333333333333333,0.0,-1.3333333333333428,0.4444444444444445,1.0
MLV1_OLD_006,0.8,1.0,0.617445309195389,0.3,0.0,-5.900000000000006,0.5,1.0
MLV1_PUB_020,0.5,1.0,2.5324186394159973,0.0,0.0,-6.0,0.5,1.0
MLV1_OLD_016,1.0,1.0,1.6599265380793289,0.5,0.0,-2.5,0.5,1.0
MLV1_FA_011,1.0,1.0,4.233570219815201,0.5,0.0,-4.0,0.5,1.0
MLV1_FA_010,1.0,1.0,2.1073486581435423,0.5,1.0,2.0,0.5,0.0
MLV1_OLD_054,0.6666666666666666,1.0,0.15371985250135634,0.0,0.0,-11.0,0.6666666666666666,1.0
MLV1_PUB_014,0.75,1.0,2.252905101061042,0.0,0.0,-15.5,0.75,1.0
MLV1_OLD_005,1.0,1.0,1.3671484788308264,0.16666666666666666,0.0,-4.666666666666664,0.8333333333333334,1.0
MLV1_PUB_010,1.0,1.0,4.547222261215895,0.0,0.0,-14.5,1.0,1.0
