feature_set,n_subjects,macro_pairwise,subject_hit_rate,median_sep,vs_control
SHINSAL,23,0.647912353347136,0.6521739130434783,0.4174485522363405,0.1633712905452036
TENGOD,23,0.6438750862663907,0.6521739130434783,0.6002943673885014,0.15933402346445824
BASIC+TENGOD,23,0.5887508626639061,0.6086956521739131,1.206485273915409,0.10420979986197365
TENGOD+SHINSAL,23,0.5838164251207729,0.6956521739130435,0.43084483705310106,0.09927536231884049
YONGSHIN+SHINSAL,23,0.579951690821256,0.6086956521739131,0.7612372306333486,0.09541062801932354
UNSEONG+SHINSAL,23,0.5744996549344376,0.5217391304347826,0.17181288902679182,0.08995859213250512
TENGOD+YONGSHIN,23,0.5587646652864044,0.6086956521739131,0.6029263845693476,0.07422360248447202
YONGSHIN,23,0.5544168391994478,0.7391304347826086,0.37934790965790693,0.06987577639751541
BASIC+TENGOD+RELATIONS,23,0.5533126293995858,0.5217391304347826,0.18168056256270448,0.06877156659765338
ALL_TRADITIONAL_4,23,0.5468599033816425,0.6086956521739131,1.2317773202115152,0.062318840579710044
YONGSHIN+UNSEONG,23,0.5399240855762595,0.6521739130434783,1.2147053275070891,0.05538302277432705
TENGOD+UNSEONG+SHINSAL,23,0.5361973775017254,0.4782608695652174,-0.05458458047132986,0.05165631469979293
TENGOD+YONGSHIN+UNSEONG,23,0.5360593512767425,0.6086956521739131,1.2019609330259362,0.0515182884748101
UNSEONG,23,0.5228088336783989,0.5652173913043478,0.06263581888516512,0.03826777087646649
TENGOD+UNSEONG,23,0.5076949620427882,0.6521739130434783,0.49353232368981637,0.023153899240855758
TENGOD+YONGSHIN+SHINSAL,23,0.5033816425120773,0.6086956521739131,0.9097845625054539,0.018840579710144856
ALL_WITH_BASIC_RELATIONS,23,0.4953761214630779,0.6086956521739131,0.3759238200476913,0.01083505866114548
