held_out_subject,chosen_feature_set,chosen_inner_pairwise,runner_up,runner_up_inner_pairwise
MLV1_FA_002,TENGOD,0.6274603174603175,TENGOD+YONGSHIN,0.6151875901875902
MLV1_FA_006,YONGSHIN+UNSEONG,0.6200324675324675,TENGOD,0.6052128427128428
MLV1_FA_008,TENGOD+SHINSAL,0.6448484848484849,TENGOD,0.639935064935065
MLV1_FA_010,TENGOD,0.5810173160173161,SHINSAL,0.580414862914863
MLV1_FA_011,YONGSHIN+SHINSAL,0.5825901875901875,YONGSHIN,0.5741594516594517
MLV1_FA_012,TENGOD,0.605414862914863,TENGOD+YONGSHIN+UNSEONG,0.576605339105339
MLV1_OLD_001,YONGSHIN+UNSEONG,0.6260678210678211,TENGOD+YONGSHIN+UNSEONG,0.6156385281385282
MLV1_OLD_002,TENGOD,0.5735064935064935,UNSEONG+SHINSAL,0.5617316017316017
MLV1_OLD_004,BASIC+TENGOD,0.6277308802308802,BASIC+TENGOD+RELATIONS,0.5995634920634922
MLV1_OLD_005,TENGOD,0.6099855699855701,BASIC+TENGOD,0.5872294372294371
MLV1_OLD_006,TENGOD,0.598495670995671,SHINSAL,0.5954906204906205
MLV1_OLD_015,TENGOD,0.5772222222222222,UNSEONG+SHINSAL,0.558510101010101
MLV1_OLD_016,SHINSAL,0.6289033189033189,TENGOD,0.6214249639249639
MLV1_OLD_020,TENGOD,0.5956168831168831,TENGOD+YONGSHIN+UNSEONG,0.5738997113997114
MLV1_OLD_023,TENGOD+YONGSHIN,0.6869516594516594,TENGOD+YONGSHIN+UNSEONG,0.6514790764790767
MLV1_OLD_026,TENGOD,0.5852128427128427,YONGSHIN,0.5600974025974026
MLV1_OLD_054,YONGSHIN+SHINSAL,0.5684271284271285,SHINSAL,0.5672510822510823
MLV1_OLD_055,YONGSHIN+SHINSAL,0.5724567099567099,TENGOD,0.5724170274170275
MLV1_PUB_005,TENGOD,0.5909163059163058,SHINSAL,0.577943722943723
MLV1_PUB_010,SHINSAL,0.6235822510822511,YONGSHIN+SHINSAL,0.6111399711399712
MLV1_PUB_014,YONGSHIN+SHINSAL,0.6349170274170274,SHINSAL,0.6333585858585858
MLV1_PUB_020,SHINSAL,0.588982683982684,TENGOD,0.5809704184704185
MLV1_PUB_022,YONGSHIN,0.6361832611832613,YONGSHIN+SHINSAL,0.6285209235209235
