feature,nonzero_rows,nonzero_share,n_unique
yongshin__dw_yong_fit,78,0.6902654867256637,8
yongshin__dw_hee_fit,95,0.8407079646017699,10
yongshin__dw_gi_fit,83,0.7345132743362832,10
yongshin__dw_gu_fit,28,0.24778761061946902,6
yongshin__dw_yong_stem_fit,26,0.23008849557522124,2
yongshin__dw_yong_branch_fit,54,0.4778761061946903,6
yongshin__dw_supplies_fav,85,0.7522123893805309,2
yongshin__dw_supplies_unfav,75,0.6637168141592921,2
yongshin__sw_yong_fit,65,0.5752212389380531,10
yongshin__sw_hee_fit,91,0.8053097345132744,11
yongshin__sw_gi_fit,91,0.8053097345132744,11
yongshin__sw_gu_fit,26,0.23008849557522124,9
yongshin__sw_yong_stem_fit,21,0.18584070796460178,2
yongshin__sw_yong_branch_fit,49,0.4336283185840708,6
yongshin__sw_supplies_fav,100,0.8849557522123894,2
yongshin__sw_supplies_unfav,83,0.7345132743362832,2
unseong__dw_state_장생,5,0.04424778761061947,2
unseong__dw_state_목욕,14,0.12389380530973451,2
unseong__dw_state_관대,14,0.12389380530973451,2
unseong__dw_state_건록,15,0.13274336283185842,2
unseong__dw_state_제왕,14,0.12389380530973451,2
unseong__dw_state_쇠,12,0.10619469026548672,2
unseong__dw_state_병,5,0.04424778761061947,2
unseong__dw_state_사,12,0.10619469026548672,2
unseong__dw_state_묘,7,0.061946902654867256,2
unseong__dw_state_절,3,0.02654867256637168,2
unseong__dw_state_태,5,0.04424778761061947,2
unseong__dw_state_양,7,0.061946902654867256,2
unseong__dw_raw_score,108,0.9557522123893806,10
unseong__dw_score_x_strength,108,0.9557522123893806,13
unseong__sw_state_장생,13,0.11504424778761062,2
unseong__sw_state_목욕,7,0.061946902654867256,2
unseong__sw_state_관대,10,0.08849557522123894,2
unseong__sw_state_건록,8,0.07079646017699115,2
unseong__sw_state_제왕,8,0.07079646017699115,2
unseong__sw_state_쇠,13,0.11504424778761062,2
unseong__sw_state_병,10,0.08849557522123894,2
unseong__sw_state_사,4,0.035398230088495575,2
unseong__sw_state_묘,12,0.10619469026548672,2
unseong__sw_state_절,11,0.09734513274336283,2
unseong__sw_state_태,7,0.061946902654867256,2
unseong__sw_state_양,10,0.08849557522123894,2
unseong__sw_raw_score,106,0.9380530973451328,10
unseong__sw_score_x_strength,106,0.9380530973451328,13
shinsal__dw_breakdown_scalar,41,0.36283185840707965,7
shinsal__dw_gongmang_unseong,113,1.0,3
shinsal__dw_gongmang_rel,113,1.0,4
shinsal__dw_gongmang_yfit_branch,113,1.0,4
shinsal__dw_gongmang_trine,113,1.0,4
shinsal__dw_gongmang_is_gongmang,17,0.1504424778761062,2
shinsal__dw_noble_power,103,0.911504424778761,17
shinsal__dw_신살_길신__count,94,0.831858407079646,4
shinsal__dw_신살_길신__화개_,26,0.23008849557522124,2
shinsal__dw_신살_길신__반안_,26,0.23008849557522124,2
shinsal__dw_신살_흉살__count,63,0.5575221238938053,6
shinsal__dw_indicators_귀인력,103,0.911504424778761,17
shinsal__sw_세운_신살_길신__count,90,0.7964601769911505,4
shinsal__sw_세운_신살_길신__문창귀인_,11,0.09734513274336283,2
shinsal__sw_세운_신살_길신__천희_,15,0.13274336283185842,2
shinsal__sw_세운_신살_흉살__count,72,0.6371681415929203,5
shinsal__sw_indicators_귀인력,106,0.9380530973451328,24
shinsal__dw_신살_길신__장성_,28,0.24778761061946902,2
shinsal__sw_세운_신살_길신__록신_,8,0.07079646017699115,2
shinsal__sw_세운_신살_흉살__겁살_,18,0.1592920353982301,2
shinsal__sw_세운_신살_흉살__과숙_,12,0.10619469026548672,2
shinsal__dw_신살_흉살__과숙_,6,0.05309734513274336,2
shinsal__sw_세운_신살_길신__화개_,30,0.26548672566371684,2
shinsal__sw_세운_신살_길신__반안_,30,0.26548672566371684,2
shinsal__sw_세운_신살_길신__장성_,30,0.26548672566371684,2
shinsal__sw_세운_신살_길신__홍란_,12,0.10619469026548672,2
shinsal__sw_세운_신살_흉살__도화_,34,0.3008849557522124,2
shinsal__dw_신살_길신__록신_,15,0.13274336283185842,2
shinsal__dw_신살_길신__홍란_,18,0.1592920353982301,2
shinsal__dw_신살_흉살__도화_,20,0.17699115044247787,2
shinsal__sw_세운_신살_길신__천을귀인_,16,0.1415929203539823,2
shinsal__dw_신살_흉살__망신_,26,0.23008849557522124,2
shinsal__dw_신살_흉살__겁살_,31,0.2743362831858407,2
shinsal__dw_신살_길신__문창귀인_,1,0.008849557522123894,2
shinsal__dw_신살_흉살__역마_,14,0.12389380530973451,2
shinsal__sw_세운_신살_흉살__역마_,18,0.1592920353982301,2
shinsal__sw_세운_신살_흉살__망신_,18,0.1592920353982301,2
shinsal__sw_세운_신살_흉살__고진_,6,0.05309734513274336,2
shinsal__sw_세운_신살_흉살__양인_,8,0.07079646017699115,2
shinsal__dw_신살_흉살__고진_,12,0.10619469026548672,2
shinsal__dw_신살_흉살__양인_,14,0.12389380530973451,2
shinsal__dw_신살_길신__천을귀인_,9,0.07964601769911504,2
shinsal__dw_신살_길신__천희_,9,0.07964601769911504,2
