family,feature,nonzero_rows,nonzero_share,n_unique
TENGOD,tengod__dw_group_officer,8,0.07079646017699115,2
TENGOD,tengod__dw_group_output,42,0.37168141592920356,2
TENGOD,tengod__dw_group_peer,21,0.18584070796460178,2
TENGOD,tengod__dw_group_resource,18,0.1592920353982301,2
TENGOD,tengod__dw_group_wealth,24,0.21238938053097345,2
TENGOD,tengod__sw_group_officer,19,0.168141592920354,2
TENGOD,tengod__sw_group_output,20,0.17699115044247787,2
TENGOD,tengod__sw_group_peer,29,0.25663716814159293,2
TENGOD,tengod__sw_group_resource,22,0.19469026548672566,2
TENGOD,tengod__sw_group_wealth,23,0.20353982300884957,2
SHINSAL_ALL,shinsal__dw_breakdown_scalar,41,0.36283185840707965,7
SHINSAL_ALL,shinsal__dw_gongmang_is_gongmang,17,0.1504424778761062,2
SHINSAL_ALL,shinsal__dw_gongmang_rel,113,1.0,4
SHINSAL_ALL,shinsal__dw_gongmang_trine,113,1.0,4
SHINSAL_ALL,shinsal__dw_gongmang_unseong,113,1.0,3
SHINSAL_ALL,shinsal__dw_gongmang_yfit_branch,113,1.0,4
SHINSAL_ALL,shinsal__dw_indicators_귀인력,103,0.911504424778761,17
SHINSAL_ALL,shinsal__dw_noble_power,103,0.911504424778761,17
SHINSAL_ALL,shinsal__dw_신살_길신__count,94,0.831858407079646,4
SHINSAL_ALL,shinsal__dw_신살_길신__록신_,15,0.13274336283185842,2
SHINSAL_ALL,shinsal__dw_신살_길신__문창귀인_,1,0.008849557522123894,2
SHINSAL_ALL,shinsal__dw_신살_길신__반안_,26,0.23008849557522124,2
SHINSAL_ALL,shinsal__dw_신살_길신__장성_,28,0.24778761061946902,2
SHINSAL_ALL,shinsal__dw_신살_길신__천을귀인_,9,0.07964601769911504,2
SHINSAL_ALL,shinsal__dw_신살_길신__천희_,9,0.07964601769911504,2
SHINSAL_ALL,shinsal__dw_신살_길신__홍란_,18,0.1592920353982301,2
SHINSAL_ALL,shinsal__dw_신살_길신__화개_,26,0.23008849557522124,2
SHINSAL_ALL,shinsal__dw_신살_흉살__count,63,0.5575221238938053,6
SHINSAL_ALL,shinsal__dw_신살_흉살__겁살_,31,0.2743362831858407,2
SHINSAL_ALL,shinsal__dw_신살_흉살__고진_,12,0.10619469026548672,2
SHINSAL_ALL,shinsal__dw_신살_흉살__과숙_,6,0.05309734513274336,2
SHINSAL_ALL,shinsal__dw_신살_흉살__도화_,20,0.17699115044247787,2
SHINSAL_ALL,shinsal__dw_신살_흉살__망신_,26,0.23008849557522124,2
SHINSAL_ALL,shinsal__dw_신살_흉살__양인_,14,0.12389380530973451,2
SHINSAL_ALL,shinsal__dw_신살_흉살__역마_,14,0.12389380530973451,2
SHINSAL_ALL,shinsal__sw_indicators_귀인력,106,0.9380530973451328,24
SHINSAL_ALL,shinsal__sw_세운_신살_길신__count,90,0.7964601769911505,4
SHINSAL_ALL,shinsal__sw_세운_신살_길신__록신_,8,0.07079646017699115,2
SHINSAL_ALL,shinsal__sw_세운_신살_길신__문창귀인_,11,0.09734513274336283,2
SHINSAL_ALL,shinsal__sw_세운_신살_길신__반안_,30,0.26548672566371684,2
SHINSAL_ALL,shinsal__sw_세운_신살_길신__장성_,30,0.26548672566371684,2
SHINSAL_ALL,shinsal__sw_세운_신살_길신__천을귀인_,16,0.1415929203539823,2
SHINSAL_ALL,shinsal__sw_세운_신살_길신__천희_,15,0.13274336283185842,2
SHINSAL_ALL,shinsal__sw_세운_신살_길신__홍란_,12,0.10619469026548672,2
SHINSAL_ALL,shinsal__sw_세운_신살_길신__화개_,30,0.26548672566371684,2
SHINSAL_ALL,shinsal__sw_세운_신살_흉살__count,72,0.6371681415929203,5
SHINSAL_ALL,shinsal__sw_세운_신살_흉살__겁살_,18,0.1592920353982301,2
SHINSAL_ALL,shinsal__sw_세운_신살_흉살__고진_,6,0.05309734513274336,2
SHINSAL_ALL,shinsal__sw_세운_신살_흉살__과숙_,12,0.10619469026548672,2
SHINSAL_ALL,shinsal__sw_세운_신살_흉살__도화_,34,0.3008849557522124,2
SHINSAL_ALL,shinsal__sw_세운_신살_흉살__망신_,18,0.1592920353982301,2
SHINSAL_ALL,shinsal__sw_세운_신살_흉살__양인_,8,0.07079646017699115,2
SHINSAL_ALL,shinsal__sw_세운_신살_흉살__역마_,18,0.1592920353982301,2
SHINSAL_GONGMANG,shinsal__dw_gongmang_is_gongmang,17,0.1504424778761062,2
SHINSAL_GONGMANG,shinsal__dw_gongmang_rel,113,1.0,4
SHINSAL_GONGMANG,shinsal__dw_gongmang_trine,113,1.0,4
SHINSAL_GONGMANG,shinsal__dw_gongmang_unseong,113,1.0,3
SHINSAL_GONGMANG,shinsal__dw_gongmang_yfit_branch,113,1.0,4
SHINSAL_NOBLE,shinsal__dw_indicators_귀인력,103,0.911504424778761,17
SHINSAL_NOBLE,shinsal__dw_noble_power,103,0.911504424778761,17
SHINSAL_NOBLE,shinsal__dw_신살_길신__문창귀인_,1,0.008849557522123894,2
SHINSAL_NOBLE,shinsal__dw_신살_길신__천을귀인_,9,0.07964601769911504,2
SHINSAL_NOBLE,shinsal__sw_indicators_귀인력,106,0.9380530973451328,24
SHINSAL_NOBLE,shinsal__sw_세운_신살_길신__문창귀인_,11,0.09734513274336283,2
SHINSAL_NOBLE,shinsal__sw_세운_신살_길신__천을귀인_,16,0.1415929203539823,2
SHINSAL_SCALAR,shinsal__dw_breakdown_scalar,41,0.36283185840707965,7
SHINSAL_OTHER,shinsal__dw_신살_길신__count,94,0.831858407079646,4
SHINSAL_OTHER,shinsal__dw_신살_길신__록신_,15,0.13274336283185842,2
SHINSAL_OTHER,shinsal__dw_신살_길신__반안_,26,0.23008849557522124,2
SHINSAL_OTHER,shinsal__dw_신살_길신__장성_,28,0.24778761061946902,2
SHINSAL_OTHER,shinsal__dw_신살_길신__천희_,9,0.07964601769911504,2
SHINSAL_OTHER,shinsal__dw_신살_길신__홍란_,18,0.1592920353982301,2
SHINSAL_OTHER,shinsal__dw_신살_길신__화개_,26,0.23008849557522124,2
SHINSAL_OTHER,shinsal__dw_신살_흉살__count,63,0.5575221238938053,6
SHINSAL_OTHER,shinsal__dw_신살_흉살__겁살_,31,0.2743362831858407,2
SHINSAL_OTHER,shinsal__dw_신살_흉살__고진_,12,0.10619469026548672,2
SHINSAL_OTHER,shinsal__dw_신살_흉살__과숙_,6,0.05309734513274336,2
