feature,mean,median,std,min,max,positive_fraction,negative_fraction,sign_stability,nonzero_rows,nonzero_share,n_unique,abs_mean_coef
shinsal__sw_세운_신살_길신__천을귀인_,1.3817548214459667,1.3834593537528688,0.07533590308262798,1.2378239019875517,1.5648941825150746,1.0,0.0,1.0,16,0.1415929203539823,2,1.3817548214459667
shinsal__dw_신살_길신__천희_,-1.0950457043357755,-1.1373147503496621,0.14803219166089196,-1.2060915775010288,-0.48446693664770324,0.0,1.0,1.0,9,0.07964601769911504,2,1.0950457043357755
shinsal__sw_세운_신살_길신__장성_,-1.0190373804901713,-1.024918619742601,0.1090354881362543,-1.2923260356189328,-0.7281302962981754,0.0,1.0,1.0,30,0.26548672566371684,2,1.0190373804901713
shinsal__sw_세운_신살_길신__문창귀인_,0.9224036492229007,0.9340494680340923,0.08515126855993052,0.7891986377744358,1.1891105841126541,1.0,0.0,1.0,11,0.09734513274336283,2,0.9224036492229007
shinsal__sw_세운_신살_흉살__양인_,0.8845736540078584,0.9007367788084988,0.08227747645664667,0.7064314435549753,1.0462272149517242,1.0,0.0,1.0,8,0.07079646017699115,2,0.8845736540078584
shinsal__dw_신살_길신__홍란_,-0.825348011638991,-0.8360841136744909,0.12144541425054117,-1.0478635962636937,-0.3774537122017141,0.0,1.0,1.0,18,0.1592920353982301,2,0.825348011638991
shinsal__dw_신살_길신__count,-0.5472070912430401,-0.5486297004142544,0.07441784938699915,-0.7329580297652251,-0.4132563647112537,0.0,1.0,1.0,94,0.831858407079646,4,0.5472070912430401
shinsal__dw_breakdown_scalar,-0.5201562342832609,-0.4951095424037711,0.15058390838403746,-1.0254182920547699,-0.3119864201261193,0.0,1.0,1.0,41,0.36283185840707965,7,0.5201562342832609
shinsal__dw_gongmang_is_gongmang,-0.49461758668507866,-0.5067425802338142,0.12245354897991872,-0.8361945144285943,-0.12441685582913137,0.0,1.0,1.0,17,0.1504424778761062,2,0.49461758668507866
shinsal__sw_세운_신살_흉살__역마_,-0.4489912402041291,-0.463753282434255,0.11186386476463056,-0.6053040401608314,-0.01051658382140272,0.0,1.0,1.0,18,0.1592920353982301,2,0.4489912402041291
shinsal__dw_신살_길신__록신_,0.4445776053899316,0.44213060278220817,0.08575094943144027,0.2915691023500971,0.6552568107256462,1.0,0.0,1.0,15,0.13274336283185842,2,0.4445776053899316
shinsal__sw_세운_신살_길신__천희_,-0.41889381348360105,-0.4119268375891993,0.08389826175934241,-0.5538763881526676,-0.22528474291936318,0.0,1.0,1.0,15,0.13274336283185842,2,0.41889381348360105
shinsal__sw_세운_신살_흉살__고진_,-0.3446827919142996,-0.3541791041425708,0.08004720663599903,-0.5999508186488384,-0.16356804752715537,0.0,1.0,1.0,6,0.05309734513274336,2,0.3446827919142996
shinsal__dw_신살_흉살__겁살_,0.31912950137566254,0.3455886145967004,0.09792814583380237,0.07655458388830981,0.4694753252358613,1.0,0.0,1.0,31,0.2743362831858407,2,0.31912950137566254
