feature,mean,median,std,min,max,positive_fraction,negative_fraction,sign_stability
tengod__sw_group_resource,0.5898175793273341,0.5908920930983309,0.0645538145443283,0.4660824306672006,0.708011782156345,1.0,0.0,1.0
tengod__dw_group_wealth,0.520570332232526,0.5198836917224966,0.07170419413273083,0.40850732293066494,0.7653413578034285,1.0,0.0,1.0
tengod__dw_group_officer,0.27191774144735115,0.26431199318152576,0.07889189921130552,0.15730371400526866,0.5818928411837175,1.0,0.0,1.0
tengod__sw_group_peer,0.16224238127968374,0.15299444069233767,0.05779592642772514,0.0433844144569122,0.29552040598485363,1.0,0.0,1.0
tengod__sw_group_officer,-0.25186326944571485,-0.2579107317288575,0.058411649222576585,-0.3753261179392041,-0.10234268614384806,0.0,1.0,1.0
tengod__dw_group_output,-0.3037478748572973,-0.2869087944381351,0.08693608525780219,-0.5354835706491479,-0.17482566084595386,0.0,1.0,1.0
tengod__sw_group_output,-0.4750227828099924,-0.4764227255581135,0.06568263795650382,-0.601385023337297,-0.30832775343782765,0.0,1.0,1.0
tengod__dw_group_resource,-0.6380989130159136,-0.6461963488144055,0.11677824500910457,-1.0041123794923539,-0.26692129054611385,0.0,1.0,1.0
tengod__dw_group_peer,0.33153908374495494,0.33336676198879317,0.10593269136629811,-0.012698936770099211,0.5943228474229137,0.9565217391304348,0.043478260869565216,0.9565217391304348
tengod__sw_group_wealth,0.016019624280316936,0.013756719943269937,0.07247333567853739,-0.10054286950576947,0.2234920079714368,0.6086956521739131,0.391304347826087,0.6086956521739131
