subject_id,ml_pairwise,ml_hit,ml_sep,n_pos_x,n_neg_x,control_pairwise,control_hit,control_sep,n_pos_y,n_neg_y,delta
MLV1_FA_002,0.0,0.0,-1.718904267612011,2,1,0.5,1.0,0.5,2,1,-0.5
MLV1_FA_006,0.0,0.0,-1.3980087447723524,2,1,1.0,1.0,7.0,2,1,-1.0
MLV1_FA_008,0.0,0.0,-4.408655459050894,2,1,1.0,1.0,2.5,2,1,-1.0
MLV1_FA_010,1.0,1.0,0.6849734195913475,2,2,0.5,1.0,2.0,2,2,0.5
MLV1_FA_011,1.0,1.0,2.057234239410139,2,1,0.5,0.0,-4.0,2,1,0.5
MLV1_FA_012,0.5,0.0,-0.20462351847007998,2,2,1.0,1.0,3.5,2,2,-0.5
MLV1_OLD_001,1.0,1.0,1.4239262346051722,5,2,0.45,1.0,0.6000000000000014,5,2,0.55
MLV1_OLD_002,0.9666666666666667,1.0,0.9876051245913589,5,3,0.5333333333333333,1.0,1.3333333333333286,5,3,0.43333333333333335
MLV1_OLD_004,0.6666666666666666,1.0,0.36836942417392515,3,1,0.6666666666666666,1.0,2.0,3,1,0.0
MLV1_OLD_005,0.6666666666666666,0.0,-0.04307508618380218,3,1,0.16666666666666666,0.0,-4.666666666666664,3,1,0.5
MLV1_OLD_006,0.65,1.0,0.6002943673885014,5,2,0.3,0.0,-5.900000000000006,5,2,0.35000000000000003
MLV1_OLD_015,0.9285714285714286,1.0,1.3242988988218172,7,1,0.5,1.0,0.4285714285714306,7,1,0.4285714285714286
MLV1_OLD_016,0.25,0.0,-0.8091186893990095,2,1,0.5,0.0,-2.5,2,1,-0.25
MLV1_OLD_020,0.5,1.0,0.22825802611654733,3,4,0.4166666666666667,0.0,-1.4166666666666714,3,4,0.08333333333333331
MLV1_OLD_023,0.0,0.0,-3.402999690901391,2,1,1.0,1.0,12.0,2,1,-1.0
MLV1_OLD_026,1.0,1.0,1.215163580378575,3,3,0.3333333333333333,0.0,-1.3333333333333428,3,3,0.6666666666666667
MLV1_OLD_054,1.0,1.0,1.5827149074787623,3,1,0.0,0.0,-11.0,3,1,1.0
MLV1_OLD_055,0.9305555555555556,1.0,0.7649442213637585,12,3,0.2777777777777778,0.0,-4.333333333333343,12,3,0.6527777777777778
MLV1_PUB_005,1.0,1.0,0.9725449307327515,2,1,1.0,1.0,11.5,2,1,0.0
MLV1_PUB_010,1.0,1.0,1.7029673355433324,2,1,0.0,0.0,-14.5,2,1,1.0
MLV1_PUB_014,0.25,0.0,-0.6698474114437863,2,2,0.0,0.0,-15.5,2,2,0.25
MLV1_PUB_020,1.0,1.0,0.638172884592201,2,1,0.0,0.0,-6.0,2,1,1.0
MLV1_PUB_022,0.5,1.0,0.009671011311788824,2,2,0.5,0.0,-2.0,2,2,0.0
