selection_method,family,n_unique_selected_features,mean_outer_selection_rate,max_outer_selection_rate
ELASTICNET_AUTO,basic,54,0.3271604938271605,1.0
ELASTICNET_AUTO,shinsal,37,0.3873873873873874,1.0
ELASTICNET_AUTO,tengod,10,0.5599999999999999,1.0
ELASTICNET_AUTO,unseong,28,0.41666666666666663,1.0
ELASTICNET_AUTO,relation,21,0.4317460317460317,0.7333333333333333
ELASTICNET_AUTO,yongshin,16,0.3625,0.7333333333333333
STABILITY_SELECTED,basic,28,0.20952380952380953,0.9333333333333333
STABILITY_SELECTED,shinsal,18,0.2888888888888889,0.8666666666666667
STABILITY_SELECTED,tengod,8,0.4166666666666667,0.8666666666666667
STABILITY_SELECTED,unseong,19,0.2631578947368421,0.7333333333333333
STABILITY_SELECTED,relation,19,0.2070175438596491,0.6
STABILITY_SELECTED,yongshin,8,0.23333333333333334,0.4666666666666667
