C,l1_ratio,inner_pairwise,inner_p10,repeat,fold
1.0,0.5,0.5604653996101365,0.47748538011695907,0,0
1.0,0.75,0.5568104288499025,0.49195906432748543,0,0
0.03,0.75,0.5489400584795322,0.4213450292397661,0,0
0.3,0.75,0.5448952241715399,0.46695906432748535,0,0
0.3,0.5,0.5431408382066276,0.4853801169590643,0,0
0.03,0.25,0.5424098440545808,0.4732456140350877,0,0
0.1,0.75,0.5377314814814815,0.4671052631578947,0,0
0.03,1.0,0.5352582846003898,0.4263888888888889,0,0
0.1,0.5,0.5343689083820662,0.4695906432748538,0,0
0.1,1.0,0.5337110136452241,0.4622807017543859,0,0
0.03,0.5,0.5326267056530214,0.4263157894736842,0,0
0.3,1.0,0.5269858674463938,0.4244152046783626,0,0
0.3,0.25,0.5253045808966861,0.439766081871345,0,0
0.1,0.25,0.5222344054580896,0.46213450292397656,0,0
1.0,0.25,0.5167415065441381,0.42134502923976613,0,0
1.0,1.0,0.5147538986354776,0.43195906432748543,0,0
0.03,0.75,0.5974885129490393,0.540921052631579,0,1
1.0,0.5,0.5839250905040378,0.5387120579225843,0,1
0.1,1.0,0.5793964076858814,0.5244005847953217,0,1
0.03,0.5,0.5789699944305208,0.49403787245892505,0,1
1.0,0.25,0.5786984823169034,0.5082407407407408,0,1
1.0,0.75,0.573313492063492,0.5263972431077694,0,1
0.3,0.25,0.5721073517126148,0.5222076023391813,0,1
0.3,0.5,0.5704869813422444,0.5302276524644945,0,1
0.03,1.0,0.5687238930659984,0.466140350877193,0,1
0.03,0.25,0.566067947646895,0.49845795043163466,0,1
0.1,0.25,0.5619987468671679,0.5219959621275411,0,1
0.1,0.75,0.5555781815650237,0.5153098022834864,0,1
0.1,0.5,0.548901768309663,0.4780388471177945,0,1
1.0,1.0,0.5408451684767474,0.5003265107212476,0,1
0.3,0.75,0.5328895154553049,0.4743699526594264,0,1
0.3,1.0,0.5157111528822055,0.487724171539961,0,1
0.03,1.0,0.5475471085120207,0.520012995451592,0,2
0.03,0.75,0.5330896686159844,0.4765350877192982,0,2
0.1,1.0,0.5291301169590643,0.41162280701754383,0,2
0.03,0.5,0.5231115984405458,0.45723684210526316,0,2
0.03,0.25,0.5141447368421053,0.46557017543859647,0,2
0.1,0.25,0.49380685510071476,0.41935510071474985,0,2
0.3,0.75,0.4894574398960364,0.39910656270305395,0,2
0.1,0.75,0.4882959714100065,0.39946393762183235,0,2
0.1,0.5,0.48689896036387265,0.4185510071474984,0,2
1.0,1.0,0.4857943469785575,0.4129142300194932,0,2
0.3,1.0,0.482512995451592,0.39910656270305395,0,2
0.3,0.25,0.47822855750487325,0.42668128654970755,0,2
1.0,0.5,0.47789961013645227,0.41330409356725145,0,2
1.0,0.25,0.4741959064327485,0.433625730994152,0,2
0.3,0.5,0.47256335282651074,0.3961013645224171,0,2
1.0,0.75,0.46715399610136454,0.3984405458089669,0,2
0.03,0.75,0.5111894319131162,0.4479385964912281,0,3
1.0,0.25,0.498062865497076,0.39175438596491224,0,3
1.0,0.5,0.4841217627401838,0.37464912280701756,0,3
0.1,0.25,0.4678936925647452,0.3657017543859649,0,3
0.03,1.0,0.46646129211918685,0.4293859649122807,0,3
0.3,0.25,0.4654814118629908,0.3417543859649123,0,3
1.0,0.75,0.46493316624895575,0.4009649122807018,0,3
1.0,1.0,0.4593045112781955,0.3730701754385965,0,3
0.1,1.0,0.45744047619047623,0.35096491228070176,0,3
0.3,0.5,0.45393170426065155,0.3730701754385965,0,3
0.03,0.25,0.45382205513784457,0.3650877192982456,0,3
0.03,0.5,0.45128446115288223,0.38245614035087716,0,3
0.1,0.75,0.4511904761904762,0.37122807017543863,0,3
0.1,0.5,0.44508667502088556,0.3396491228070176,0,3
0.3,0.75,0.4309784878863826,0.3362280701754386,0,3
0.3,1.0,0.4143849206349206,0.3230952380952381,0,3
0.03,1.0,0.5857110948667966,0.5390350877192982,0,4
1.0,1.0,0.5814907639469044,0.5146686159844055,0,4
0.3,0.25,0.570984753550543,0.4883771929824562,0,4
1.0,0.75,0.5688770537454748,0.4953216374269006,0,4
0.03,0.75,0.5676094170611714,0.4827485380116959,0,4
1.0,0.5,0.5669967743432656,0.47990740740740745,0,4
0.3,0.5,0.5574004455583403,0.4854093567251462,0,4
1.0,0.25,0.549065951916829,0.44440545808966864,0,4
0.03,0.5,0.5450785528636406,0.5026315789473684,0,4
0.1,0.25,0.5413185742133111,0.4712183235867446,0,4
0.3,1.0,0.5225523298988212,0.4818372319688109,0,4
0.03,0.25,0.520326278659612,0.47401559454191033,0,4
0.1,0.75,0.5181454794393391,0.5109827810266407,0,4
0.3,0.75,0.5153682818156502,0.4586549707602339,0,4
0.1,0.5,0.512265617748074,0.43221247563352827,0,4
0.1,1.0,0.5082364476004827,0.4846410006497726,0,4
0.1,0.25,0.5957457300659055,0.502509746588694,1,0
0.3,0.75,0.5775770444630094,0.48945419103313836,1,0
0.3,1.0,0.5734028357931867,0.4521393762183236,1,0
0.3,0.25,0.572106191404437,0.48765107212475634,1,0
0.1,0.5,0.5717325721711686,0.4887378167641325,1,0
1.0,1.0,0.5640008586280516,0.4435136452241716,1,0
1.0,0.25,0.5591148008911166,0.4619611528822055,1,0
1.0,0.5,0.5589482966675949,0.4587037037037037,1,0
0.1,0.75,0.5580101875058016,0.46700292397660825,1,0
1.0,0.75,0.5570685974194746,0.4433528265107212,1,0
0.1,1.0,0.5516302329898821,0.4598489278752437,1,0
0.03,0.25,0.549278288313376,0.48661306042884994,1,0
