repeat,fold,model,n_subjects,macro_pairwise,hit_rate,median_sep,chosen_C,chosen_l1_ratio,n_selected_features
0,0,TENGOD_FIXED,19,0.5771929824561404,0.6842105263157895,0.13324597024231455,,,10
0,0,ALL_L2,19,0.6105263157894737,0.5789473684210527,0.3203713201853997,,,302
0,0,ELASTICNET_AUTO,19,0.5798245614035087,0.5789473684210527,1.7402480819670494,1.0,0.5,115
0,0,STABILITY_SELECTED,19,0.6298245614035087,0.5789473684210527,1.185302319112124,1.0,0.5,40
0,0,HGB_CONTEXTUAL,19,0.5561403508771929,0.5263157894736842,0.024808608783452923,,,302
0,1,TENGOD_FIXED,19,0.7842105263157895,0.7894736842105263,0.4838659236629673,,,10
0,1,ALL_L2,19,0.5078947368421053,0.47368421052631576,-0.2691456194578925,,,302
0,1,ELASTICNET_AUTO,19,0.45789473684210524,0.3684210526315789,-0.16211553910807197,0.03,0.75,27
0,1,STABILITY_SELECTED,19,0.4131578947368421,0.47368421052631576,-0.031509027218848185,0.03,0.75,11
0,1,HGB_CONTEXTUAL,19,0.45526315789473687,0.3684210526315789,-0.02294852322920571,,,302
0,2,TENGOD_FIXED,19,0.531328320802005,0.5789473684210527,0.07983930851826382,,,10
0,2,ALL_L2,19,0.6309523809523809,0.7368421052631579,1.1504646340761706,,,302
0,2,ELASTICNET_AUTO,19,0.48370927318295737,0.47368421052631576,-0.01697528198698056,0.03,1.0,19
0,2,STABILITY_SELECTED,19,0.5093984962406015,0.5263157894736842,0.06629465439472959,0.03,1.0,5
0,2,HGB_CONTEXTUAL,19,0.4705513784461153,0.5263157894736842,0.025249183615539073,,,302
0,3,TENGOD_FIXED,18,0.5979938271604939,0.6666666666666666,0.25446114223614447,,,10
0,3,ALL_L2,18,0.5354938271604939,0.6666666666666666,2.2304767274101067,,,302
0,3,ELASTICNET_AUTO,18,0.6033950617283951,0.6666666666666666,0.07915423788377726,0.03,0.75,26
0,3,STABILITY_SELECTED,18,0.683641975308642,0.7222222222222222,0.5619560308943401,0.03,0.75,7
0,3,HGB_CONTEXTUAL,18,0.49845679012345673,0.5,-0.002075566789462191,,,302
0,4,TENGOD_FIXED,18,0.4583333333333333,0.5,-0.08923980918675584,,,10
0,4,ALL_L2,18,0.5,0.5,-0.21027765585420455,,,302
0,4,ELASTICNET_AUTO,18,0.39814814814814814,0.4444444444444444,-0.016560733228470757,0.03,1.0,18
0,4,STABILITY_SELECTED,18,0.5023148148148148,0.5,0.08821107369799888,0.03,1.0,8
0,4,HGB_CONTEXTUAL,18,0.5648148148148148,0.6111111111111112,0.03854947722710389,,,302
1,0,TENGOD_FIXED,19,0.5350877192982456,0.631578947368421,0.18902701592834176,,,10
1,0,ALL_L2,19,0.5789473684210527,0.5263157894736842,0.23559735630368728,,,302
1,0,ELASTICNET_AUTO,19,0.6578947368421053,0.631578947368421,0.5669919901467599,0.1,0.25,109
1,0,STABILITY_SELECTED,19,0.5789473684210527,0.5263157894736842,0.13083076190553866,0.1,0.25,40
1,0,HGB_CONTEXTUAL,19,0.5043859649122806,0.5263157894736842,0.014155607590979224,,,302
1,1,TENGOD_FIXED,19,0.7219298245614035,0.6842105263157895,0.4451707681334768,,,10
1,1,ALL_L2,19,0.4324561403508772,0.47368421052631576,-0.168967587622177,,,302
1,1,ELASTICNET_AUTO,19,0.46140350877192976,0.5263157894736842,0.3091482609847893,1.0,0.75,105
1,1,STABILITY_SELECTED,19,0.4456140350877193,0.3684210526315789,-0.5303531071299714,1.0,0.75,40
1,1,HGB_CONTEXTUAL,19,0.5339181286549707,0.6842105263157895,0.03190125925620668,,,302
1,2,TENGOD_FIXED,19,0.5488721804511278,0.631578947368421,0.23154129134809548,,,10
