pool,subject_id,name,axis,positive_event_id,positive_year,positive_description,negative_event_id,negative_year,negative_description,abs_year_gap,positive_earlier,source_gate,model_ready,source_pair_eligible,chronology_gate_passed,chronology_block_reason
NEW_DEV_2_CONSUMED,NEWDEV2_006,Bob Lilly,COMPETITIVE,NEWDEV2_006_E001,1972,Won Super Bowl VI with the Dallas Cowboys.,NEWDEV2_006_E002,1971,Dallas lost Super Bowl V to the Baltimore Colts.,1,False,BOTH_EVENTS_SECONDARY_CONFIRMED,False,True,False,Positive events remain systematically earlier than negative events; lifecycle confounding not neutralized.
NEW_DEV_2_CONSUMED,NEWDEV2_010,Bob Pettit,COMPETITIVE,NEWDEV2_010_E001,1958,Led the St. Louis Hawks to the NBA championship over Boston.,NEWDEV2_010_E002,1957,Lost the NBA Finals to the Boston Celtics in Game 7.,1,False,BOTH_EVENTS_SECONDARY_CONFIRMED,False,True,False,Positive events remain systematically earlier than negative events; lifecycle confounding not neutralized.
NEW_DEV_2_CONSUMED,NEWDEV2_013,Bob Seagren,COMPETITIVE,NEWDEV2_013_E001,1968,Won the Olympic pole vault gold medal.,NEWDEV2_013_E002,1972,Won only silver at the Munich Olympics after a last-minute pole ban controversy disrupted the competition.,4,True,BOTH_EVENTS_SECONDARY_CONFIRMED,False,True,False,Positive events remain systematically earlier than negative events; lifecycle confounding not neutralized.
NEW_DEV_2_CONSUMED,NEWDEV2_016,Bobby Bell,COMPETITIVE,NEWDEV2_016_E001,1970,Won Super Bowl IV with the Kansas City Chiefs.,NEWDEV2_016_E002,1967,The Chiefs lost Super Bowl I to the Green Bay Packers.,3,False,BOTH_EVENTS_SECONDARY_CONFIRMED,False,True,False,Positive events remain systematically earlier than negative events; lifecycle confounding not neutralized.
NEW_DEV_2_CONSUMED,NEWDEV2_019,Bo Derek,PROJECT,NEWDEV2_019_E001,1979,The film 10 made her an international star and breakthrough screen figure.,NEWDEV2_019_E002,1984,Bolero was widely panned and received multiple Golden Raspberry awards.,5,True,BOTH_EVENTS_SECONDARY_CONFIRMED,False,True,False,Positive events remain systematically earlier than negative events; lifecycle confounding not neutralized.
NEW_DEV_2_CONSUMED,NEWDEV2_024,Bill Forsyth,PROJECT,NEWDEV2_024_E001,1983,Local Hero brought major international critical acclaim and awards recognition.,NEWDEV2_024_E002,1999,Gregory's Two Girls received a limited release and was followed by a long break from feature directing.,16,True,BOTH_EVENTS_SECONDARY_CONFIRMED,False,True,False,Positive events remain systematically earlier than negative events; lifecycle confounding not neutralized.
NEW_DEV_2_CONSUMED,NEWDEV2_028,Billy Backus,COMPETITIVE,NEWDEV2_028_E001,1970,Won the world welterweight championship by defeating José Nápoles.,NEWDEV2_028_E002,1971,Lost the welterweight title to Nápoles in their rematch.,1,True,BOTH_EVENTS_SECONDARY_CONFIRMED,False,True,False,Positive events remain systematically earlier than negative events; lifecycle confounding not neutralized.
NEW_DEV_2_CONSUMED,NEWDEV2_029,Billy Casper,COMPETITIVE,NEWDEV2_029_E001,1966,Won the U.S. Open after an 18-hole playoff against Arnold Palmer.,NEWDEV2_029_E002,1969,"Finished tied for second at the Masters, narrowly missing another major championship.",3,True,BOTH_EVENTS_SECONDARY_CONFIRMED,False,True,False,Positive events remain systematically earlier than negative events; lifecycle confounding not neutralized.
NEW_DEV_2_CONSUMED,NEWDEV2_030,Billy Kidd,COMPETITIVE,NEWDEV2_030_E001,1964,"Won Olympic silver in the slalom, the first U.S. men's Olympic medal in alpine skiing.",NEWDEV2_030_E002,1968,Was unable to match his 1964 Olympic success at Grenoble amid injuries and inconsistent results.,4,True,BOTH_EVENTS_SECONDARY_CONFIRMED,False,True,False,Positive events remain systematically earlier than negative events; lifecycle confounding not neutralized.
NEW_DEV_2_CONSUMED,NEWDEV2_035,Bill Steinkraus,COMPETITIVE,NEWDEV2_035_E001,1968,Won individual Olympic gold in show jumping.,NEWDEV2_035_E002,1972,Failed to repeat his individual Olympic title at Munich.,4,True,BOTH_EVENTS_SECONDARY_CONFIRMED,False,True,False,Positive events remain systematically earlier than negative events; lifecycle confounding not neutralized.
