pair_id,subject_id,axis,positive_earlier_calc,control_diff,diff__regime__active__elemental_environment_shift,diff__regime__active__geju_state_change,diff__regime__active__key_pillar_change,diff__regime__active__major_relation_change,diff__regime__active__rooting_exposure_change,diff__regime__active__special_structure_change,diff__regime__active__stem_branch_convergence,diff__regime__active__structural_activation_shift,diff__regime__active__tiaohou_change,diff__regime__active__yong_xiang_support_shift,diff__regime__ambiguous__elemental_environment_shift,diff__regime__ambiguous__geju_state_change,diff__regime__ambiguous__key_pillar_change,diff__regime__ambiguous__major_relation_change,diff__regime__ambiguous__rooting_exposure_change,diff__regime__ambiguous__special_structure_change,diff__regime__ambiguous__stem_branch_convergence,diff__regime__ambiguous__structural_activation_shift,diff__regime__ambiguous__tiaohou_change,diff__regime__ambiguous__yong_xiang_support_shift,diff__regime__confidence,diff__regime__contradiction_count,diff__regime__direction_score,diff__regime__fav_minus_unfav_clean,diff__regime__n_active,diff__regime__n_agree,diff__regime__relation_intensity,diff__regime__season_efficacy,diff__regime__signed__elemental_environment_shift,diff__regime__signed__geju_state_change,diff__regime__signed__key_pillar_change,diff__regime__signed__major_relation_change,diff__regime__signed__rooting_exposure_change,diff__regime__signed__special_structure_change,diff__regime__signed__stem_branch_convergence,diff__regime__signed__structural_activation_shift,diff__regime__signed__tiaohou_change,diff__regime__signed__yong_xiang_support_shift,diff__regime__stem_rooted,diff__regime_relrole__AMBIGUOUS,diff__regime_relrole__CLASHES_HARMFUL_STRUCTURE,diff__regime_relrole__CLASHES_USEFUL_STRUCTURE,diff__regime_relrole__COMPETING_HAP_CLASH,diff__regime_relrole__STRUCTURAL_MOVEMENT,diff__regime_relrole__SUPPORTS_HARMFUL,diff__regime_relrole__SUPPORTS_USEFUL_OR_BINDS,diff__tgctx__branch_effect,diff__tgctx__branch_role__AMBIGUOUS,diff__tgctx__branch_role__CONTROLS_EXCESS,diff__tgctx__branch_role__DRAINS_EXCESS,diff__tgctx__branch_role__DRAINS_WEAK,diff__tgctx__branch_role__FEEDS_HARMFUL_EXCESS,diff__tgctx__branch_role__NEUTRAL,diff__tgctx__branch_role__OVERBURDENS_OR_COVERS,diff__tgctx__branch_role__OVERBURDENS_WEAK_STRUCTURE,diff__tgctx__branch_role__SUPPLIES_NEEDED_RESOURCE,diff__tgctx__branch_role__SUPPORTS_USEFUL_STRUCTURE,diff__tgctx__stem_effect,diff__tgctx__stem_role__AMBIGUOUS,diff__tgctx__stem_role__CONTROLS_EXCESS,diff__tgctx__stem_role__DRAINS_EXCESS,diff__tgctx__stem_role__DRAINS_WEAK,diff__tgctx__stem_role__FEEDS_HARMFUL_EXCESS,diff__tgctx__stem_role__NEUTRAL,diff__tgctx__stem_role__OVERBURDENS_OR_COVERS,diff__tgctx__stem_role__OVERBURDENS_WEAK_STRUCTURE,diff__tgctx__stem_role__SUPPLIES_NEEDED_RESOURCE,diff__tgctx__stem_role__SUPPORTS_USEFUL_STRUCTURE,diff__year_elem__branch_sign,diff__year_elem__stem_sign,diff__year_natal_rel__intensity,diff__year_natal_rel__role__AMBIGUOUS,diff__year_natal_rel__role__CLASHES_HARMFUL_STRUCTURE,diff__year_natal_rel__role__CLASHES_USEFUL_STRUCTURE,diff__year_natal_rel__role__COMPETING_HAP_CLASH,diff__year_natal_rel__role__STRUCTURAL_MOVEMENT,diff__year_natal_rel__role__SUPPORTS_HARMFUL,diff__year_natal_rel__role__SUPPORTS_USEFUL_OR_BINDS,diff__year_natal_rel__valence,diff__yearctx__binglin_dy,diff__yearctx__contextual_trigger,diff__yearctx__dy_context,diff__yearctx__event_intensity,diff__yearctx__fanyin,diff__yearctx__fuyin_natal_dae,diff__yearctx__fuyin_natal_year,diff__yearctx__reinforce,diff__yearctx__valence
V4UD_007_P01,V4UD_007,COMPETITIVE,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.45,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.3800000000000001,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,-0.9075000000000001,0.0,-0.6391250000000002,-0.6,-0.3800000000000001,0.0,0.0,0.0,-0.5,-1.1075000000000002
V4UD_008_P01,V4UD_008,COMPETITIVE,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5099999999999998,0.0,-2.0,1.0,0.0,0.0,0.0,0.0,-1.5074999999999998,0.0,-1.1343437500000002,0.0,-0.5099999999999998,0.0,0.0,0.0,0.0,-1.5074999999999998
V4UD_009_P01,V4UD_009,COMPETITIVE,True,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.19999999999999998,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,-2.0,-1.0,1.0699999999999998,0.0,2.0,0.0,0.0,0.0,0.0,-1.0,0.5049999999999999,0.0,0.689225,-1.7999999999999998,1.0699999999999998,0.0,0.0,0.0,-1.5,0.9549999999999998
V4UD_001_P01,V4UD_001,COMPETITIVE,False,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,0.0,0.22179999999999994,0.5,1.0,1.0,-0.6349999999999998,0.75,0.0,0.0,0.0,0.25,0.4,0.0,1.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,1.0,-0.5,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.6,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28000000000000025,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.07,0.0,0.04556412500000018,0.0,0.28000000000000025,0.0,0.0,0.0,0.0,0.27
V4UD_010_P01,V4UD_010,COMPETITIVE,True,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5675000000000001,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.8500000000000001,0.0,0.5559017187500002,0.0,1.5675000000000001,0.0,0.0,0.0,0.0,0.75
V4UD_002_P01,V4UD_002,COMPETITIVE,True,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.45,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-0.10499999999999954,1.0,0.0,-2.0,1.0,0.0,1.0,0.0,0.6275000000000002,0.0,0.24097500000000013,1.2,-0.6049999999999995,0.0,0.0,-1.0,1.0,0.4025000000000001
V4UD_012_P01,V4UD_012,COMPETITIVE,True,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5350000000000001,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.04499999999999993,0.0,0.017507625000000027,0.0,1.5350000000000001,0.0,0.0,0.0,0.0,0.05500000000000005
V4UD_013_P01,V4UD_013,COMPETITIVE,False,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8174999999999999,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7825,0.0,0.53204925,0.6,0.8174999999999999,0.0,0.0,0.0,0.5,1.0075
V4UD_014_P01,V4UD_014,COMPETITIVE,False,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.65,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.14999999999999997,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,-1.8624999999999998,-1.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.8874999999999998,0.0,0.2989711249999999,1.2,-1.8624999999999998,0.0,0.0,0.0,1.0,0.4874999999999998
V4UD_003_P01,V4UD_003,COMPETITIVE,True,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7800000000000002,1.0,-1.0,1.0,1.0,0.0,0.0,0.0,-1.14,0.0,-0.71445884375,0.0,0.28000000000000025,0.0,0.0,-1.0,0.0,-1.0899999999999999
