repeat,candidate,control,delta
0,0.45544554455445546,0.5544554455445545,-0.09900990099009904
1,0.5346534653465347,0.5544554455445545,-0.01980198019801982
2,0.49504950495049505,0.5544554455445545,-0.05940594059405946
3,0.5148514851485149,0.5544554455445545,-0.03960396039603964
4,0.5247524752475248,0.5544554455445545,-0.02970297029702973
5,0.5247524752475248,0.5544554455445545,-0.02970297029702973
6,0.4752475247524752,0.5544554455445545,-0.07920792079207928
7,0.5346534653465347,0.5544554455445545,-0.01980198019801982
8,0.5742574257425742,0.5544554455445545,0.01980198019801971
9,0.49504950495049505,0.5544554455445545,-0.05940594059405946
