pair_id,subject_id,axis,positive_earlier_calc,polarity,year,benchmark__control_score,regime__signed__elemental_environment_shift,regime__active__elemental_environment_shift,regime__ambiguous__elemental_environment_shift,regime__signed__yong_xiang_support_shift,regime__active__yong_xiang_support_shift,regime__ambiguous__yong_xiang_support_shift,regime__signed__structural_activation_shift,regime__active__structural_activation_shift,regime__ambiguous__structural_activation_shift,regime__signed__geju_state_change,regime__active__geju_state_change,regime__ambiguous__geju_state_change,regime__signed__special_structure_change,regime__active__special_structure_change,regime__ambiguous__special_structure_change,regime__signed__tiaohou_change,regime__active__tiaohou_change,regime__ambiguous__tiaohou_change,regime__signed__rooting_exposure_change,regime__active__rooting_exposure_change,regime__ambiguous__rooting_exposure_change,regime__signed__major_relation_change,regime__active__major_relation_change,regime__ambiguous__major_relation_change,regime__signed__key_pillar_change,regime__active__key_pillar_change,regime__ambiguous__key_pillar_change,regime__signed__stem_branch_convergence,regime__active__stem_branch_convergence,regime__ambiguous__stem_branch_convergence,regime__direction_score,regime__contradiction_count,regime__confidence,regime__n_active,regime__n_agree,regime__relation_intensity,regime__season_efficacy,regime__stem_rooted,regime__fav_minus_unfav_clean,regime_relrole__COMPETING_HAP_CLASH,regime_relrole__AMBIGUOUS,regime_relrole__SUPPORTS_USEFUL_OR_BINDS,regime_relrole__SUPPORTS_HARMFUL,regime_relrole__CLASHES_USEFUL_STRUCTURE,regime_relrole__CLASHES_HARMFUL_STRUCTURE,regime_relrole__STRUCTURAL_MOVEMENT,yearctx__contextual_trigger,yearctx__dy_context,yearctx__event_intensity,yearctx__valence,yearctx__reinforce,yearctx__fuyin_natal_year,yearctx__fuyin_natal_dae,yearctx__binglin_dy,yearctx__fanyin,tgctx__stem_effect,tgctx__stem_role__SUPPORTS_USEFUL_STRUCTURE,tgctx__stem_role__CONTROLS_EXCESS,tgctx__stem_role__OVERBURDENS_WEAK_STRUCTURE,tgctx__stem_role__DRAINS_EXCESS,tgctx__stem_role__DRAINS_WEAK,tgctx__stem_role__SUPPLIES_NEEDED_RESOURCE,tgctx__stem_role__FEEDS_HARMFUL_EXCESS,tgctx__stem_role__OVERBURDENS_OR_COVERS,tgctx__stem_role__AMBIGUOUS,tgctx__stem_role__NEUTRAL,tgctx__branch_effect,tgctx__branch_role__SUPPORTS_USEFUL_STRUCTURE,tgctx__branch_role__CONTROLS_EXCESS,tgctx__branch_role__OVERBURDENS_WEAK_STRUCTURE,tgctx__branch_role__DRAINS_EXCESS,tgctx__branch_role__DRAINS_WEAK,tgctx__branch_role__SUPPLIES_NEEDED_RESOURCE,tgctx__branch_role__FEEDS_HARMFUL_EXCESS,tgctx__branch_role__OVERBURDENS_OR_COVERS,tgctx__branch_role__AMBIGUOUS,tgctx__branch_role__NEUTRAL,year_natal_rel__valence,year_natal_rel__intensity,year_natal_rel__role__COMPETING_HAP_CLASH,year_natal_rel__role__AMBIGUOUS,year_natal_rel__role__SUPPORTS_USEFUL_OR_BINDS,year_natal_rel__role__SUPPORTS_HARMFUL,year_natal_rel__role__CLASHES_USEFUL_STRUCTURE,year_natal_rel__role__CLASHES_HARMFUL_STRUCTURE,year_natal_rel__role__STRUCTURAL_MOVEMENT,year_elem__stem_sign,year_elem__branch_sign
V4UD_007_P01,V4UD_007,COMPETITIVE,True,positive,1957,68.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-0.9625000000000001,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.1885,1.0,0.525,4.0,3.0,1.4875,-0.5,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-0.5293750000000002,0.6,1.4874999999999998,-0.9625000000000001,0.5,0.0,0.0,0.0,0.0,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9625000000000001,1.4874999999999998,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
V4UD_007_P01,V4UD_007,COMPETITIVE,True,negative,1958,68.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-0.9625000000000001,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.1885,1.0,0.525,4.0,3.0,1.4875,-0.5,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.10974999999999996,1.2,1.8675,0.14499999999999996,1.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05500000000000005,1.8675,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
V4UD_008_P01,V4UD_008,COMPETITIVE,True,positive,1974,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,1.0,0.0,0.0,1.0,1.0,-0.5,1.0,0.0,0.0,1.0,1.0,-0.1224,0.0,0.6,4.0,2.0,2.04,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-0.10412500000000002,0.0,1.9775,-0.25749999999999995,0.0,0.0,1.0,0.0,0.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5075,1.9775,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
V4UD_008_P01,V4UD_008,COMPETITIVE,True,negative,1975,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,1.0,0.0,0.0,1.0,1.0,-0.5,1.0,0.0,0.0,1.0,1.0,-0.1224,0.0,0.6,4.0,2.0,2.04,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0302187500000002,0.0,2.4875,1.25,0.0,0.0,1.0,0.0,0.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.4875,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
V4UD_009_P01,V4UD_009,COMPETITIVE,True,positive,1987,64.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.0,0.0,0.8,1.0,0.0,0.0,0.0,0.0,0.6,1.0,0.0,0.0,1.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.3839,0.0,0.9,6.0,5.0,0.92,0.25,0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.663975,-0.6,1.6999999999999997,1.025,-0.5,0.0,1.0,0.0,0.0,-0.15,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.6999999999999997,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-1.0
V4UD_009_P01,V4UD_009,COMPETITIVE,True,negative,1991,62.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.0,0.0,0.8,1.0,0.0,0.0,0.0,0.0,0.6,1.0,0.0,0.0,1.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.3839,0.0,0.9,6.0,5.0,0.92,0.25,0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.02524999999999994,1.2,0.63,0.07000000000000006,1.0,0.0,1.0,0.0,0.0,-0.35,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.49500000000000005,0.63,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
V4UD_001_P01,V4UD_001,COMPETITIVE,False,positive,1978,75.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.5,1.0,0.0,1.0,1.0,0.0,0.5175,0.0,0.9,5.0,5.0,1.8525,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5326217187500001,1.2,1.8525,0.9124999999999999,1.0,0.0,0.0,0.0,0.0,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.2625,1.8525,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
V4UD_001_P01,V4UD_001,COMPETITIVE,False,negative,1975,66.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,0.0,0.75,1.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.2957,0.0,0.75,4.0,4.0,2.4875,0.25,0.0,0.5,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.4870575937499999,1.2,1.5724999999999998,0.6424999999999998,1.0,0.0,0.0,0.0,0.0,0.35,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19249999999999995,1.5724999999999998,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
V4UD_010_P01,V4UD_010,COMPETITIVE,True,positive,1988,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.6,1.0,0.0,0.5049999999999999,1.0,0.0,0.5,1.0,0.0,0.0,1.0,1.0,0.042,1.0,0.6,6.0,2.0,2.465,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.65927671875,-1.2,3.1625,0.8425,-1.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5925,3.1625,1.0,1.0,1.0,1.0,0.0,1.0,0.0,-1.0,-1.0
V4UD_010_P01,V4UD_010,COMPETITIVE,True,negative,1989,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.6,1.0,0.0,0.5049999999999999,1.0,0.0,0.5,1.0,0.0,0.0,1.0,1.0,0.042,1.0,0.6,6.0,2.0,2.465,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.10337499999999994,-1.2,1.595,0.09249999999999997,-1.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2575,1.595,1.0,1.0,0.0,1.0,0.0,0.0,0.0,-1.0,-1.0
