axis,chronology,n_pairs,control_accuracy,nuisance_accuracy,control_minus_nuisance
ALL,ALL,101,0.5544554455445545,0.6623762376237624,-0.10792079207920792
ALL,POS_EARLIER,57,0.5526315789473685,0.5964912280701754,-0.043859649122807015
ALL,POS_LATER,44,0.5568181818181818,0.7477272727272727,-0.19090909090909092
COMPETITIVE,ALL,31,0.5483870967741935,0.4161290322580645,0.132258064516129
COMPETITIVE,POS_EARLIER,18,0.5555555555555556,0.0,0.5555555555555556
COMPETITIVE,POS_LATER,13,0.5384615384615384,0.9923076923076923,-0.4538461538461539
PROJECT,ALL,25,0.62,0.8,-0.18
PROJECT,POS_EARLIER,5,0.8,0.0,0.8
PROJECT,POS_LATER,20,0.575,1.0,-0.425
STATUS,ALL,45,0.5222222222222223,0.7555555555555555,-0.23333333333333334
STATUS,POS_EARLIER,34,0.5147058823529411,1.0,-0.4852941176470588
STATUS,POS_LATER,11,0.5454545454545454,0.0,0.5454545454545454
