model,mean_accuracy,p10,min_accuracy,std
CONTROL_PLUS__basic,0.5594059405940593,0.5138613861386139,0.504950495049505,0.040487934476519105
CONTROL_PLUS__engine,0.5633663366336633,0.5514851485148515,0.5247524752475248,0.017742151888733442
CONTROL_PLUS__hidden,0.5633663366336633,0.5514851485148515,0.5247524752475248,0.017742151888733442
CONTROL_PLUS__relation,0.5168316831683168,0.4752475247524752,0.4752475247524752,0.03017591934168308
CONTROL_PLUS__shinsal,0.5277227722772277,0.48514851485148514,0.48514851485148514,0.03399500140414017
CONTROL_PLUS__tengod,0.44950495049504957,0.41485148514851483,0.40594059405940597,0.02729514604374302
CONTROL_PLUS__tg10,0.4752475247524752,0.44554455445544555,0.44554455445544555,0.02988575953180665
CONTROL_PLUS__tgxstrength,0.42871287128712876,0.38514851485148516,0.37623762376237624,0.03399500140414016
CONTROL_PLUS__unseong,0.41683168316831687,0.36534653465346534,0.3564356435643564,0.037759583458649715
CONTROL_PLUS__yongshin,0.5386138613861386,0.5148514851485149,0.5148514851485149,0.021490192206072168
CONTROL_REFIT,0.5633663366336633,0.5514851485148515,0.5247524752475248,0.017742151888733442
FAMILY_ONLY__basic,0.5594059405940595,0.5297029702970297,0.48514851485148514,0.04075606942319625
FAMILY_ONLY__engine,0.0,0.0,0.0,0.0
FAMILY_ONLY__hidden,0.0,0.0,0.0,0.0
FAMILY_ONLY__relation,0.5316831683168317,0.502970297029703,0.48514851485148514,0.02600777333973008
FAMILY_ONLY__shinsal,0.5079207920792079,0.4633663366336634,0.44554455445544555,0.03525333384350252
FAMILY_ONLY__tengod,0.4900990099009901,0.4603960396039604,0.4158415841584158,0.03770184705873223
FAMILY_ONLY__tg10,0.4752475247524752,0.45445544554455447,0.44554455445544555,0.02034460066986461
FAMILY_ONLY__tgxstrength,0.43168316831683173,0.39504950495049507,0.38613861386138615,0.03404302827254818
FAMILY_ONLY__unseong,0.36336633663366336,0.3445544554455445,0.32673267326732675,0.020371352293083785
FAMILY_ONLY__yongshin,0.5485148514851484,0.5227722772277228,0.504950495049505,0.02607051836056962
NUISANCE_PLUS__basic,0.5821782178217821,0.5504950495049505,0.5148514851485149,0.03158676201717594
NUISANCE_PLUS__engine,0.6623762376237624,0.6623762376237624,0.6534653465346535,0.003130967980364733
NUISANCE_PLUS__hidden,0.6623762376237624,0.6623762376237624,0.6534653465346535,0.003130967980364733
NUISANCE_PLUS__relation,0.6257425742574257,0.5841584158415841,0.5841584158415841,0.034864983884473316
NUISANCE_PLUS__shinsal,0.6108910891089109,0.5732673267326732,0.5643564356435643,0.03201490247598095
NUISANCE_PLUS__tengod,0.6128712871287129,0.593069306930693,0.5841584158415841,0.017742151888733505
NUISANCE_PLUS__tg10,0.5811881188118811,0.5425742574257426,0.5247524752475248,0.04043409411430172
NUISANCE_PLUS__tgxstrength,0.5811881188118811,0.5445544554455446,0.5445544554455446,0.03235333579710221
NUISANCE_PLUS__unseong,0.592079207920792,0.5346534653465347,0.5346534653465347,0.03326627899235423
NUISANCE_PLUS__yongshin,0.6564356435643565,0.6316831683168317,0.6138613861386139,0.02240824448418215
NUISANCE_REFIT,0.6623762376237624,0.6623762376237624,0.6534653465346535,0.003130967980364733
