family,n_features,family_only,nuisance_plus_family,delta_vs_nuisance_refit,control_plus_family,delta_vs_control_refit,control_plus_family_p10
engine,8,0.0,0.6623762376237624,0.0,0.5633663366336633,0.0,0.5514851485148515
hidden,10,0.0,0.6623762376237624,0.0,0.5633663366336633,0.0,0.5514851485148515
basic,166,0.5594059405940595,0.5821782178217821,-0.08019801980198027,0.5594059405940593,-0.003960396039603964,0.5138613861386139
yongshin,16,0.5485148514851484,0.6564356435643565,-0.005940594059405946,0.5386138613861386,-0.024752475247524663,0.5148514851485149
shinsal,43,0.5079207920792079,0.6108910891089109,-0.05148514851485153,0.5277227722772277,-0.035643564356435564,0.48514851485148514
relation,21,0.5316831683168317,0.6257425742574257,-0.036633663366336666,0.5168316831683168,-0.046534653465346465,0.4752475247524752
tg10,40,0.4752475247524752,0.5811881188118811,-0.08118811881188126,0.4752475247524752,-0.08811881188118809,0.44554455445544555
tengod,10,0.4900990099009901,0.6128712871287129,-0.04950495049504955,0.44950495049504957,-0.11386138613861374,0.41485148514851483
tgxstrength,60,0.43168316831683173,0.5811881188118811,-0.08118811881188126,0.42871287128712876,-0.13465346534653455,0.38514851485148516
unseong,28,0.36336633663366336,0.592079207920792,-0.07029702970297036,0.41683168316831687,-0.14653465346534644,0.36534653465346534
