model,axis,accuracy
CONTROL_PLUS__basic,COMPETITIVE,0.6258064516129033
CONTROL_PLUS__basic,PROJECT,0.612
CONTROL_PLUS__basic,STATUS,0.48444444444444446
CONTROL_PLUS__engine,COMPETITIVE,0.5612903225806452
CONTROL_PLUS__engine,PROJECT,0.624
CONTROL_PLUS__engine,STATUS,0.5311111111111111
CONTROL_PLUS__hidden,COMPETITIVE,0.5612903225806452
CONTROL_PLUS__hidden,PROJECT,0.624
CONTROL_PLUS__hidden,STATUS,0.5311111111111111
CONTROL_PLUS__shinsal,COMPETITIVE,0.5387096774193548
CONTROL_PLUS__shinsal,PROJECT,0.54
CONTROL_PLUS__shinsal,STATUS,0.5133333333333333
CONTROL_PLUS__yongshin,COMPETITIVE,0.4870967741935484
CONTROL_PLUS__yongshin,PROJECT,0.564
CONTROL_PLUS__yongshin,STATUS,0.56
CONTROL_REFIT,COMPETITIVE,0.5612903225806452
CONTROL_REFIT,PROJECT,0.624
CONTROL_REFIT,STATUS,0.5311111111111111
FAMILY_ONLY__basic,COMPETITIVE,0.6225806451612903
FAMILY_ONLY__basic,PROJECT,0.62
FAMILY_ONLY__basic,STATUS,0.4822222222222222
FAMILY_ONLY__engine,COMPETITIVE,0.0
FAMILY_ONLY__engine,PROJECT,0.0
FAMILY_ONLY__engine,STATUS,0.0
FAMILY_ONLY__hidden,COMPETITIVE,0.0
FAMILY_ONLY__hidden,PROJECT,0.0
FAMILY_ONLY__hidden,STATUS,0.0
FAMILY_ONLY__shinsal,COMPETITIVE,0.4935483870967742
FAMILY_ONLY__shinsal,PROJECT,0.56
FAMILY_ONLY__shinsal,STATUS,0.4888888888888889
FAMILY_ONLY__yongshin,COMPETITIVE,0.49032258064516127
FAMILY_ONLY__yongshin,PROJECT,0.608
FAMILY_ONLY__yongshin,STATUS,0.5555555555555556
NUISANCE_PLUS__basic,COMPETITIVE,0.5709677419354838
NUISANCE_PLUS__basic,PROJECT,0.672
NUISANCE_PLUS__basic,STATUS,0.54
NUISANCE_PLUS__engine,COMPETITIVE,0.4161290322580645
NUISANCE_PLUS__engine,PROJECT,0.8
NUISANCE_PLUS__engine,STATUS,0.7555555555555555
NUISANCE_PLUS__hidden,COMPETITIVE,0.4161290322580645
NUISANCE_PLUS__hidden,PROJECT,0.8
NUISANCE_PLUS__hidden,STATUS,0.7555555555555555
NUISANCE_PLUS__shinsal,COMPETITIVE,0.4967741935483871
NUISANCE_PLUS__shinsal,PROJECT,0.66
NUISANCE_PLUS__shinsal,STATUS,0.6622222222222223
NUISANCE_PLUS__yongshin,COMPETITIVE,0.5225806451612903
NUISANCE_PLUS__yongshin,PROJECT,0.788
NUISANCE_PLUS__yongshin,STATUS,0.6755555555555556
NUISANCE_REFIT,COMPETITIVE,0.4161290322580645
NUISANCE_REFIT,PROJECT,0.8
NUISANCE_REFIT,STATUS,0.7555555555555555
