pool,event_type,negative,positive
NEW_DEV_2_CONSUMED,band_breakup,1,0
NEW_DEV_2_CONSUMED,career_accident,1,0
NEW_DEV_2_CONSUMED,career_breakthrough,0,24
NEW_DEV_2_CONSUMED,career_end,12,0
NEW_DEV_2_CONSUMED,career_injury,15,0
NEW_DEV_2_CONSUMED,career_interruption,3,0
NEW_DEV_2_CONSUMED,career_loss,1,0
NEW_DEV_2_CONSUMED,career_peak,0,6
NEW_DEV_2_CONSUMED,career_setback,2,0
NEW_DEV_2_CONSUMED,career_stall,2,0
NEW_DEV_2_CONSUMED,commercial_failure,4,0
NEW_DEV_2_CONSUMED,commercial_setback,4,0
NEW_DEV_2_CONSUMED,contract_end,1,0
NEW_DEV_2_CONSUMED,critical_failure,4,0
NEW_DEV_2_CONSUMED,election_loss,7,0
NEW_DEV_2_CONSUMED,election_win,0,3
NEW_DEV_2_CONSUMED,fired,3,0
NEW_DEV_2_CONSUMED,leadership_loss,1,0
NEW_DEV_2_CONSUMED,legal_career_setback,1,0
NEW_DEV_2_CONSUMED,major_appointment,0,8
NEW_DEV_2_CONSUMED,major_award,0,17
NEW_DEV_2_CONSUMED,major_loss,21,0
NEW_DEV_2_CONSUMED,major_title,0,41
NEW_DEV_2_CONSUMED,qualification_failure,1,0
NEW_DEV_2_CONSUMED,resignation,3,0
NEW_DEV_2_CONSUMED,sanction,1,0
NEW_DEV_2_CONSUMED,show_cancellation,11,0
NEW_DEV_2_CONSUMED,trade_setback,1,0
NEW_DEV_2_CONSUMED,world_record,0,1
V1,accident,1,2
V1,appointment,1,22
V1,award,0,63
V1,career,7,36
V1,career_loss,10,0
V1,career_success,1,48
V1,death,2,0
V1,election,11,47
V1,finance,0,1
V1,illness,3,0
V1,legal,7,2
V1,other,17,32
V1,scandal,2,0
V2_NEW_DEV,award,0,2
V2_NEW_DEV,career_loss,74,0
V2_NEW_DEV,career_success,0,138
V2_NEW_DEV,scandal,2,0
