pool,subject_id,name,positive_year,negative_year,positive_age,negative_age,positive_minus_negative_age,positive_minus_negative_year,positive_earlier,same_year,age_only_pairwise,earlier_year_pairwise
NEW_DEV_2_CONSUMED,NEWDEV2_001,Bob Dylan,1965,1966,24.0,25.0,-1.0,-1,True,False,1.0,1.0
NEW_DEV_2_CONSUMED,NEWDEV2_002,Bob Fosse,1973,1969,46.0,42.0,4.0,4,False,False,0.0,0.0
NEW_DEV_2_CONSUMED,NEWDEV2_003,Bob Gibson,1968,1967,33.0,32.0,1.0,1,False,False,0.0,0.0
NEW_DEV_2_CONSUMED,NEWDEV2_004,Bob Hayes,1964,1975,22.0,33.0,-11.0,-11,True,False,1.0,1.0
NEW_DEV_2_CONSUMED,NEWDEV2_005,Bob Knight,1976,2000,36.0,60.0,-24.0,-24,True,False,1.0,1.0
NEW_DEV_2_CONSUMED,NEWDEV2_006,Bob Lilly,1972,1971,33.0,32.0,1.0,1,False,False,0.0,0.0
NEW_DEV_2_CONSUMED,NEWDEV2_007,Bob Mathias,1952,1966,22.0,36.0,-14.0,-14,True,False,1.0,1.0
NEW_DEV_2_CONSUMED,NEWDEV2_008,Bob McAdoo,1975,1979,24.0,28.0,-4.0,-4,True,False,1.0,1.0
NEW_DEV_2_CONSUMED,NEWDEV2_009,Bob Newhart,1961,1962,32.0,33.0,-1.0,-1,True,False,1.0,1.0
NEW_DEV_2_CONSUMED,NEWDEV2_010,Bob Pettit,1958,1957,26.0,25.0,1.0,1,False,False,0.0,0.0
NEW_DEV_2_CONSUMED,NEWDEV2_011,Bob Richards,1956,1960,30.0,34.0,-4.0,-4,True,False,1.0,1.0
NEW_DEV_2_CONSUMED,NEWDEV2_012,Bob Schul,1964,1968,27.0,31.0,-4.0,-4,True,False,1.0,1.0
NEW_DEV_2_CONSUMED,NEWDEV2_013,Bob Seagren,1968,1972,22.0,26.0,-4.0,-4,True,False,1.0,1.0
NEW_DEV_2_CONSUMED,NEWDEV2_014,Bob Uecker,1964,1967,30.0,33.0,-3.0,-3,True,False,1.0,1.0
NEW_DEV_2_CONSUMED,NEWDEV2_015,Bob Brenly,2001,2004,47.0,50.0,-3.0,-3,True,False,1.0,1.0
NEW_DEV_2_CONSUMED,NEWDEV2_016,Bobby Bell,1970,1967,30.0,27.0,3.0,3,False,False,0.0,0.0
NEW_DEV_2_CONSUMED,NEWDEV2_017,Bobby Bonds,1973,1981,27.0,35.0,-8.0,-8,True,False,1.0,1.0
NEW_DEV_2_CONSUMED,NEWDEV2_018,Bo Burnham,2021,2016,31.0,26.0,5.0,5,False,False,0.0,0.0
NEW_DEV_2_CONSUMED,NEWDEV2_019,Bo Derek,1979,1984,23.0,28.0,-5.0,-5,True,False,1.0,1.0
NEW_DEV_2_CONSUMED,NEWDEV2_020,Bob Woolmer,1994,1999,46.0,51.0,-5.0,-5,True,False,1.0,1.0
NEW_DEV_2_CONSUMED,NEWDEV2_021,Bill Bradley,1970,2000,27.0,57.0,-30.0,-30,True,False,1.0,1.0
NEW_DEV_2_CONSUMED,NEWDEV2_022,Bill Blass,1970,1999,48.0,77.0,-29.0,-29,True,False,1.0,1.0
NEW_DEV_2_CONSUMED,NEWDEV2_023,Bill Engvall,1997,2009,40.0,52.0,-12.0,-12,True,False,1.0,1.0
NEW_DEV_2_CONSUMED,NEWDEV2_024,Bill Forsyth,1983,1999,37.0,53.0,-16.0,-16,True,False,1.0,1.0
NEW_DEV_2_CONSUMED,NEWDEV2_025,Bill Guerin,2009,2021,39.0,51.0,-12.0,-12,True,False,1.0,1.0
NEW_DEV_2_CONSUMED,NEWDEV2_026,Bill Walton,1978,1979,26.0,27.0,-1.0,-1,True,False,1.0,1.0
NEW_DEV_2_CONSUMED,NEWDEV2_027,Billie Jean King,1973,1970,30.0,27.0,3.0,3,False,False,0.0,0.0
NEW_DEV_2_CONSUMED,NEWDEV2_028,Billy Backus,1970,1971,27.0,28.0,-1.0,-1,True,False,1.0,1.0
NEW_DEV_2_CONSUMED,NEWDEV2_029,Billy Casper,1966,1969,35.0,38.0,-3.0,-3,True,False,1.0,1.0
NEW_DEV_2_CONSUMED,NEWDEV2_030,Billy Kidd,1964,1968,21.0,25.0,-4.0,-4,True,False,1.0,1.0
NEW_DEV_2_CONSUMED,NEWDEV2_031,Billy Martin,1977,1978,49.0,50.0,-1.0,-1,True,False,1.0,1.0
NEW_DEV_2_CONSUMED,NEWDEV2_032,Billy Joe Shaver,1973,1981,34.0,42.0,-8.0,-8,True,False,1.0,1.0
NEW_DEV_2_CONSUMED,NEWDEV2_033,Billy Mackenzie,1982,1990,25.0,33.0,-8.0,-8,True,False,1.0,1.0
NEW_DEV_2_CONSUMED,NEWDEV2_034,Bill Shoemaker,1955,1991,24.0,60.0,-36.0,-36,True,False,1.0,1.0
NEW_DEV_2_CONSUMED,NEWDEV2_035,Bill Steinkraus,1968,1972,43.0,47.0,-4.0,-4,True,False,1.0,1.0
NEW_DEV_2_CONSUMED,NEWDEV2_036,Tom Brady,2002,2008,25.0,31.0,-6.0,-6,True,False,1.0,1.0
NEW_DEV_2_CONSUMED,NEWDEV2_037,Tom Coughlin,2008,2016,62.0,70.0,-8.0,-8,True,False,1.0,1.0
NEW_DEV_2_CONSUMED,NEWDEV2_038,Tom Courtney,1956,1955,23.0,22.0,1.0,1,False,False,0.0,0.0
NEW_DEV_2_CONSUMED,NEWDEV2_039,Tom Daschle,1995,2004,48.0,57.0,-9.0,-9,True,False,1.0,1.0
NEW_DEV_2_CONSUMED,NEWDEV2_040,Tom DeLay,2003,2006,56.0,59.0,-3.0,-3,True,False,1.0,1.0
NEW_DEV_2_CONSUMED,NEWDEV2_041,Tom Foley,1989,1994,60.0,65.0,-5.0,-5,True,False,1.0,1.0
NEW_DEV_2_CONSUMED,NEWDEV2_042,Tom Glavine,1995,2008,29.0,42.0,-13.0,-13,True,False,1.0,1.0
NEW_DEV_2_CONSUMED,NEWDEV2_043,Tom Okker,1973,1968,29.0,24.0,5.0,5,False,False,0.0,0.0
NEW_DEV_2_CONSUMED,NEWDEV2_044,Tom Poti,2000,2012,23.0,35.0,-12.0,-12,True,False,1.0,1.0
