pool,subject_id,name,birth_time_known,birth_date,birth_time,birth_source_quality,rodden_rating,CRITICAL,HIGH,MEDIUM,LOW,pairable,n_pairs,gold_candidate,strict_time_gold_candidate
V1,MLV1_OLD_001,Donald Trump,True,1946-06-14,10:54,A_birth_record,,0,7,7,0,True,10,False,False
V1,MLV1_OLD_002,Barack Obama,True,1961-08-04,19:24,A_birth_record,,0,8,8,0,True,15,False,False
V1,MLV1_OLD_003,Michael Jackson,True,1958-08-29,19:33,A_rodden_AA,,0,5,6,0,False,0,False,False
V1,MLV1_OLD_004,Justin Bieber,True,1994-03-01,00:56,A_rodden_AA,,0,5,4,0,True,3,False,False
V1,MLV1_OLD_005,Chris Brown,True,1989-05-05,12:30,A_rodden_AA,,0,4,4,0,True,3,False,False
V1,MLV1_OLD_006,Hillary Clinton,True,1947-10-26,18:45,A_rodden_AA,,0,7,7,0,True,10,False,False
V1,MLV1_OLD_007,Kamala Harris,True,1964-10-20,21:28,A_rodden_AA,,0,5,5,0,False,0,False,False
V1,MLV1_OLD_008,Al Gore,True,1948-03-31,12:53,A_rodden_AA,,0,7,7,0,False,0,False,False
V1,MLV1_OLD_009,Amy Klobuchar,True,1960-05-25,00:56,A_rodden_AA,,0,4,4,0,False,0,False,False
V1,MLV1_OLD_010,Monica Lewinsky,True,1973-07-23,12:21,A_rodden_AA,,0,0,0,0,False,0,True,False
V1,MLV1_OLD_011,Madonna,True,1958-08-16,07:05,A_rodden_AA,,0,1,1,0,False,0,False,False
V1,MLV1_OLD_012,Elizabeth Taylor,True,1932-02-27,02:30,A_rodden_AA,,0,2,4,0,False,0,False,False
V1,MLV1_OLD_013,Drake,True,1986-10-24,02:31,A_rodden_AA,,0,3,3,0,False,0,False,False
V1,MLV1_OLD_014,Diana Ross,True,1944-03-26,23:46,A_rodden_AA,,0,3,3,0,False,0,False,False
V1,MLV1_OLD_015,Dennis Rodman,True,1961-05-13,00:10,A_rodden_AA,,0,8,8,0,True,7,False,False
V1,MLV1_OLD_016,John Ritter,True,1948-09-17,07:59,A_rodden_AA,,0,3,4,0,True,2,False,False
V1,MLV1_OLD_017,Sean Penn,True,1960-08-17,15:17,A_rodden_AA,,0,2,2,0,False,0,False,False
V1,MLV1_OLD_018,Björk,True,1965-11-21,08:10,A_rodden_AA,,0,3,3,0,False,0,False,False
V1,MLV1_OLD_019,Kylie Jenner,True,1997-08-10,17:25,A_rodden_AA,,0,0,0,0,False,0,True,False
V1,MLV1_OLD_020,윤석열,True,1960-12-18,22:00,A_official,,0,8,8,0,True,12,False,False
V1,MLV1_OLD_021,김부겸,False,1956-12-21,,B_interview_or_broadcast,,0,7,8,0,True,12,False,False
V1,MLV1_OLD_022,김어준,False,1968-12-04,,C_saju_compilation,,0,2,3,0,True,1,False,False
V1,MLV1_OLD_023,박나래,True,1985-10-25,00:30,unknown,,0,3,3,0,True,2,False,False
V1,MLV1_OLD_024,박정희,False,1917-11-14,,D_disputed,,0,2,4,0,True,1,False,False
V1,MLV1_OLD_025,오세훈,False,1961-01-04,,C_saju_compilation,,0,8,9,0,True,12,False,False
V1,MLV1_OLD_026,홍준표,True,1953-11-20,02:40,C_saju_compilation,,0,6,6,0,True,9,False,False
V1,MLV1_OLD_027,문재인,False,1953-01-24,,C_saju_compilation,,0,2,4,0,True,1,False,False
V1,MLV1_OLD_028,박근혜,False,1952-02-02,,C_saju_compilation,,0,6,9,0,True,9,False,False
V1,MLV1_OLD_029,이건희,False,1942-01-09,,C_saju_compilation,,0,4,6,0,True,3,False,False
V1,MLV1_OLD_030,이재용,False,1968-06-23,,unknown,,0,4,6,0,False,0,False,False
V1,MLV1_OLD_031,봉준호,False,1969-09-14,,unknown,,0,2,3,0,False,0,False,False
V1,MLV1_OLD_032,김연아,False,1990-09-05,,unknown,,1,6,7,0,False,0,False,False
V1,MLV1_OLD_033,손흥민,False,1992-07-08,,unknown,,0,6,7,0,False,0,False,False
V1,MLV1_OLD_034,장미희,True,1958-01-27,12:00,C_saju_compilation,,0,3,3,0,False,0,False,False
V1,MLV1_OLD_035,김희민,True,1984-10-22,10:00,C_saju_compilation,,0,1,1,0,False,0,False,False
V1,MLV1_OLD_036,박찬호,True,1973-06-29,15:50,C_saju_compilation,,0,0,0,0,False,0,True,False
V1,MLV1_OLD_037,박세리,True,1977-08-16,20:00,C_saju_compilation,,0,5,5,0,False,0,False,False
