model,axis,n_pairs,n_subjects,mean,ci025,ci975,p_gt_050,interpretation_allowed
AGE_LATER_FIXED,COMPETITIVE,43,26,0.625,0.4487179487179487,0.7916666666666666,0.9124,True
AGE_LATER_FIXED,PROJECT,40,33,0.5404040404040403,0.38888888888888884,0.691919191919192,0.6774,True
AGE_LATER_FIXED,RECOGNITION,4,3,0.5,0.0,1.0,0.3723,False
AGE_LATER_FIXED,STATUS,13,9,0.4074074074074074,0.16666666666666666,0.6666666666666666,0.2294,False
AGE_YOUNGER_FIXED,COMPETITIVE,43,26,0.375,0.20833333333333334,0.5480769230769231,0.0786,True
AGE_YOUNGER_FIXED,PROJECT,40,33,0.45959595959595956,0.30808080808080807,0.6161616161616161,0.2869,True
AGE_YOUNGER_FIXED,RECOGNITION,4,3,0.5,0.0,1.0,0.3753,False
AGE_YOUNGER_FIXED,STATUS,13,9,0.5925925925925926,0.31481481481481477,0.8333333333333334,0.7257,False
ALL_ELASTICNET_AUTO,COMPETITIVE,43,26,0.5544871794871796,0.46987179487179487,0.6435897435897436,0.8871,True
ALL_ELASTICNET_AUTO,PROJECT,40,33,0.4818181818181818,0.4,0.5636363636363637,0.3224,True
ALL_ELASTICNET_AUTO,RECOGNITION,4,3,0.4666666666666666,0.4000000000000001,0.6,0.2619,False
ALL_ELASTICNET_AUTO,STATUS,13,9,0.48148148148148145,0.30000000000000004,0.6518518518518519,0.4257,False
ALL_L2,COMPETITIVE,43,26,0.5510256410256411,0.4025641025641026,0.6969230769230769,0.7457,True
ALL_L2,PROJECT,40,33,0.43333333333333335,0.30303030303030304,0.5666666666666667,0.1539,True
ALL_L2,RECOGNITION,4,3,0.26666666666666666,0.0,0.6,0.0391,False
ALL_L2,STATUS,13,9,0.5037037037037037,0.21481481481481482,0.7888888888888889,0.5103,False
CONTROL_FIXED,COMPETITIVE,43,26,0.3807692307692308,0.2269230769230769,0.5448717948717949,0.0769,True
CONTROL_FIXED,PROJECT,40,33,0.48484848484848486,0.3333333333333333,0.6363636363636364,0.3892,True
CONTROL_FIXED,RECOGNITION,4,3,0.5,0.0,1.0,0.3754,False
CONTROL_FIXED,STATUS,13,9,0.7222222222222222,0.4444444444444444,1.0,0.9188,False
HGB_ALL_EXPLORATORY,COMPETITIVE,43,26,0.481025641025641,0.3705128205128205,0.5876923076923076,0.3657,True
HGB_ALL_EXPLORATORY,PROJECT,40,33,0.40404040404040403,0.28383838383838383,0.5333333333333332,0.0707,True
HGB_ALL_EXPLORATORY,RECOGNITION,4,3,0.3666666666666667,0.0,0.9,0.2518,False
HGB_ALL_EXPLORATORY,STATUS,13,9,0.47777777777777775,0.2888888888888889,0.6777777777777778,0.3872,False
NUISANCE_AGE_AXIS,COMPETITIVE,43,26,0.3961538461538462,0.29871794871794866,0.4935897435897436,0.0185,True
NUISANCE_AGE_AXIS,PROJECT,40,33,0.5202020202020202,0.3848484848484849,0.6565656565656565,0.6098,True
NUISANCE_AGE_AXIS,RECOGNITION,4,3,0.16666666666666666,0.0,0.5,0.0,False
NUISANCE_AGE_AXIS,STATUS,13,9,0.5925925925925927,0.3592592592592593,0.8148148148148148,0.7808,False
NUISANCE_WITH_ORIGIN_DIAGNOSTIC,COMPETITIVE,43,26,0.8076923076923077,0.6538461538461539,0.9615384615384616,0.9993,True
NUISANCE_WITH_ORIGIN_DIAGNOSTIC,PROJECT,40,33,0.9696969696969697,0.9090909090909091,1.0,1.0,True
