model,axis,pair_origin,n_pairs,n_subjects,subject_macro_pairwise
AGE_LATER_FIXED,COMPETITIVE,PREEXISTING_414_SOURCE_REVIEW,18,17,0.29411764705882354
AGE_LATER_FIXED,COMPETITIVE,V4_TARGET_EXPANSION_2026-08-16,25,13,1.0
AGE_LATER_FIXED,PROJECT,PREEXISTING_414_SOURCE_REVIEW,20,19,0.05263157894736842
AGE_LATER_FIXED,PROJECT,V4_TARGET_EXPANSION_2026-08-16,20,20,1.0
AGE_LATER_FIXED,RECOGNITION,PREEXISTING_414_SOURCE_REVIEW,4,3,0.5
AGE_LATER_FIXED,STATUS,PREEXISTING_414_SOURCE_REVIEW,7,7,0.0
AGE_LATER_FIXED,STATUS,V4_TARGET_EXPANSION_2026-08-16,6,5,1.0
AGE_YOUNGER_FIXED,COMPETITIVE,PREEXISTING_414_SOURCE_REVIEW,18,17,0.7058823529411765
AGE_YOUNGER_FIXED,COMPETITIVE,V4_TARGET_EXPANSION_2026-08-16,25,13,0.0
AGE_YOUNGER_FIXED,PROJECT,PREEXISTING_414_SOURCE_REVIEW,20,19,0.9473684210526315
AGE_YOUNGER_FIXED,PROJECT,V4_TARGET_EXPANSION_2026-08-16,20,20,0.0
AGE_YOUNGER_FIXED,RECOGNITION,PREEXISTING_414_SOURCE_REVIEW,4,3,0.5
AGE_YOUNGER_FIXED,STATUS,PREEXISTING_414_SOURCE_REVIEW,7,7,1.0
AGE_YOUNGER_FIXED,STATUS,V4_TARGET_EXPANSION_2026-08-16,6,5,0.0
ALL_ELASTICNET_AUTO,COMPETITIVE,PREEXISTING_414_SOURCE_REVIEW,18,17,0.5294117647058825
ALL_ELASTICNET_AUTO,COMPETITIVE,V4_TARGET_EXPANSION_2026-08-16,25,13,0.5794871794871794
ALL_ELASTICNET_AUTO,PROJECT,PREEXISTING_414_SOURCE_REVIEW,20,19,0.4947368421052632
ALL_ELASTICNET_AUTO,PROJECT,V4_TARGET_EXPANSION_2026-08-16,20,20,0.4600000000000001
ALL_ELASTICNET_AUTO,RECOGNITION,PREEXISTING_414_SOURCE_REVIEW,4,3,0.4666666666666666
ALL_ELASTICNET_AUTO,STATUS,PREEXISTING_414_SOURCE_REVIEW,7,7,0.5142857142857143
ALL_ELASTICNET_AUTO,STATUS,V4_TARGET_EXPANSION_2026-08-16,6,5,0.42000000000000004
ALL_L2,COMPETITIVE,PREEXISTING_414_SOURCE_REVIEW,18,17,0.5882352941176471
ALL_L2,COMPETITIVE,V4_TARGET_EXPANSION_2026-08-16,25,13,0.4148717948717949
ALL_L2,PROJECT,PREEXISTING_414_SOURCE_REVIEW,20,19,0.34736842105263155
ALL_L2,PROJECT,V4_TARGET_EXPANSION_2026-08-16,20,20,0.52
