axis,model,reference,n_subjects,observed_delta,ci025,ci975,p_delta_gt_0,interpretation_allowed
COMPETITIVE,ALL_ELASTICNET_AUTO,NUISANCE_AGE_AXIS,26,0.15833333333333335,0.03525641025641026,0.29038461538461535,0.9954,True
COMPETITIVE,ALL_ELASTICNET_AUTO,CONTROL_FIXED,26,0.1737179487179487,-0.019230769230769225,0.3647596153846152,0.9595,True
COMPETITIVE,ALL_L2,NUISANCE_AGE_AXIS,26,0.15487179487179487,-0.03590384615384616,0.35230769230769227,0.9441,True
COMPETITIVE,ALL_L2,CONTROL_FIXED,26,0.17025641025641025,-0.043846153846153854,0.37307692307692314,0.9472,True
COMPETITIVE,TG10_STEM_BRANCH_L2,NUISANCE_AGE_AXIS,26,0.062435897435897426,-0.1096153846153846,0.2447435897435897,0.7517,True
COMPETITIVE,TG10_STEM_BRANCH_L2,CONTROL_FIXED,26,0.07782051282051282,-0.1096153846153846,0.2556506410256409,0.7978,True
COMPETITIVE,TG10_STEM_L2,NUISANCE_AGE_AXIS,26,0.0758974358974359,-0.10231410256410259,0.26205128205128203,0.788,True
COMPETITIVE,TG10_STEM_L2,CONTROL_FIXED,26,0.09128205128205127,-0.13564743589743591,0.3012820512820512,0.7952,True
COMPETITIVE,TG10_SB_RELATIONS_L2,NUISANCE_AGE_AXIS,26,0.023076923076923068,-0.15131410256410255,0.20512820512820515,0.5951,True
COMPETITIVE,TG10_SB_RELATIONS_L2,CONTROL_FIXED,26,0.038461538461538464,-0.1576923076923077,0.22820512820512823,0.6513,True
COMPETITIVE,TG10_SB_STRENGTH_L2,NUISANCE_AGE_AXIS,26,0.042435897435897436,-0.13833653846153846,0.22435897435897434,0.6764,True
COMPETITIVE,TG10_SB_STRENGTH_L2,CONTROL_FIXED,26,0.05782051282051283,-0.0814102564102564,0.20076923076923076,0.7928,True
COMPETITIVE,TG5_GROUP_L2,NUISANCE_AGE_AXIS,26,0.03685897435897437,-0.12307692307692307,0.20865384615384613,0.6686,True
COMPETITIVE,TG5_GROUP_L2,CONTROL_FIXED,26,0.052243589743589766,-0.16348557692307691,0.2605769230769231,0.6848,True
PROJECT,ALL_ELASTICNET_AUTO,NUISANCE_AGE_AXIS,33,-0.03838383838383838,-0.1878787878787879,0.11313131313131314,0.3117,True
PROJECT,ALL_ELASTICNET_AUTO,CONTROL_FIXED,33,-0.0030303030303030025,-0.16666666666666666,0.1636363636363636,0.4857,True
PROJECT,ALL_L2,NUISANCE_AGE_AXIS,33,-0.08686868686868686,-0.2838383838383838,0.11212121212121212,0.1966,True
PROJECT,ALL_L2,CONTROL_FIXED,33,-0.0515151515151515,-0.22424242424242424,0.1272727272727273,0.2904,True
PROJECT,TG10_STEM_BRANCH_L2,NUISANCE_AGE_AXIS,33,-0.0707070707070707,-0.2828282828282829,0.13333333333333333,0.2605,True
PROJECT,TG10_STEM_BRANCH_L2,CONTROL_FIXED,33,-0.03535353535353535,-0.22323232323232325,0.15151515151515152,0.3518,True
PROJECT,TG10_STEM_L2,NUISANCE_AGE_AXIS,33,-0.09696969696969694,-0.29090909090909095,0.10303030303030304,0.1794,True
PROJECT,TG10_STEM_L2,CONTROL_FIXED,33,-0.061616161616161624,-0.25858585858585853,0.12729797979797944,0.2746,True
PROJECT,TG10_SB_RELATIONS_L2,NUISANCE_AGE_AXIS,33,-0.13838383838383841,-0.3303030303030303,0.06363636363636363,0.083,True
PROJECT,TG10_SB_RELATIONS_L2,CONTROL_FIXED,33,-0.10303030303030304,-0.2728030303030302,0.07272727272727274,0.1266,True
PROJECT,TG10_SB_STRENGTH_L2,NUISANCE_AGE_AXIS,33,-0.1353535353535354,-0.32626262626262625,0.06767676767676768,0.0918,True
PROJECT,TG10_SB_STRENGTH_L2,CONTROL_FIXED,33,-0.10000000000000002,-0.27575757575757576,0.08181818181818182,0.131,True
PROJECT,TG5_GROUP_L2,NUISANCE_AGE_AXIS,33,-0.10858585858585858,-0.3005176767676767,0.08385101010100993,0.136,True
PROJECT,TG5_GROUP_L2,CONTROL_FIXED,33,-0.07323232323232323,-0.2621212121212121,0.10757575757575757,0.2155,True
RECOGNITION,ALL_ELASTICNET_AUTO,NUISANCE_AGE_AXIS,3,0.3,-0.09999999999999998,0.6,0.9656,False
RECOGNITION,ALL_ELASTICNET_AUTO,CONTROL_FIXED,3,-0.033333333333333326,-0.6,0.6,0.3671,False
RECOGNITION,ALL_L2,NUISANCE_AGE_AXIS,3,0.09999999999999999,0.0,0.20000000000000004,0.9613,False
RECOGNITION,ALL_L2,CONTROL_FIXED,3,-0.23333333333333336,-0.8000000000000002,0.09999999999999998,0.2562,False
