feature,family,n_folds,selection_frequency,mean_coefficient,mean_abs_coefficient,positive_share_when_selected,sign_consistency_when_selected,stable_diagnostic_only
diff__relation__sw_dw_branch_punish,RELATION,25,0.4,0.09506583381598961,0.09506583381598961,1.0,1.0,False
diff__shinsal__sw_세운_신살_길신__문창귀인_,SHINSAL,25,0.4,-0.08753674382085486,0.08753674382085486,0.0,1.0,False
diff__tgxstrength__sw_qi_sha_weak,TGX_STRENGTH,25,0.4,-0.08212499034805745,0.08212499034805745,0.0,1.0,False
diff__relation__sw_dw_stem_clash,RELATION,25,0.4,-0.0715586430626947,0.0715586430626947,0.0,1.0,False
diff__unseong__dw_state_절,UNSEONG,25,0.4,0.04033412195921349,0.04033412195921349,1.0,1.0,False
diff__tgxstrength__sw_pian_yin_strong,TGX_STRENGTH,25,0.36,0.11216166783245102,0.11216166783245102,1.0,1.0,False
diff__tg10__dw_branch_hidden_zheng_guan,TG10,25,0.36,-0.10839738839852334,0.10839738839852334,0.0,1.0,False
diff__shinsal__sw_세운_신살_길신__count,SHINSAL,25,0.36,0.09587562604356906,0.09587562604356906,1.0,1.0,False
diff__yongshin__sw_yong_stem_fit,YONGSHIN,25,0.36,-0.08850315258665589,0.08850315258665589,0.0,1.0,False
diff__relation__sw_dw_branch_harm,RELATION,25,0.36,0.08501536802948963,0.08501536802948963,1.0,1.0,False
diff__unseong__sw_state_장생,UNSEONG,25,0.36,-0.08225563038327323,0.08225563038327323,0.0,1.0,False
diff__tgxstrength__sw_shishen_strong,TGX_STRENGTH,25,0.36,-0.05956431089272002,0.05956431089272002,0.0,1.0,False
diff__basic__dw_branch_午,BASIC,25,0.32,-0.07954373796061198,0.07954373796061198,0.0,1.0,False
diff__unseong__sw_state_양,UNSEONG,25,0.32,0.0692519625628027,0.0692519625628027,1.0,1.0,False
diff__basic__sw_branch_辰,BASIC,25,0.32,-0.06272923221664718,0.06272923221664718,0.0,1.0,False
diff__yongshin__dw_supplies_fav,YONGSHIN,25,0.32,-0.060968888647513285,0.060968888647513285,0.0,1.0,False
diff__basic__sw_stem_甲,BASIC,25,0.32,0.058935939138810275,0.058935939138810275,1.0,1.0,False
diff__basic__sw_stem_庚,BASIC,25,0.32,-0.051264109474319544,0.051264109474319544,0.0,1.0,False
diff__relation__sw_branch_punish_natal,RELATION,25,0.32,0.04947841362442398,0.04947841362442398,1.0,1.0,False
diff__unseong__sw_state_병,UNSEONG,25,0.28,-0.06645547372459525,0.06645547372459525,0.0,1.0,False
diff__shinsal__dw_신살_길신__문창귀인_,SHINSAL,25,0.28,-0.06149611059920399,0.06149611059920399,0.0,1.0,False
diff__relation__sw_branch_clash_natal,RELATION,25,0.28,0.05419982737377186,0.05419982737377186,1.0,1.0,False
diff__basic__sw_element_wood,BASIC,25,0.28,0.044716706350891956,0.044716706350891956,1.0,1.0,False
diff__tg10__dw_branch_hidden_pian_yin,TG10,25,0.28,0.037879427205251864,0.037879427205251864,1.0,1.0,False
diff__tg10__dw_branch_hidden_bijian,TG10,25,0.24,0.06551656498793655,0.06551656498793655,1.0,1.0,False
diff__tg10__sw_branch_hidden_zheng_cai,TG10,25,0.24,0.06269167371944158,0.06269167371944158,1.0,1.0,False
diff__basic__sw_branch_巳,BASIC,25,0.24,0.06099321975145251,0.06099321975145251,1.0,1.0,False
diff__tg10__sw_branch_hidden_shangguan,TG10,25,0.24,0.04513703809428596,0.04513703809428596,1.0,1.0,False
diff__basic__sw_stem_丁,BASIC,25,0.24,0.038251879451749196,0.038251879451749196,1.0,1.0,False
diff__shinsal__dw_breakdown_scalar,SHINSAL,25,0.24,0.037841896323732895,0.037841896323732895,1.0,1.0,False
diff__shinsal__sw_세운_신살_길신__반안_,SHINSAL,25,0.24,0.026439837061526483,0.026439837061526483,1.0,1.0,False
diff__shinsal__sw_세운_신살_길신__화개_,SHINSAL,25,0.24,0.026439837061526483,0.026439837061526483,1.0,1.0,False
diff__unseong__sw_state_절,UNSEONG,25,0.24,0.020007623966435354,0.020007623966435354,1.0,1.0,False
diff__tg10__sw_stem_qi_sha,TG10,25,0.24,-0.018622471340645794,0.018622471340645794,0.0,1.0,False
diff__basic__sw_element_earth,BASIC,25,0.2,-0.04206851229907114,0.04206851229907114,0.0,1.0,False
diff__tgxstrength__sw_zheng_yin_strong,TGX_STRENGTH,25,0.2,-0.03944773182150456,0.03944773182150456,0.0,1.0,False
diff__basic__dw_stem_乙,BASIC,25,0.2,-0.03563956324166761,0.03563956324166761,0.0,1.0,False
diff__relation__dw_branch_clash_natal,RELATION,25,0.2,-0.03252613992343786,0.03252613992343786,0.0,1.0,False
diff__unseong__sw_raw_score,UNSEONG,25,0.2,-0.0289543998913222,0.0289543998913222,0.0,1.0,False
diff__unseong__sw_state_사,UNSEONG,25,0.2,0.027737093108561713,0.027737093108561713,1.0,1.0,False
diff__basic__sw_branch_丑,BASIC,25,0.2,0.02688704822309366,0.02688704822309366,1.0,1.0,False
diff__basic__dw_branch_卯,BASIC,25,0.2,0.02648195602731496,0.02648195602731496,1.0,1.0,False
diff__basic__sw_branch_酉,BASIC,25,0.2,-0.02634951138504027,0.02634951138504027,0.0,1.0,False
diff__shinsal__sw_세운_신살_흉살__과숙_,SHINSAL,25,0.2,0.02362626914932824,0.02362626914932824,1.0,1.0,False
diff__tg10__dw_stem_zheng_cai,TG10,25,0.2,0.013526661388829644,0.013526661388829644,1.0,1.0,False
diff__shinsal__sw_세운_신살_길신__천을귀인_,SHINSAL,25,0.2,0.013085071724528014,0.013085071724528014,1.0,1.0,False
diff__relation__sw_dw_branch_clash,RELATION,25,0.2,0.0008297296938079038,0.011404739228909175,0.8,0.8,False
diff__basic__sw_element_fire,BASIC,25,0.2,0.010110535249645307,0.010110535249645307,1.0,1.0,False
diff__tgxstrength__sw_pian_yin_weak,TGX_STRENGTH,25,0.16,-0.040871720129461886,0.040871720129461886,0.0,1.0,False
diff__tgxstrength__sw_shangguan_weak,TGX_STRENGTH,25,0.16,0.03757701204610773,0.03757701204610773,1.0,1.0,False
diff__basic__dw_stem_己,BASIC,25,0.16,0.031695602136147534,0.031695602136147534,1.0,1.0,False
diff__shinsal__dw_신살_흉살__과숙_,SHINSAL,25,0.16,-0.030932222282384698,0.030932222282384698,0.0,1.0,False
diff__yongshin__sw_gi_fit,YONGSHIN,25,0.16,0.02920062491723334,0.02920062491723334,1.0,1.0,False
diff__tg10__sw_branch_hidden_shishen,TG10,25,0.16,-0.026668513319103172,0.026668513319103172,0.0,1.0,False
diff__basic__sw_branch_子,BASIC,25,0.16,-0.02567554671174461,0.02567554671174461,0.0,1.0,False
diff__unseong__dw_state_사,UNSEONG,25,0.16,-0.02131814326945201,0.02131814326945201,0.0,1.0,False
diff__basic__sw_branch_戌,BASIC,25,0.16,0.021050996383447703,0.021050996383447703,1.0,1.0,False
diff__shinsal__sw_세운_신살_길신__천희_,SHINSAL,25,0.16,0.020653138204400137,0.020653138204400137,1.0,1.0,False
diff__tgxstrength__sw_zheng_guan_strong,TGX_STRENGTH,25,0.16,0.019577197764283957,0.019577197764283957,1.0,1.0,False
diff__shinsal__sw_세운_신살_흉살__고진_,SHINSAL,25,0.16,-0.0176700331141699,0.0176700331141699,0.0,1.0,False
diff__unseong__sw_state_목욕,UNSEONG,25,0.16,0.0167937123902028,0.0167937123902028,1.0,1.0,False
diff__yongshin__dw_gu_fit,YONGSHIN,25,0.16,-0.01623651365630037,0.01623651365630037,0.0,1.0,False
diff__shinsal__dw_신살_길신__천희_,SHINSAL,25,0.16,0.012466723014585743,0.012466723014585743,1.0,1.0,False
diff__shinsal__sw_세운_신살_흉살__망신_,SHINSAL,25,0.16,0.012302029789911373,0.012302029789911373,1.0,1.0,False
diff__basic__sw_stem_壬,BASIC,25,0.16,-0.011003779670658607,0.011003779670658607,0.0,1.0,False
diff__unseong__dw_state_목욕,UNSEONG,25,0.16,0.006748070925747237,0.010725822385810237,0.5,0.5,False
diff__relation__sw_branch_harm_natal,RELATION,25,0.12,-0.02914296772184425,0.02914296772184425,0.0,1.0,False
diff__shinsal__dw_신살_흉살__고진_,SHINSAL,25,0.12,0.024468378396952005,0.024468378396952005,1.0,1.0,False
diff__tg10__sw_stem_jiecai,TG10,25,0.12,0.021382984773733585,0.021382984773733585,1.0,1.0,False
diff__basic__sw_element_metal,BASIC,25,0.12,-0.020448903997298273,0.020448903997298273,0.0,1.0,False
diff__tgxstrength__sw_zheng_yin_weak,TGX_STRENGTH,25,0.12,-0.0021864689928769916,0.01835946054653721,0.3333333333333333,0.6666666666666667,False
diff__basic__dw_element_water,BASIC,25,0.12,-0.017371056447167348,0.017371056447167348,0.0,1.0,False
diff__tgxstrength__dw_pian_cai_strong,TGX_STRENGTH,25,0.12,-0.01656680947447544,0.01656680947447544,0.0,1.0,False
diff__unseong__dw_state_병,UNSEONG,25,0.12,0.015811492563834594,0.015811492563834594,1.0,1.0,False
diff__tgxstrength__dw_shangguan_strong,TGX_STRENGTH,25,0.12,-0.012705697748172935,0.012705697748172935,0.0,1.0,False
diff__yongshin__dw_gi_fit,YONGSHIN,25,0.12,0.012597529793349639,0.012597529793349639,1.0,1.0,False
diff__tg10__dw_stem_zheng_yin,TG10,25,0.12,0.0038145866071214872,0.01059801881767392,0.6666666666666666,0.6666666666666666,False
diff__basic__dw_stem_壬,BASIC,25,0.12,-0.01043496995140717,0.01043496995140717,0.0,1.0,False
diff__tgxstrength__dw_zheng_yin_strong,TGX_STRENGTH,25,0.12,0.009794794087371703,0.009794794087371703,1.0,1.0,False
diff__basic__sw_stem_己,BASIC,25,0.12,-0.00965017330495838,0.00965017330495838,0.0,1.0,False
diff__basic__dw_branch_申,BASIC,25,0.12,0.008972985003816767,0.008972985003816767,1.0,1.0,False
diff__tgxstrength__dw_zheng_guan_weak,TGX_STRENGTH,25,0.12,-0.008343425277576024,0.008343425277576024,0.0,1.0,False
diff__shinsal__dw_신살_길신__count,SHINSAL,25,0.12,-0.008255365213949584,0.008255365213949584,0.0,1.0,False
diff__tg10__dw_stem_shishen,TG10,25,0.12,-0.0027179844928304966,0.007509127467797951,0.3333333333333333,0.6666666666666667,False
diff__unseong__sw_state_묘,UNSEONG,25,0.12,-0.0030769564708037446,0.006496022864678009,0.3333333333333333,0.6666666666666667,False
diff__tg10__sw_stem_zheng_yin,TG10,25,0.12,-0.005192513890304936,0.005192513890304936,0.0,1.0,False
diff__yongshin__sw_yong_fit,YONGSHIN,25,0.12,-0.004789276333791876,0.004789276333791876,0.0,1.0,False
diff__basic__dw_branch_未,BASIC,25,0.12,0.004373216938186236,0.004373216938186236,1.0,1.0,False
diff__basic__dw_element_earth,BASIC,25,0.12,0.00386993203364298,0.00386993203364298,1.0,1.0,False
