mechanism_signature,n_pairs,n_subjects,positive_earlier_share,interpretation_allowed
COMPETITIVE::TITLE_WIN__VS__MAJOR_LOSS,16,16,0.6875,True
COMPETITIVE::explicit_outcome__VS__explicit_outcome,25,13,0.0,True
PROJECT::CREATIVE_OR_MEDIA_PROJECT__VS__CREATIVE_OR_MEDIA_PROJECT,12,11,0.9166666666666666,True
PROJECT::commercial_success__VS__commercial_failure,5,5,0.0,True
RECOGNITION::FORMAL_RECOGNITION__VS__FORMAL_RECOGNITION,4,3,0.5,False
PROJECT::commercial_success__VS__overall_project_failure,3,3,0.0,False
PROJECT::project_success__VS__project_cancellation,3,3,0.0,False
STATUS::APPOINTMENT_GAIN__VS__ELECTION_LOSS,3,3,1.0,False
PROJECT::CREATIVE_OR_MEDIA_PROJECT__VS__CANCELLATION,2,2,1.0,False
PROJECT::CREATIVE_OR_MEDIA_PROJECT__VS__COMMERCIAL_FAILURE,2,2,1.0,False
PROJECT::CREATIVE_OR_MEDIA_PROJECT__VS__CRITICAL_FAILURE,2,2,1.0,False
PROJECT::commercial_success__VS__commercial_underperformance,2,2,0.0,False
PROJECT::project_success__VS__commercial_failure,2,2,0.0,False
STATUS::ELECTION_WIN__VS__ELECTION_LOSS,2,2,1.0,False
COMPETITIVE::COMPETITION_OR_PERFORMANCE__VS__COMPETITION_OR_PERFORMANCE,2,1,1.0,False
STATUS::election_win__VS__election_loss,2,1,0.0,False
PROJECT::CREATIVE_OR_MEDIA_PROJECT__VS__CAREER_STALL,1,1,1.0,False
PROJECT::CREATIVE_OR_MEDIA_PROJECT__VS__COMMERCIAL_SETBACK,1,1,1.0,False
PROJECT::commercial_success__VS__financial_failure,1,1,0.0,False
PROJECT::commercial_success__VS__low_commercial_reach,1,1,0.0,False
PROJECT::major_project_success__VS__low_initial_reception,1,1,0.0,False
PROJECT::overall_project_success__VS__overall_project_failure,1,1,0.0,False
PROJECT::project_revived__VS__project_cancellation,1,1,0.0,False
STATUS::APPOINTMENT_GAIN__VS__ROLE_LOSS,1,1,1.0,False
STATUS::BUSINESS_LEADERSHIP_STATUS__VS__BUSINESS_LEADERSHIP_STATUS,1,1,1.0,False
STATUS::appointment_gain__VS__election_campaign_loss,1,1,0.0,False
STATUS::appointment_gain__VS__election_loss,1,1,0.0,False
STATUS::appointment_gain__VS__leadership_loss,1,1,0.0,False
STATUS::role_gain__VS__role_loss,1,1,0.0,False
