model,mechanism_signature,n_pairs,n_subjects,subject_macro_pairwise,interpretation_allowed
AGE_LATER_FIXED,COMPETITIVE::COMPETITION_OR_PERFORMANCE__VS__COMPETITION_OR_PERFORMANCE,2,1,0.0,False
AGE_LATER_FIXED,COMPETITIVE::TITLE_WIN__VS__MAJOR_LOSS,16,16,0.3125,True
AGE_LATER_FIXED,COMPETITIVE::explicit_outcome__VS__explicit_outcome,25,13,1.0,True
AGE_LATER_FIXED,PROJECT::CREATIVE_OR_MEDIA_PROJECT__VS__CANCELLATION,2,2,0.0,False
AGE_LATER_FIXED,PROJECT::CREATIVE_OR_MEDIA_PROJECT__VS__CAREER_STALL,1,1,0.0,False
AGE_LATER_FIXED,PROJECT::CREATIVE_OR_MEDIA_PROJECT__VS__COMMERCIAL_FAILURE,2,2,0.0,False
AGE_LATER_FIXED,PROJECT::CREATIVE_OR_MEDIA_PROJECT__VS__COMMERCIAL_SETBACK,1,1,0.0,False
AGE_LATER_FIXED,PROJECT::CREATIVE_OR_MEDIA_PROJECT__VS__CREATIVE_OR_MEDIA_PROJECT,12,11,0.09090909090909091,True
AGE_LATER_FIXED,PROJECT::CREATIVE_OR_MEDIA_PROJECT__VS__CRITICAL_FAILURE,2,2,0.0,False
AGE_LATER_FIXED,PROJECT::commercial_success__VS__commercial_failure,5,5,1.0,True
AGE_LATER_FIXED,PROJECT::commercial_success__VS__commercial_underperformance,2,2,1.0,False
AGE_LATER_FIXED,PROJECT::commercial_success__VS__financial_failure,1,1,1.0,False
AGE_LATER_FIXED,PROJECT::commercial_success__VS__low_commercial_reach,1,1,1.0,False
AGE_LATER_FIXED,PROJECT::commercial_success__VS__overall_project_failure,3,3,1.0,False
AGE_LATER_FIXED,PROJECT::major_project_success__VS__low_initial_reception,1,1,1.0,False
AGE_LATER_FIXED,PROJECT::overall_project_success__VS__overall_project_failure,1,1,1.0,False
AGE_LATER_FIXED,PROJECT::project_revived__VS__project_cancellation,1,1,1.0,False
AGE_LATER_FIXED,PROJECT::project_success__VS__commercial_failure,2,2,1.0,False
AGE_LATER_FIXED,PROJECT::project_success__VS__project_cancellation,3,3,1.0,False
AGE_LATER_FIXED,RECOGNITION::FORMAL_RECOGNITION__VS__FORMAL_RECOGNITION,4,3,0.5,False
AGE_LATER_FIXED,STATUS::APPOINTMENT_GAIN__VS__ELECTION_LOSS,3,3,0.0,False
AGE_LATER_FIXED,STATUS::APPOINTMENT_GAIN__VS__ROLE_LOSS,1,1,0.0,False
AGE_LATER_FIXED,STATUS::BUSINESS_LEADERSHIP_STATUS__VS__BUSINESS_LEADERSHIP_STATUS,1,1,0.0,False
