model,origin_min,origin_max,origin_gap
NUISANCE_WITH_ORIGIN_DIAGNOSTIC,0.8369565217391305,1.0,0.1630434782608695
ALL_ELASTICNET_AUTO,0.4873873873873875,0.508695652173913,0.021308264786525477
TG10_STEM_BRANCH_L2,0.4673913043478261,0.4704504504504504,0.0030591461026243105
ALL_L2,0.4619819819819818,0.4782608695652174,0.01627888758323559
TG10_STEM_L2,0.4326086956521738,0.4839639639639641,0.05135526831179027
HGB_ALL_EXPLORATORY,0.4218018018018019,0.4369565217391304,0.015154719937328531
TG10_SB_STRENGTH_L2,0.4152173913043477,0.4284684684684685,0.013251077164120773
TG10_SB_RELATIONS_L2,0.4144144144144144,0.4608695652173914,0.04645515080297702
TG5_GROUP_L2,0.4119565217391304,0.4495495495495495,0.03759302781041912
CONTROL_FIXED,0.4072072072072072,0.5217391304347826,0.11453192322757538
NUISANCE_AGE_AXIS,0.2423423423423423,0.6869565217391306,0.44461417939678827
AGE_LATER_FIXED,0.1630434782608695,1.0,0.8369565217391305
AGE_YOUNGER_FIXED,0.0,0.8369565217391305,0.8369565217391305
