pair_id,subject_id,pair_origin,axis,repeat,fold,model,correct
V4PRE_PAIR_003,NEWDEV2_013,PREEXISTING_414_SOURCE_REVIEW,COMPETITIVE,0,0,AGE_YOUNGER_FIXED,1.0
V4PRE_PAIR_006,NEWDEV2_024,PREEXISTING_414_SOURCE_REVIEW,PROJECT,0,0,AGE_YOUNGER_FIXED,1.0
V4PRE_PAIR_010,NEWDEV2_035,PREEXISTING_414_SOURCE_REVIEW,COMPETITIVE,0,0,AGE_YOUNGER_FIXED,1.0
V4PRE_PAIR_012,NEWDEV2_041,PREEXISTING_414_SOURCE_REVIEW,STATUS,0,0,AGE_YOUNGER_FIXED,1.0
V4PRE_PAIR_018,NEWDEV2_067,PREEXISTING_414_SOURCE_REVIEW,STATUS,0,0,AGE_YOUNGER_FIXED,1.0
V4PRE_PAIR_024,NEWDEV2_078,PREEXISTING_414_SOURCE_REVIEW,COMPETITIVE,0,0,AGE_YOUNGER_FIXED,1.0
V4PRE_PAIR_031,MLV2_DEV_003,PREEXISTING_414_SOURCE_REVIEW,PROJECT,0,0,AGE_YOUNGER_FIXED,1.0
V4PRE_PAIR_032,MLV2_DEV_005,PREEXISTING_414_SOURCE_REVIEW,PROJECT,0,0,AGE_YOUNGER_FIXED,1.0
V4PRE_PAIR_035,MLV2_DEV_008,PREEXISTING_414_SOURCE_REVIEW,PROJECT,0,0,AGE_YOUNGER_FIXED,1.0
V4PRE_PAIR_046,MLV2_DEV_050,PREEXISTING_414_SOURCE_REVIEW,PROJECT,0,0,AGE_YOUNGER_FIXED,1.0
V4EXP_PAIR_006,MLV2_DEV_068,V4_TARGET_EXPANSION_2026-08-16,COMPETITIVE,0,0,AGE_YOUNGER_FIXED,0.0
V4EXP_PAIR_007,MLV2_DEV_068,V4_TARGET_EXPANSION_2026-08-16,COMPETITIVE,0,0,AGE_YOUNGER_FIXED,0.0
V4EXP_PAIR_008,MLV2_DEV_068,V4_TARGET_EXPANSION_2026-08-16,COMPETITIVE,0,0,AGE_YOUNGER_FIXED,0.0
V4EXP_PAIR_009,MLV2_DEV_068,V4_TARGET_EXPANSION_2026-08-16,COMPETITIVE,0,0,AGE_YOUNGER_FIXED,0.0
V4EXP_PAIR_010,MLV2_DEV_068,V4_TARGET_EXPANSION_2026-08-16,COMPETITIVE,0,0,AGE_YOUNGER_FIXED,0.0
V4EXP_PAIR_021,NEWDEV2_092,V4_TARGET_EXPANSION_2026-08-16,COMPETITIVE,0,0,AGE_YOUNGER_FIXED,0.0
V4EXP_PAIR_026,MLV2_DEV_005,V4_TARGET_EXPANSION_2026-08-16,PROJECT,0,0,AGE_YOUNGER_FIXED,0.0
V4EXP_PAIR_031,NEWDEV2_054,V4_TARGET_EXPANSION_2026-08-16,PROJECT,0,0,AGE_YOUNGER_FIXED,0.0
V4EXP_PAIR_045,MLV2_DEV_003,V4_TARGET_EXPANSION_2026-08-16,PROJECT,0,0,AGE_YOUNGER_FIXED,0.0
V4EXP_PAIR_047,NEWDEV2_041,V4_TARGET_EXPANSION_2026-08-16,STATUS,0,0,AGE_YOUNGER_FIXED,0.0
V4PRE_PAIR_003,NEWDEV2_013,PREEXISTING_414_SOURCE_REVIEW,COMPETITIVE,0,0,AGE_LATER_FIXED,0.0
V4PRE_PAIR_006,NEWDEV2_024,PREEXISTING_414_SOURCE_REVIEW,PROJECT,0,0,AGE_LATER_FIXED,0.0
V4PRE_PAIR_010,NEWDEV2_035,PREEXISTING_414_SOURCE_REVIEW,COMPETITIVE,0,0,AGE_LATER_FIXED,0.0
V4PRE_PAIR_012,NEWDEV2_041,PREEXISTING_414_SOURCE_REVIEW,STATUS,0,0,AGE_LATER_FIXED,0.0
V4PRE_PAIR_018,NEWDEV2_067,PREEXISTING_414_SOURCE_REVIEW,STATUS,0,0,AGE_LATER_FIXED,0.0
V4PRE_PAIR_024,NEWDEV2_078,PREEXISTING_414_SOURCE_REVIEW,COMPETITIVE,0,0,AGE_LATER_FIXED,0.0
V4PRE_PAIR_031,MLV2_DEV_003,PREEXISTING_414_SOURCE_REVIEW,PROJECT,0,0,AGE_LATER_FIXED,0.0
V4PRE_PAIR_032,MLV2_DEV_005,PREEXISTING_414_SOURCE_REVIEW,PROJECT,0,0,AGE_LATER_FIXED,0.0
V4PRE_PAIR_035,MLV2_DEV_008,PREEXISTING_414_SOURCE_REVIEW,PROJECT,0,0,AGE_LATER_FIXED,0.0
V4PRE_PAIR_046,MLV2_DEV_050,PREEXISTING_414_SOURCE_REVIEW,PROJECT,0,0,AGE_LATER_FIXED,0.0
V4EXP_PAIR_006,MLV2_DEV_068,V4_TARGET_EXPANSION_2026-08-16,COMPETITIVE,0,0,AGE_LATER_FIXED,1.0
V4EXP_PAIR_007,MLV2_DEV_068,V4_TARGET_EXPANSION_2026-08-16,COMPETITIVE,0,0,AGE_LATER_FIXED,1.0
V4EXP_PAIR_008,MLV2_DEV_068,V4_TARGET_EXPANSION_2026-08-16,COMPETITIVE,0,0,AGE_LATER_FIXED,1.0
V4EXP_PAIR_009,MLV2_DEV_068,V4_TARGET_EXPANSION_2026-08-16,COMPETITIVE,0,0,AGE_LATER_FIXED,1.0
V4EXP_PAIR_010,MLV2_DEV_068,V4_TARGET_EXPANSION_2026-08-16,COMPETITIVE,0,0,AGE_LATER_FIXED,1.0
V4EXP_PAIR_021,NEWDEV2_092,V4_TARGET_EXPANSION_2026-08-16,COMPETITIVE,0,0,AGE_LATER_FIXED,1.0
V4EXP_PAIR_026,MLV2_DEV_005,V4_TARGET_EXPANSION_2026-08-16,PROJECT,0,0,AGE_LATER_FIXED,1.0
V4EXP_PAIR_031,NEWDEV2_054,V4_TARGET_EXPANSION_2026-08-16,PROJECT,0,0,AGE_LATER_FIXED,1.0
V4EXP_PAIR_045,MLV2_DEV_003,V4_TARGET_EXPANSION_2026-08-16,PROJECT,0,0,AGE_LATER_FIXED,1.0
V4EXP_PAIR_047,NEWDEV2_041,V4_TARGET_EXPANSION_2026-08-16,STATUS,0,0,AGE_LATER_FIXED,1.0
