subject_id,correct,repeat,fold,model
MLV2_DEV_003,0.5,0,0,AGE_YOUNGER_FIXED
MLV2_DEV_005,0.5,0,0,AGE_YOUNGER_FIXED
MLV2_DEV_008,1.0,0,0,AGE_YOUNGER_FIXED
MLV2_DEV_050,1.0,0,0,AGE_YOUNGER_FIXED
MLV2_DEV_068,0.0,0,0,AGE_YOUNGER_FIXED
NEWDEV2_013,1.0,0,0,AGE_YOUNGER_FIXED
NEWDEV2_024,1.0,0,0,AGE_YOUNGER_FIXED
NEWDEV2_035,1.0,0,0,AGE_YOUNGER_FIXED
NEWDEV2_041,0.5,0,0,AGE_YOUNGER_FIXED
NEWDEV2_054,0.0,0,0,AGE_YOUNGER_FIXED
NEWDEV2_067,1.0,0,0,AGE_YOUNGER_FIXED
NEWDEV2_078,1.0,0,0,AGE_YOUNGER_FIXED
NEWDEV2_092,0.0,0,0,AGE_YOUNGER_FIXED
MLV2_DEV_003,0.5,0,0,AGE_LATER_FIXED
MLV2_DEV_005,0.5,0,0,AGE_LATER_FIXED
MLV2_DEV_008,0.0,0,0,AGE_LATER_FIXED
MLV2_DEV_050,0.0,0,0,AGE_LATER_FIXED
MLV2_DEV_068,1.0,0,0,AGE_LATER_FIXED
NEWDEV2_013,0.0,0,0,AGE_LATER_FIXED
NEWDEV2_024,0.0,0,0,AGE_LATER_FIXED
NEWDEV2_035,0.0,0,0,AGE_LATER_FIXED
NEWDEV2_041,0.5,0,0,AGE_LATER_FIXED
NEWDEV2_054,1.0,0,0,AGE_LATER_FIXED
NEWDEV2_067,0.0,0,0,AGE_LATER_FIXED
NEWDEV2_078,0.0,0,0,AGE_LATER_FIXED
NEWDEV2_092,1.0,0,0,AGE_LATER_FIXED
MLV2_DEV_003,0.5,0,0,CONTROL_FIXED
MLV2_DEV_005,1.0,0,0,CONTROL_FIXED
MLV2_DEV_008,0.0,0,0,CONTROL_FIXED
MLV2_DEV_050,0.0,0,0,CONTROL_FIXED
MLV2_DEV_068,0.4,0,0,CONTROL_FIXED
NEWDEV2_013,0.0,0,0,CONTROL_FIXED
NEWDEV2_024,1.0,0,0,CONTROL_FIXED
NEWDEV2_035,0.5,0,0,CONTROL_FIXED
NEWDEV2_041,0.5,0,0,CONTROL_FIXED
NEWDEV2_054,0.5,0,0,CONTROL_FIXED
NEWDEV2_067,1.0,0,0,CONTROL_FIXED
NEWDEV2_078,1.0,0,0,CONTROL_FIXED
NEWDEV2_092,0.0,0,0,CONTROL_FIXED
MLV2_DEV_003,0.25,0,0,TG5_GROUP_L2
MLV2_DEV_005,0.75,0,0,TG5_GROUP_L2
MLV2_DEV_008,0.0,0,0,TG5_GROUP_L2
MLV2_DEV_050,0.0,0,0,TG5_GROUP_L2
MLV2_DEV_068,0.7,0,0,TG5_GROUP_L2
NEWDEV2_013,1.0,0,0,TG5_GROUP_L2
NEWDEV2_024,1.0,0,0,TG5_GROUP_L2
NEWDEV2_035,1.0,0,0,TG5_GROUP_L2
NEWDEV2_041,0.0,0,0,TG5_GROUP_L2
NEWDEV2_054,0.0,0,0,TG5_GROUP_L2
NEWDEV2_067,0.0,0,0,TG5_GROUP_L2
NEWDEV2_078,0.0,0,0,TG5_GROUP_L2
NEWDEV2_092,0.5,0,0,TG5_GROUP_L2
MLV2_DEV_003,0.0,0,0,TG10_STEM_L2
MLV2_DEV_005,0.5,0,0,TG10_STEM_L2
MLV2_DEV_008,0.0,0,0,TG10_STEM_L2
MLV2_DEV_050,1.0,0,0,TG10_STEM_L2
MLV2_DEV_068,0.6,0,0,TG10_STEM_L2
NEWDEV2_013,0.0,0,0,TG10_STEM_L2
NEWDEV2_024,0.0,0,0,TG10_STEM_L2
NEWDEV2_035,1.0,0,0,TG10_STEM_L2
NEWDEV2_041,0.5,0,0,TG10_STEM_L2
NEWDEV2_054,0.0,0,0,TG10_STEM_L2
NEWDEV2_067,0.0,0,0,TG10_STEM_L2
NEWDEV2_078,0.0,0,0,TG10_STEM_L2
NEWDEV2_092,0.0,0,0,TG10_STEM_L2
MLV2_DEV_003,0.0,0,0,TG10_STEM_BRANCH_L2
MLV2_DEV_005,0.5,0,0,TG10_STEM_BRANCH_L2
MLV2_DEV_008,0.0,0,0,TG10_STEM_BRANCH_L2
MLV2_DEV_050,0.0,0,0,TG10_STEM_BRANCH_L2
MLV2_DEV_068,0.8,0,0,TG10_STEM_BRANCH_L2
NEWDEV2_013,0.0,0,0,TG10_STEM_BRANCH_L2
NEWDEV2_024,1.0,0,0,TG10_STEM_BRANCH_L2
NEWDEV2_035,1.0,0,0,TG10_STEM_BRANCH_L2
NEWDEV2_041,0.5,0,0,TG10_STEM_BRANCH_L2
NEWDEV2_054,0.0,0,0,TG10_STEM_BRANCH_L2
NEWDEV2_067,1.0,0,0,TG10_STEM_BRANCH_L2
NEWDEV2_078,0.0,0,0,TG10_STEM_BRANCH_L2
NEWDEV2_092,0.0,0,0,TG10_STEM_BRANCH_L2
MLV2_DEV_003,0.0,0,0,TG10_SB_STRENGTH_L2
MLV2_DEV_005,1.0,0,0,TG10_SB_STRENGTH_L2
MLV2_DEV_008,0.0,0,0,TG10_SB_STRENGTH_L2
MLV2_DEV_050,0.0,0,0,TG10_SB_STRENGTH_L2
MLV2_DEV_068,0.8,0,0,TG10_SB_STRENGTH_L2
NEWDEV2_013,0.0,0,0,TG10_SB_STRENGTH_L2
NEWDEV2_024,1.0,0,0,TG10_SB_STRENGTH_L2
NEWDEV2_035,0.0,0,0,TG10_SB_STRENGTH_L2
NEWDEV2_041,0.5,0,0,TG10_SB_STRENGTH_L2
NEWDEV2_054,0.0,0,0,TG10_SB_STRENGTH_L2
NEWDEV2_067,1.0,0,0,TG10_SB_STRENGTH_L2
NEWDEV2_078,1.0,0,0,TG10_SB_STRENGTH_L2
NEWDEV2_092,0.0,0,0,TG10_SB_STRENGTH_L2
MLV2_DEV_003,0.0,0,0,TG10_SB_RELATIONS_L2
MLV2_DEV_005,1.0,0,0,TG10_SB_RELATIONS_L2
MLV2_DEV_008,0.0,0,0,TG10_SB_RELATIONS_L2
MLV2_DEV_050,0.0,0,0,TG10_SB_RELATIONS_L2
MLV2_DEV_068,0.6,0,0,TG10_SB_RELATIONS_L2
NEWDEV2_013,0.0,0,0,TG10_SB_RELATIONS_L2
NEWDEV2_024,1.0,0,0,TG10_SB_RELATIONS_L2
NEWDEV2_035,1.0,0,0,TG10_SB_RELATIONS_L2
NEWDEV2_041,0.5,0,0,TG10_SB_RELATIONS_L2
NEWDEV2_054,0.0,0,0,TG10_SB_RELATIONS_L2
NEWDEV2_067,1.0,0,0,TG10_SB_RELATIONS_L2
NEWDEV2_078,1.0,0,0,TG10_SB_RELATIONS_L2
NEWDEV2_092,0.0,0,0,TG10_SB_RELATIONS_L2
MLV2_DEV_003,0.0,0,0,ALL_L2
MLV2_DEV_005,0.5,0,0,ALL_L2
MLV2_DEV_008,1.0,0,0,ALL_L2
MLV2_DEV_050,0.0,0,0,ALL_L2
MLV2_DEV_068,0.8,0,0,ALL_L2
NEWDEV2_013,0.0,0,0,ALL_L2
NEWDEV2_024,1.0,0,0,ALL_L2
NEWDEV2_035,1.0,0,0,ALL_L2
NEWDEV2_041,0.5,0,0,ALL_L2
NEWDEV2_054,0.0,0,0,ALL_L2
NEWDEV2_067,0.0,0,0,ALL_L2
NEWDEV2_078,1.0,0,0,ALL_L2
NEWDEV2_092,1.0,0,0,ALL_L2
MLV2_DEV_003,1.0,0,0,NUISANCE_AGE_AXIS
MLV2_DEV_005,0.5,0,0,NUISANCE_AGE_AXIS
MLV2_DEV_008,1.0,0,0,NUISANCE_AGE_AXIS
MLV2_DEV_050,1.0,0,0,NUISANCE_AGE_AXIS
MLV2_DEV_068,1.0,0,0,NUISANCE_AGE_AXIS
NEWDEV2_013,0.0,0,0,NUISANCE_AGE_AXIS
NEWDEV2_024,1.0,0,0,NUISANCE_AGE_AXIS
NEWDEV2_035,0.0,0,0,NUISANCE_AGE_AXIS
NEWDEV2_041,0.5,0,0,NUISANCE_AGE_AXIS
NEWDEV2_054,0.0,0,0,NUISANCE_AGE_AXIS
NEWDEV2_067,1.0,0,0,NUISANCE_AGE_AXIS
NEWDEV2_078,0.0,0,0,NUISANCE_AGE_AXIS
NEWDEV2_092,1.0,0,0,NUISANCE_AGE_AXIS
MLV2_DEV_003,1.0,0,0,NUISANCE_WITH_ORIGIN_DIAGNOSTIC
MLV2_DEV_005,1.0,0,0,NUISANCE_WITH_ORIGIN_DIAGNOSTIC
MLV2_DEV_008,1.0,0,0,NUISANCE_WITH_ORIGIN_DIAGNOSTIC
MLV2_DEV_050,1.0,0,0,NUISANCE_WITH_ORIGIN_DIAGNOSTIC
MLV2_DEV_068,1.0,0,0,NUISANCE_WITH_ORIGIN_DIAGNOSTIC
NEWDEV2_013,1.0,0,0,NUISANCE_WITH_ORIGIN_DIAGNOSTIC
NEWDEV2_024,1.0,0,0,NUISANCE_WITH_ORIGIN_DIAGNOSTIC
NEWDEV2_035,1.0,0,0,NUISANCE_WITH_ORIGIN_DIAGNOSTIC
NEWDEV2_041,1.0,0,0,NUISANCE_WITH_ORIGIN_DIAGNOSTIC
NEWDEV2_054,1.0,0,0,NUISANCE_WITH_ORIGIN_DIAGNOSTIC
NEWDEV2_067,1.0,0,0,NUISANCE_WITH_ORIGIN_DIAGNOSTIC
NEWDEV2_078,1.0,0,0,NUISANCE_WITH_ORIGIN_DIAGNOSTIC
NEWDEV2_092,1.0,0,0,NUISANCE_WITH_ORIGIN_DIAGNOSTIC
MLV2_DEV_003,0.0,0,0,ALL_ELASTICNET_AUTO
MLV2_DEV_005,0.0,0,0,ALL_ELASTICNET_AUTO
MLV2_DEV_008,0.0,0,0,ALL_ELASTICNET_AUTO
MLV2_DEV_050,0.0,0,0,ALL_ELASTICNET_AUTO
MLV2_DEV_068,0.0,0,0,ALL_ELASTICNET_AUTO
NEWDEV2_013,0.0,0,0,ALL_ELASTICNET_AUTO
NEWDEV2_024,0.0,0,0,ALL_ELASTICNET_AUTO
NEWDEV2_035,0.0,0,0,ALL_ELASTICNET_AUTO
NEWDEV2_041,0.0,0,0,ALL_ELASTICNET_AUTO
NEWDEV2_054,0.0,0,0,ALL_ELASTICNET_AUTO
NEWDEV2_067,0.0,0,0,ALL_ELASTICNET_AUTO
NEWDEV2_078,0.0,0,0,ALL_ELASTICNET_AUTO
NEWDEV2_092,0.0,0,0,ALL_ELASTICNET_AUTO
MLV2_DEV_003,0.5,0,0,HGB_ALL_EXPLORATORY
MLV2_DEV_005,1.0,0,0,HGB_ALL_EXPLORATORY
MLV2_DEV_008,1.0,0,0,HGB_ALL_EXPLORATORY
MLV2_DEV_050,1.0,0,0,HGB_ALL_EXPLORATORY
MLV2_DEV_068,0.8,0,0,HGB_ALL_EXPLORATORY
NEWDEV2_013,0.0,0,0,HGB_ALL_EXPLORATORY
NEWDEV2_024,1.0,0,0,HGB_ALL_EXPLORATORY
NEWDEV2_035,0.0,0,0,HGB_ALL_EXPLORATORY
NEWDEV2_041,0.5,0,0,HGB_ALL_EXPLORATORY
NEWDEV2_054,0.0,0,0,HGB_ALL_EXPLORATORY
NEWDEV2_067,0.0,0,0,HGB_ALL_EXPLORATORY
NEWDEV2_078,1.0,0,0,HGB_ALL_EXPLORATORY
NEWDEV2_092,0.0,0,0,HGB_ALL_EXPLORATORY
MLV2_DEV_020,1.0,0,1,AGE_YOUNGER_FIXED
MLV2_DEV_027,0.5,0,1,AGE_YOUNGER_FIXED
MLV2_DEV_028,0.0,0,1,AGE_YOUNGER_FIXED
MLV2_DEV_038,0.0,0,1,AGE_YOUNGER_FIXED
MLV2_DEV_058,1.0,0,1,AGE_YOUNGER_FIXED
NEWDEV2_006,0.0,0,1,AGE_YOUNGER_FIXED
NEWDEV2_030,1.0,0,1,AGE_YOUNGER_FIXED
NEWDEV2_056,0.25,0,1,AGE_YOUNGER_FIXED
NEWDEV2_059,0.0,0,1,AGE_YOUNGER_FIXED
NEWDEV2_060,0.0,0,1,AGE_YOUNGER_FIXED
NEWDEV2_068,1.0,0,1,AGE_YOUNGER_FIXED
NEWDEV2_077,1.0,0,1,AGE_YOUNGER_FIXED
NEWDEV2_089,0.5,0,1,AGE_YOUNGER_FIXED
NEWDEV2_100,0.0,0,1,AGE_YOUNGER_FIXED
MLV2_DEV_020,0.0,0,1,AGE_LATER_FIXED
MLV2_DEV_027,0.5,0,1,AGE_LATER_FIXED
MLV2_DEV_028,1.0,0,1,AGE_LATER_FIXED
MLV2_DEV_038,1.0,0,1,AGE_LATER_FIXED
MLV2_DEV_058,0.0,0,1,AGE_LATER_FIXED
NEWDEV2_006,1.0,0,1,AGE_LATER_FIXED
NEWDEV2_030,0.0,0,1,AGE_LATER_FIXED
NEWDEV2_056,0.75,0,1,AGE_LATER_FIXED
NEWDEV2_059,1.0,0,1,AGE_LATER_FIXED
NEWDEV2_060,1.0,0,1,AGE_LATER_FIXED
NEWDEV2_068,0.0,0,1,AGE_LATER_FIXED
NEWDEV2_077,0.0,0,1,AGE_LATER_FIXED
NEWDEV2_089,0.5,0,1,AGE_LATER_FIXED
NEWDEV2_100,1.0,0,1,AGE_LATER_FIXED
MLV2_DEV_020,0.0,0,1,CONTROL_FIXED
MLV2_DEV_027,1.0,0,1,CONTROL_FIXED
MLV2_DEV_028,1.0,0,1,CONTROL_FIXED
MLV2_DEV_038,0.0,0,1,CONTROL_FIXED
MLV2_DEV_058,0.0,0,1,CONTROL_FIXED
NEWDEV2_006,0.5,0,1,CONTROL_FIXED
NEWDEV2_030,0.0,0,1,CONTROL_FIXED
NEWDEV2_056,0.0,0,1,CONTROL_FIXED
NEWDEV2_059,0.0,0,1,CONTROL_FIXED
NEWDEV2_060,0.0,0,1,CONTROL_FIXED
NEWDEV2_068,0.0,0,1,CONTROL_FIXED
NEWDEV2_077,1.0,0,1,CONTROL_FIXED
NEWDEV2_089,1.0,0,1,CONTROL_FIXED
NEWDEV2_100,0.0,0,1,CONTROL_FIXED
MLV2_DEV_020,0.0,0,1,TG5_GROUP_L2
MLV2_DEV_027,0.5,0,1,TG5_GROUP_L2
MLV2_DEV_028,0.0,0,1,TG5_GROUP_L2
MLV2_DEV_038,1.0,0,1,TG5_GROUP_L2
MLV2_DEV_058,1.0,0,1,TG5_GROUP_L2
NEWDEV2_006,1.0,0,1,TG5_GROUP_L2
NEWDEV2_030,0.0,0,1,TG5_GROUP_L2
NEWDEV2_056,0.125,0,1,TG5_GROUP_L2
NEWDEV2_059,0.75,0,1,TG5_GROUP_L2
NEWDEV2_060,0.0,0,1,TG5_GROUP_L2
NEWDEV2_068,0.5,0,1,TG5_GROUP_L2
NEWDEV2_077,0.0,0,1,TG5_GROUP_L2
NEWDEV2_089,0.75,0,1,TG5_GROUP_L2
NEWDEV2_100,1.0,0,1,TG5_GROUP_L2
MLV2_DEV_020,0.0,0,1,TG10_STEM_L2
MLV2_DEV_027,1.0,0,1,TG10_STEM_L2
MLV2_DEV_028,1.0,0,1,TG10_STEM_L2
MLV2_DEV_038,1.0,0,1,TG10_STEM_L2
MLV2_DEV_058,1.0,0,1,TG10_STEM_L2
NEWDEV2_006,0.0,0,1,TG10_STEM_L2
NEWDEV2_030,0.0,0,1,TG10_STEM_L2
NEWDEV2_056,0.25,0,1,TG10_STEM_L2
NEWDEV2_059,0.5,0,1,TG10_STEM_L2
NEWDEV2_060,0.0,0,1,TG10_STEM_L2
NEWDEV2_068,1.0,0,1,TG10_STEM_L2
NEWDEV2_077,0.0,0,1,TG10_STEM_L2
NEWDEV2_089,1.0,0,1,TG10_STEM_L2
NEWDEV2_100,1.0,0,1,TG10_STEM_L2
MLV2_DEV_020,1.0,0,1,TG10_STEM_BRANCH_L2
MLV2_DEV_027,1.0,0,1,TG10_STEM_BRANCH_L2
MLV2_DEV_028,1.0,0,1,TG10_STEM_BRANCH_L2
MLV2_DEV_038,1.0,0,1,TG10_STEM_BRANCH_L2
MLV2_DEV_058,0.0,0,1,TG10_STEM_BRANCH_L2
NEWDEV2_006,0.0,0,1,TG10_STEM_BRANCH_L2
NEWDEV2_030,0.0,0,1,TG10_STEM_BRANCH_L2
NEWDEV2_056,0.0,0,1,TG10_STEM_BRANCH_L2
NEWDEV2_059,0.5,0,1,TG10_STEM_BRANCH_L2
NEWDEV2_060,0.0,0,1,TG10_STEM_BRANCH_L2
NEWDEV2_068,1.0,0,1,TG10_STEM_BRANCH_L2
NEWDEV2_077,0.0,0,1,TG10_STEM_BRANCH_L2
NEWDEV2_089,1.0,0,1,TG10_STEM_BRANCH_L2
NEWDEV2_100,1.0,0,1,TG10_STEM_BRANCH_L2
MLV2_DEV_020,1.0,0,1,TG10_SB_STRENGTH_L2
MLV2_DEV_027,1.0,0,1,TG10_SB_STRENGTH_L2
MLV2_DEV_028,1.0,0,1,TG10_SB_STRENGTH_L2
MLV2_DEV_038,0.0,0,1,TG10_SB_STRENGTH_L2
MLV2_DEV_058,0.0,0,1,TG10_SB_STRENGTH_L2
NEWDEV2_006,0.0,0,1,TG10_SB_STRENGTH_L2
NEWDEV2_030,0.0,0,1,TG10_SB_STRENGTH_L2
NEWDEV2_056,0.0,0,1,TG10_SB_STRENGTH_L2
NEWDEV2_059,1.0,0,1,TG10_SB_STRENGTH_L2
NEWDEV2_060,0.0,0,1,TG10_SB_STRENGTH_L2
NEWDEV2_068,0.0,0,1,TG10_SB_STRENGTH_L2
NEWDEV2_077,0.0,0,1,TG10_SB_STRENGTH_L2
NEWDEV2_089,1.0,0,1,TG10_SB_STRENGTH_L2
NEWDEV2_100,1.0,0,1,TG10_SB_STRENGTH_L2
MLV2_DEV_020,1.0,0,1,TG10_SB_RELATIONS_L2
MLV2_DEV_027,1.0,0,1,TG10_SB_RELATIONS_L2
MLV2_DEV_028,1.0,0,1,TG10_SB_RELATIONS_L2
MLV2_DEV_038,1.0,0,1,TG10_SB_RELATIONS_L2
MLV2_DEV_058,0.0,0,1,TG10_SB_RELATIONS_L2
NEWDEV2_006,0.0,0,1,TG10_SB_RELATIONS_L2
NEWDEV2_030,0.0,0,1,TG10_SB_RELATIONS_L2
NEWDEV2_056,0.0,0,1,TG10_SB_RELATIONS_L2
NEWDEV2_059,1.0,0,1,TG10_SB_RELATIONS_L2
NEWDEV2_060,0.0,0,1,TG10_SB_RELATIONS_L2
