model,axis,n_pairs,n_subjects,subject_macro_pairwise
AGE_LATER_FIXED,COMPETITIVE,43,26,0.625
AGE_LATER_FIXED,PROJECT,40,33,0.5404040404040404
AGE_LATER_FIXED,RECOGNITION,4,3,0.5
AGE_LATER_FIXED,STATUS,13,9,0.4074074074074074
AGE_YOUNGER_FIXED,COMPETITIVE,43,26,0.375
AGE_YOUNGER_FIXED,PROJECT,40,33,0.45959595959595956
AGE_YOUNGER_FIXED,RECOGNITION,4,3,0.5
AGE_YOUNGER_FIXED,STATUS,13,9,0.5925925925925927
ALL_ELASTICNET_AUTO,COMPETITIVE,43,26,0.5544871794871795
ALL_ELASTICNET_AUTO,PROJECT,40,33,0.48181818181818187
ALL_ELASTICNET_AUTO,RECOGNITION,4,3,0.4666666666666666
ALL_ELASTICNET_AUTO,STATUS,13,9,0.48148148148148145
ALL_L2,COMPETITIVE,43,26,0.551025641025641
ALL_L2,PROJECT,40,33,0.43333333333333335
ALL_L2,RECOGNITION,4,3,0.26666666666666666
ALL_L2,STATUS,13,9,0.5037037037037037
CONTROL_FIXED,COMPETITIVE,43,26,0.3807692307692307
CONTROL_FIXED,PROJECT,40,33,0.48484848484848486
CONTROL_FIXED,RECOGNITION,4,3,0.5
CONTROL_FIXED,STATUS,13,9,0.7222222222222222
HGB_ALL_EXPLORATORY,COMPETITIVE,43,26,0.481025641025641
HGB_ALL_EXPLORATORY,PROJECT,40,33,0.40404040404040403
HGB_ALL_EXPLORATORY,RECOGNITION,4,3,0.3666666666666667
HGB_ALL_EXPLORATORY,STATUS,13,9,0.47777777777777775
NUISANCE_AGE_AXIS,COMPETITIVE,43,26,0.3961538461538462
NUISANCE_AGE_AXIS,PROJECT,40,33,0.5202020202020201
NUISANCE_AGE_AXIS,RECOGNITION,4,3,0.16666666666666666
NUISANCE_AGE_AXIS,STATUS,13,9,0.5925925925925926
NUISANCE_WITH_ORIGIN_DIAGNOSTIC,COMPETITIVE,43,26,0.8076923076923077
NUISANCE_WITH_ORIGIN_DIAGNOSTIC,PROJECT,40,33,0.9696969696969697
NUISANCE_WITH_ORIGIN_DIAGNOSTIC,RECOGNITION,4,3,0.5
NUISANCE_WITH_ORIGIN_DIAGNOSTIC,STATUS,13,9,1.0
TG10_SB_RELATIONS_L2,COMPETITIVE,43,26,0.41923076923076924
TG10_SB_RELATIONS_L2,PROJECT,40,33,0.38181818181818183
TG10_SB_RELATIONS_L2,RECOGNITION,4,3,0.4666666666666666
TG10_SB_RELATIONS_L2,STATUS,13,9,0.6851851851851851
TG10_SB_STRENGTH_L2,COMPETITIVE,43,26,0.4385897435897437
TG10_SB_STRENGTH_L2,PROJECT,40,33,0.3848484848484849
TG10_SB_STRENGTH_L2,RECOGNITION,4,3,0.4000000000000001
TG10_SB_STRENGTH_L2,STATUS,13,9,0.5
TG10_STEM_BRANCH_L2,COMPETITIVE,43,26,0.4585897435897437
TG10_STEM_BRANCH_L2,PROJECT,40,33,0.44949494949494945
TG10_STEM_BRANCH_L2,RECOGNITION,4,3,0.43333333333333335
TG10_STEM_BRANCH_L2,STATUS,13,9,0.6000000000000001
TG10_STEM_L2,COMPETITIVE,43,26,0.472051282051282
TG10_STEM_L2,PROJECT,40,33,0.42323232323232324
TG10_STEM_L2,RECOGNITION,4,3,0.26666666666666666
TG10_STEM_L2,STATUS,13,9,0.5185185185185186
TG5_GROUP_L2,COMPETITIVE,43,26,0.4330128205128205
TG5_GROUP_L2,PROJECT,40,33,0.41161616161616155
TG5_GROUP_L2,RECOGNITION,4,3,0.25
TG5_GROUP_L2,STATUS,13,9,0.4351851851851852
