C,l1_ratio,inner_macro,inner_p10,repeat,fold
0.03,0.5,1.0,1.0,0,0
0.03,0.75,1.0,1.0,0,0
0.03,1.0,1.0,1.0,0,0
0.03,0.25,0.9722222222222222,0.9333333333333332,0,0
0.1,1.0,0.9722222222222222,0.9333333333333332,0,0
0.1,0.75,0.8728070175438596,0.6947368421052632,0,0
1.0,0.5,0.45516569200779733,0.4096491228070176,0,0
0.1,0.5,0.4540285899935023,0.33440545808966865,0,0
1.0,0.25,0.4254385964912281,0.41754385964912283,0,0
0.3,0.25,0.4137426900584796,0.406140350877193,0,0
1.0,0.75,0.4083820662768031,0.37485380116959066,0,0
1.0,1.0,0.3991228070175439,0.3482456140350877,0,0
0.3,0.5,0.3888888888888889,0.28157894736842104,0,0
0.1,0.25,0.36712150747238464,0.2223196881091618,0,0
0.3,0.75,0.30003248862897985,0.16042884990253412,0,0
0.3,1.0,0.28687459389213776,0.14639376218323585,0,0
1.0,0.5,0.5404158544509422,0.512962962962963,0,1
1.0,0.25,0.5276478232618583,0.5018518518518519,0,1
0.3,0.25,0.5192332683560753,0.4759259259259259,0,1
1.0,0.75,0.5073749187784277,0.4740740740740741,0,1
0.3,0.5,0.4857699805068226,0.39444444444444443,0,1
0.3,0.75,0.48268356075373614,0.42592592592592593,0,1
0.1,0.25,0.4795971410006497,0.37407407407407406,0,1
1.0,1.0,0.47820012995451594,0.40925925925925927,0,1
0.1,0.5,0.44148797920727745,0.37415204678362574,0,1
0.3,1.0,0.4250812215724496,0.3592592592592592,0,1
0.1,0.75,0.3533463287849252,0.052748538011695906,0,1
0.03,0.25,0.34259259259259256,0.005555555555555556,0,1
0.03,0.5,0.3333333333333333,0.0,0,1
0.03,0.75,0.3333333333333333,0.0,0,1
0.03,1.0,0.3333333333333333,0.0,0,1
0.1,1.0,0.3333333333333333,0.0,0,1
0.1,0.75,0.7227095516569201,0.5608187134502924,0,2
0.1,0.5,0.6159519168291098,0.5400389863547758,0,2
0.3,0.75,0.5481156595191683,0.4976413255360624,0,2
0.3,1.0,0.5403183885640026,0.41746588693957115,0,2
0.1,0.25,0.525211176088369,0.4610916179337232,0,2
0.03,0.25,0.49074074074074076,0.09444444444444444,0,2
0.3,0.25,0.4852501624431449,0.43968810916179335,0,2
1.0,0.75,0.47599090318388565,0.41746588693957115,0,2
1.0,1.0,0.4642949967511371,0.4069395711500975,0,2
0.3,0.5,0.46088369070825214,0.3952436647173489,0,2
1.0,0.5,0.4584470435347628,0.41500974658869394,0,2
1.0,0.25,0.42961338531513976,0.361598440545809,0,2
0.1,1.0,0.3888888888888889,0.03333333333333333,0,2
0.03,0.5,0.3333333333333333,0.0,0,2
0.03,0.75,0.3333333333333333,0.0,0,2
0.03,1.0,0.3333333333333333,0.0,0,2
0.3,0.25,0.5113872644574399,0.4859259259259259,0,3
1.0,0.25,0.5101689408706953,0.4961013645224171,0,3
0.1,0.25,0.5062703053931125,0.4714814814814815,0,3
1.0,1.0,0.5023716699155295,0.4442105263157894,0,3
1.0,0.5,0.49969135802469133,0.48148148148148145,0,3
0.3,0.5,0.4858024691358025,0.44814814814814813,0,3
0.1,0.5,0.4858024691358025,0.3548148148148148,0,3
1.0,0.75,0.4758122157244964,0.4582456140350877,0,3
0.3,0.75,0.4524691358024691,0.4248148148148148,0,3
0.3,1.0,0.44626380766731644,0.3814035087719298,0,3
0.03,0.25,0.3333333333333333,0.0,0,3
0.03,0.5,0.3333333333333333,0.0,0,3
0.03,0.75,0.3333333333333333,0.0,0,3
0.03,1.0,0.3333333333333333,0.0,0,3
0.1,0.75,0.3333333333333333,0.0,0,3
0.1,1.0,0.3333333333333333,0.0,0,3
0.03,0.25,0.6666666666666666,0.2,0,4
0.03,0.5,0.6666666666666666,0.2,0,4
0.03,0.75,0.6666666666666666,0.2,0,4
0.03,1.0,0.6666666666666666,0.2,0,4
0.1,1.0,0.6666666666666666,0.2,0,4
0.1,0.75,0.6203703703703703,0.17222222222222225,0,4
1.0,1.0,0.49567901234567896,0.4629629629629629,0,4
1.0,0.5,0.4641975308641975,0.43407407407407406,0,4
1.0,0.75,0.4586419753086419,0.4074074074074074,0,4
0.3,0.5,0.4586419753086419,0.4011111111111111,0,4
0.3,1.0,0.4493827160493827,0.40185185185185185,0,4
0.1,0.25,0.4401234567901235,0.39555555555555555,0,4
0.3,0.75,0.43086419753086425,0.3711111111111111,0,4
1.0,0.25,0.39012345679012345,0.3174074074074074,0,4
0.3,0.25,0.3808641975308642,0.34518518518518515,0,4
0.1,0.5,0.36604938271604937,0.22851851851851854,0,4
1.0,0.75,0.5942982456140351,0.5416666666666666,1,0
