feature,selection_frequency,mean_coefficient
diff__relation__sw_dw_branch_punish,0.4,0.09506583381598963
diff__relation__sw_dw_stem_clash,0.4,-0.07155864306269472
diff__shinsal__sw_세운_신살_길신__문창귀인_,0.4,-0.08753674382085487
diff__tgxstrength__sw_qi_sha_weak,0.4,-0.08212499034805747
diff__unseong__dw_state_절,0.4,0.040334121959213494
diff__relation__sw_dw_branch_harm,0.36,0.08501536802948964
diff__shinsal__sw_세운_신살_길신__count,0.36,0.09587562604356908
diff__tg10__dw_branch_hidden_zheng_guan,0.36,-0.10839738839852334
diff__tgxstrength__sw_pian_yin_strong,0.36,0.11216166783245102
diff__tgxstrength__sw_shishen_strong,0.36,-0.05956431089272003
diff__unseong__sw_state_장생,0.36,-0.08225563038327324
diff__yongshin__sw_yong_stem_fit,0.36,-0.08850315258665589
diff__basic__dw_branch_午,0.32,-0.079543737960612
diff__basic__sw_branch_辰,0.32,-0.0627292322166472
diff__basic__sw_stem_庚,0.32,-0.05126410947431955
diff__basic__sw_stem_甲,0.32,0.05893593913881029
diff__relation__sw_branch_punish_natal,0.32,0.049478413624423984
diff__unseong__sw_state_양,0.32,0.06925196256280271
diff__yongshin__dw_supplies_fav,0.32,-0.0609688886475133
diff__basic__sw_element_wood,0.28,0.04471670635089197
diff__relation__sw_branch_clash_natal,0.28,0.05419982737377187
diff__shinsal__dw_신살_길신__문창귀인_,0.28,-0.061496110599204006
diff__tg10__dw_branch_hidden_pian_yin,0.28,0.03787942720525188
diff__unseong__sw_state_병,0.28,-0.06645547372459525
diff__basic__sw_branch_巳,0.24,0.060993219751452527
diff__basic__sw_stem_丁,0.24,0.0382518794517492
diff__shinsal__dw_breakdown_scalar,0.24,0.03784189632373291
diff__shinsal__sw_세운_신살_길신__반안_,0.24,0.026439837061526496
diff__shinsal__sw_세운_신살_길신__화개_,0.24,0.026439837061526496
diff__tg10__dw_branch_hidden_bijian,0.24,0.06551656498793657
diff__tg10__sw_branch_hidden_shangguan,0.24,0.045137038094285965
diff__tg10__sw_branch_hidden_zheng_cai,0.24,0.06269167371944159
diff__tg10__sw_stem_qi_sha,0.24,-0.018622471340645805
diff__unseong__sw_state_절,0.24,0.020007623966435364
diff__basic__dw_branch_卯,0.2,0.02648195602731497
diff__basic__dw_stem_乙,0.2,-0.03563956324166762
diff__basic__sw_branch_丑,0.2,0.026887048223093672
diff__basic__sw_branch_酉,0.2,-0.02634951138504028
diff__basic__sw_element_earth,0.2,-0.04206851229907115
diff__basic__sw_element_fire,0.2,0.010110535249645319
diff__relation__dw_branch_clash_natal,0.2,-0.03252613992343787
diff__relation__sw_dw_branch_clash,0.2,0.0008297296938079132
diff__shinsal__sw_세운_신살_길신__천을귀인_,0.2,0.013085071724528023
diff__shinsal__sw_세운_신살_흉살__과숙_,0.2,0.023626269149328253
diff__tg10__dw_stem_zheng_cai,0.2,0.013526661388829648
diff__tgxstrength__sw_zheng_yin_strong,0.2,-0.03944773182150457
diff__unseong__sw_raw_score,0.2,-0.028954399891322206
diff__unseong__sw_state_사,0.2,0.027737093108561726
diff__basic__dw_stem_己,0.16,0.03169560213614754
diff__basic__sw_branch_子,0.16,-0.025675546711744615
diff__basic__sw_branch_戌,0.16,0.021050996383447713
diff__basic__sw_stem_壬,0.16,-0.011003779670658615
diff__shinsal__dw_신살_길신__천희_,0.16,0.012466723014585752
diff__shinsal__dw_신살_흉살__과숙_,0.16,-0.030932222282384708
diff__shinsal__sw_세운_신살_길신__천희_,0.16,0.020653138204400144
diff__shinsal__sw_세운_신살_흉살__고진_,0.16,-0.017670033114169904
diff__shinsal__sw_세운_신살_흉살__망신_,0.16,0.012302029789911377
diff__tg10__sw_branch_hidden_shishen,0.16,-0.02666851331910318
diff__tgxstrength__sw_pian_yin_weak,0.16,-0.0408717201294619
diff__tgxstrength__sw_shangguan_weak,0.16,0.037577012046107736
diff__tgxstrength__sw_zheng_guan_strong,0.16,0.019577197764283964
diff__unseong__dw_state_목욕,0.16,0.006748070925747236
diff__unseong__dw_state_사,0.16,-0.021318143269452014
diff__unseong__sw_state_목욕,0.16,0.016793712390202806
diff__yongshin__dw_gu_fit,0.16,-0.016236513656300373
diff__yongshin__sw_gi_fit,0.16,0.029200624917233346
diff__basic__dw_branch_未,0.12,0.004373216938186242
diff__basic__dw_branch_申,0.12,0.008972985003816774
diff__basic__dw_element_earth,0.12,0.0038699320336429833
diff__basic__dw_element_water,0.12,-0.017371056447167355
diff__basic__dw_stem_壬,0.12,-0.010434969951407176
diff__basic__sw_element_metal,0.12,-0.020448903997298276
diff__basic__sw_stem_己,0.12,-0.00965017330495839
diff__relation__sw_branch_harm_natal,0.12,-0.02914296772184425
diff__shinsal__dw_신살_길신__count,0.12,-0.00825536521394959
diff__shinsal__dw_신살_흉살__고진_,0.12,0.024468378396952005
diff__tg10__dw_stem_shishen,0.12,-0.002717984492830497
diff__tg10__dw_stem_zheng_yin,0.12,0.003814586607121493
diff__tg10__sw_stem_jiecai,0.12,0.02138298477373359
diff__tg10__sw_stem_zheng_yin,0.12,-0.00519251389030494
diff__tgxstrength__dw_pian_cai_strong,0.12,-0.016566809474475443
diff__tgxstrength__dw_shangguan_strong,0.12,-0.012705697748172937
diff__tgxstrength__dw_shishen_strong,0.12,-0.0004743021174581705
diff__tgxstrength__dw_zheng_guan_weak,0.12,-0.008343425277576028
diff__tgxstrength__dw_zheng_yin_strong,0.12,0.00979479408737171
diff__tgxstrength__sw_zheng_yin_weak,0.12,-0.0021864689928769955
diff__unseong__dw_state_병,0.12,0.015811492563834597
diff__unseong__sw_state_묘,0.12,-0.0030769564708037476
diff__yongshin__dw_gi_fit,0.12,0.012597529793349644
diff__yongshin__sw_yong_fit,0.12,-0.00478927633379188
diff__basic__dw_branch_亥,0.08,-0.0018515892561178629
diff__basic__dw_branch_辰,0.08,-0.0037320399387643388
diff__basic__dw_branch_酉,0.08,0.014534252247602715
diff__basic__sw_branch_亥,0.08,0.0035078699030313605
diff__basic__sw_branch_午,0.08,0.008329614437702918
diff__basic__sw_branch_寅,0.08,-0.021663707902299625
diff__basic__sw_stem_癸,0.08,0.0033640204872935836
diff__basic__sw_yy_yang,0.08,-0.0015664048131652964
diff__basic__sw_yy_yin,0.08,0.0015664048131652964
diff__relation__dw_stem_combine_natal,0.08,0.002492196066604632
diff__relation__sw_branch_break_natal,0.08,-0.016960120235167256
diff__relation__sw_dw_branch_combine,0.08,0.003418878887733214
diff__shinsal__dw_gongmang_unseong,0.08,0.008786626908245153
diff__shinsal__dw_신살_길신__록신_,0.08,0.006382532052294902
diff__shinsal__dw_신살_길신__반안_,0.08,-0.0031255456215206613
diff__shinsal__dw_신살_길신__장성_,0.08,-0.008075583081043504
diff__shinsal__dw_신살_길신__천을귀인_,0.08,0.0017263840380077093
diff__shinsal__dw_신살_길신__화개_,0.08,-0.0031255456215206613
diff__shinsal__dw_신살_흉살__역마_,0.08,0.0028460325963769566
diff__shinsal__sw_세운_신살_길신__홍란_,0.08,-0.004378603508697779
diff__shinsal__sw_세운_신살_흉살__양인_,0.08,-0.006616291320728936
diff__tengod__sw_group_peer,0.08,0.005594390564240817
diff__tg10__dw_branch_hidden_shangguan,0.08,-0.007309155735229274
diff__tg10__dw_branch_hidden_shishen,0.08,-0.006898858844783347
diff__tg10__dw_branch_hidden_zheng_cai,0.08,0.0048958459182168014
diff__tg10__dw_stem_pian_cai,0.08,-0.0024262841939410393
diff__tg10__dw_stem_pian_yin,0.08,-0.0029242658555294577
diff__tg10__dw_stem_shangguan,0.08,0.007959966270706326
diff__tg10__sw_stem_shishen,0.08,-0.004293712481033873
diff__tg10__sw_stem_zheng_guan,0.08,0.02068183288961374
diff__tgxstrength__dw_bijian_weak,0.08,0.01394944654648246
diff__tgxstrength__dw_pian_yin_weak,0.08,0.0038039424945258173
diff__tgxstrength__dw_zheng_cai_strong,0.08,0.008301411162534607
diff__tgxstrength__dw_zheng_cai_weak,0.08,0.011953964501521176
diff__tgxstrength__sw_bijian_strong,0.08,-0.005029888738862216
diff__tgxstrength__sw_shishen_weak,0.08,0.008721125646039017
diff__unseong__dw_raw_score,0.08,0.0016307564695788779
diff__unseong__dw_state_건록,0.08,0.006382532052294902
diff__unseong__sw_score_x_strength,0.08,0.013451844957980569
diff__unseong__sw_state_쇠,0.08,-0.008645781728791024
diff__unseong__sw_state_제왕,0.08,-0.006616291320728936
diff__yongshin__dw_hee_fit,0.08,-0.00828431511186407
diff__yongshin__dw_yong_stem_fit,0.08,-0.0018792517632559552
diff__yongshin__sw_hee_fit,0.08,0.008631876808405008
diff__basic__dw_branch_丑,0.04,-0.000555097427909175
diff__basic__dw_branch_子,0.04,0.003889267655835514
diff__basic__dw_branch_巳,0.04,-0.002423948071235862
diff__basic__dw_branch_戌,0.04,-0.008679120547845415
diff__basic__dw_element_fire,0.04,0.0033238267317154723
diff__basic__dw_element_metal,0.04,-0.005995579713985385
diff__basic__dw_element_wood,0.04,-0.0025156936318909934
diff__basic__dw_stem_丁,0.04,0.001693276503003481
diff__basic__dw_stem_庚,0.04,-0.0010744699375274246
diff__basic__dw_stem_辛,0.04,-0.006024604678202915
diff__basic__sw_branch_未,0.04,0.00359906595500521
diff__basic__sw_stem_戊,0.04,-0.0018588631331958234
diff__basic__sw_stem_辛,0.04,-0.0011511508433500995
diff__relation__dw_branch_combine_natal,0.04,0.00012863744841666675
diff__relation__dw_branch_harm_natal,0.04,0.007680743594401864
diff__relation__dw_branch_punish_natal,0.04,-0.00047788926642565487
diff__relation__dw_stem_clash_natal,0.04,0.00230092286988923
diff__relation__sw_branch_combine_natal,0.04,0.0003235726726715079
diff__relation__sw_stem_combine_natal,0.04,-0.0013485524859388081
diff__shinsal__dw_신살_길신__홍란_,0.04,-0.0012751696804349194
diff__shinsal__dw_신살_흉살__count,0.04,0.00165989498429159
diff__shinsal__dw_신살_흉살__겁살_,0.04,0.007890419539193663
diff__shinsal__dw_신살_흉살__도화_,0.04,0.0017053520327968133
diff__shinsal__dw_신살_흉살__양인_,0.04,-0.004906620132190726
diff__shinsal__sw_세운_신살_흉살__겁살_,0.04,-6.836093163522937e-06
diff__shinsal__sw_세운_신살_흉살__도화_,0.04,0.00028014851747239753
diff__shinsal__sw_세운_신살_흉살__역마_,0.04,-0.00026807921493479105
diff__tengod__dw_group_output,0.04,-0.0010873114147719846
diff__tengod__dw_group_peer,0.04,-0.0007073876311662545
