model,reference,observed_delta,bootstrap_mean_delta,ci025,ci975,p_delta_gt_0
TG5_GROUP_L2,NUISANCE_AGE_AXIS,-0.05277777777777779,-0.05233546497584541,-0.17210446859903383,0.06714975845410626,0.1985
TG5_GROUP_L2,CONTROL_FIXED,-0.0542270531400966,-0.054155996376811594,-0.18442028985507247,0.0748792270531401,0.207
TG10_STEM_L2,NUISANCE_AGE_AXIS,-0.021642512077294673,-0.021832695652173908,-0.14579951690821258,0.10289855072463766,0.36585
TG10_STEM_L2,CONTROL_FIXED,-0.02309178743961354,-0.02276345410628019,-0.15826328502415457,0.10927777777777758,0.37335
TG10_STEM_BRANCH_L2,NUISANCE_AGE_AXIS,0.0037198067632850038,0.0028755845410628035,-0.12492753623188405,0.12763647342995138,0.51835
TG10_STEM_BRANCH_L2,CONTROL_FIXED,0.002270531400966183,0.002052229468599035,-0.12009903381642513,0.12367149758454103,0.51415
TG10_SB_STRENGTH_L2,NUISANCE_AGE_AXIS,-0.049227053140096615,-0.04898919323671497,-0.1707753623188406,0.07488043478260857,0.2181
TG10_SB_STRENGTH_L2,CONTROL_FIXED,-0.05067632850241546,-0.051122330917874395,-0.16377173913043483,0.060434782608695635,0.187
TG10_SB_RELATIONS_L2,NUISANCE_AGE_AXIS,-0.030917874396135272,-0.031618864734299514,-0.15362318840579708,0.09130434782608697,0.3045
TG10_SB_RELATIONS_L2,CONTROL_FIXED,-0.03236714975845411,-0.03319876811594203,-0.1516908212560386,0.08309178743961354,0.29145
ALL_L2,NUISANCE_AGE_AXIS,0.005217391304347833,0.0048343043478260884,-0.12135507246376814,0.13091787439613525,0.53045
ALL_L2,CONTROL_FIXED,0.0037681159420289985,0.004613062801932368,-0.12173913043478261,0.1320797101449273,0.52675
ALL_ELASTICNET_AUTO,NUISANCE_AGE_AXIS,0.029710144927536243,0.029310314009661845,-0.06859903381642511,0.12729468599033816,0.7194
ALL_ELASTICNET_AUTO,CONTROL_FIXED,0.028260869565217395,0.028583502415458942,-0.0901026570048309,0.14855072463768113,0.68185
HGB_ALL_EXPLORATORY,NUISANCE_AGE_AXIS,-0.03710144927536232,-0.03743487439613526,-0.1451231884057971,0.07111111111111112,0.2498
HGB_ALL_EXPLORATORY,CONTROL_FIXED,-0.03855072463768115,-0.03783733816425121,-0.1646376811594203,0.08705314009661837,0.279
