model,pairwise_mean,pairwise_std,pairwise_p10,pairwise_min
NUISANCE_WITH_ORIGIN_DIAGNOSTIC,0.8913043478260869,0.0,0.8913043478260869,0.8913043478260869
AGE_LATER_FIXED,0.5471014492753623,0.0,0.5471014492753623,0.5471014492753623
ALL_ELASTICNET_AUTO,0.5050724637681159,0.2252431972067792,0.2893719806763285,0.2536231884057971
ALL_L2,0.48057971014492756,0.030889366385995282,0.4572463768115942,0.456280193236715
TG10_STEM_BRANCH_L2,0.47908212560386476,0.04220754451431613,0.44420289855072465,0.43985507246376815
CONTROL_FIXED,0.47681159420289854,0.0,0.47681159420289854,0.47681159420289854
NUISANCE_AGE_AXIS,0.47536231884057967,0.023161971647871777,0.4528985507246377,0.44565217391304346
TG10_STEM_L2,0.45371980676328505,0.06798618023490921,0.3869565217391304,0.34444444444444444
AGE_YOUNGER_FIXED,0.4528985507246377,0.0,0.4528985507246377,0.4528985507246377
TG10_SB_RELATIONS_L2,0.4444444444444445,0.048807813088659446,0.3922705314009662,0.36618357487922704
HGB_ALL_EXPLORATORY,0.43826086956521737,0.01937990007628496,0.418695652173913,0.413768115942029
TG10_SB_STRENGTH_L2,0.42613526570048305,0.0414483181763965,0.3843478260869565,0.3536231884057971
TG5_GROUP_L2,0.4225845410628019,0.030463524500650777,0.39108695652173914,0.3704106280193237
