model,pair_origin,n_pairs,n_subjects,subject_macro_pairwise
AGE_LATER_FIXED,PREEXISTING_414_SOURCE_REVIEW,49,46,0.16304347826086957
AGE_LATER_FIXED,V4_TARGET_EXPANSION_2026-08-16,51,37,1.0
AGE_YOUNGER_FIXED,PREEXISTING_414_SOURCE_REVIEW,49,46,0.8369565217391305
AGE_YOUNGER_FIXED,V4_TARGET_EXPANSION_2026-08-16,51,37,0.0
ALL_ELASTICNET_AUTO,PREEXISTING_414_SOURCE_REVIEW,49,46,0.508695652173913
ALL_ELASTICNET_AUTO,V4_TARGET_EXPANSION_2026-08-16,51,37,0.4873873873873875
ALL_L2,PREEXISTING_414_SOURCE_REVIEW,49,46,0.47826086956521746
ALL_L2,V4_TARGET_EXPANSION_2026-08-16,51,37,0.46198198198198187
CONTROL_FIXED,PREEXISTING_414_SOURCE_REVIEW,49,46,0.5217391304347826
CONTROL_FIXED,V4_TARGET_EXPANSION_2026-08-16,51,37,0.4072072072072072
HGB_ALL_EXPLORATORY,PREEXISTING_414_SOURCE_REVIEW,49,46,0.4369565217391304
HGB_ALL_EXPLORATORY,V4_TARGET_EXPANSION_2026-08-16,51,37,0.4218018018018019
NUISANCE_AGE_AXIS,PREEXISTING_414_SOURCE_REVIEW,49,46,0.6869565217391306
NUISANCE_AGE_AXIS,V4_TARGET_EXPANSION_2026-08-16,51,37,0.24234234234234234
NUISANCE_WITH_ORIGIN_DIAGNOSTIC,PREEXISTING_414_SOURCE_REVIEW,49,46,0.8369565217391305
NUISANCE_WITH_ORIGIN_DIAGNOSTIC,V4_TARGET_EXPANSION_2026-08-16,51,37,1.0
TG10_SB_RELATIONS_L2,PREEXISTING_414_SOURCE_REVIEW,49,46,0.4608695652173914
TG10_SB_RELATIONS_L2,V4_TARGET_EXPANSION_2026-08-16,51,37,0.41441441441441446
TG10_SB_STRENGTH_L2,PREEXISTING_414_SOURCE_REVIEW,49,46,0.41521739130434776
TG10_SB_STRENGTH_L2,V4_TARGET_EXPANSION_2026-08-16,51,37,0.4284684684684685
TG10_STEM_BRANCH_L2,PREEXISTING_414_SOURCE_REVIEW,49,46,0.4673913043478261
TG10_STEM_BRANCH_L2,V4_TARGET_EXPANSION_2026-08-16,51,37,0.4704504504504504
TG10_STEM_L2,PREEXISTING_414_SOURCE_REVIEW,49,46,0.43260869565217386
TG10_STEM_L2,V4_TARGET_EXPANSION_2026-08-16,51,37,0.4839639639639641
TG5_GROUP_L2,PREEXISTING_414_SOURCE_REVIEW,49,46,0.41195652173913044
TG5_GROUP_L2,V4_TARGET_EXPANSION_2026-08-16,51,37,0.4495495495495495
