repeat,fold,n_test_subjects,n_test_pairs,origin__PREEXISTING_414_SOURCE_REVIEW,origin__V4_TARGET_EXPANSION_2026_08_16,axis__COMPETITIVE,axis__PROJECT,axis__RECOGNITION,axis__STATUS
0,0,13,20,10,10,9,8,0,3
0,1,14,20,10,10,9,8,1,2
0,2,13,20,10,10,8,8,1,3
0,3,14,20,9,11,9,8,0,3
0,4,15,20,10,10,8,8,2,2
1,0,14,21,10,11,9,8,2,2
1,1,14,20,10,10,9,8,0,3
1,2,14,20,10,10,9,8,0,3
1,3,13,20,9,11,8,8,1,3
1,4,14,19,10,9,8,8,1,2
2,0,13,20,10,10,8,8,2,2
2,1,14,20,10,10,8,8,1,3
2,2,14,20,10,10,9,8,0,3
2,3,14,20,10,10,9,8,1,2
2,4,14,20,9,11,9,8,0,3
3,0,13,19,9,10,8,8,1,2
3,1,13,20,10,10,9,9,0,2
3,2,15,20,10,10,8,8,1,3
3,3,14,21,10,11,9,7,2,3
3,4,14,20,10,10,9,8,0,3
4,0,14,20,10,10,8,8,2,2
4,1,13,20,10,10,9,8,0,3
4,2,14,20,10,10,8,8,1,3
4,3,14,20,10,10,9,8,1,2
4,4,14,20,9,11,9,8,0,3
