C,inner_macro,inner_p10,repeat,fold,model,kind,l1_ratio
0.03,0.6002170668837336,0.5266117216117217,0,0,TG10_RIDGE_DIAGNOSTIC,ASTRO,
0.1,0.5965625423958758,0.5441941391941393,0,0,TG10_RIDGE_DIAGNOSTIC,ASTRO,
0.3,0.5759751051417719,0.5321062271062271,0,0,TG10_RIDGE_DIAGNOSTIC,ASTRO,
1.0,0.5465286256952924,0.5158201058201058,0,0,TG10_RIDGE_DIAGNOSTIC,ASTRO,
3.0,0.5060405643738978,0.4825925925925926,0,0,TG10_RIDGE_DIAGNOSTIC,ASTRO,
3.0,0.6548721340388007,0.6066137566137567,0,0,TG10_RIDGE_DIAGNOSTIC,NPLUS,
0.03,0.6512447429114095,0.5786772486772487,0,0,TG10_RIDGE_DIAGNOSTIC,NPLUS,
0.1,0.6334695654140098,0.5690652557319225,0,0,TG10_RIDGE_DIAGNOSTIC,NPLUS,
0.3,0.6255398408176186,0.573721340388007,0,0,TG10_RIDGE_DIAGNOSTIC,NPLUS,
1.0,0.6155711572378239,0.6009157509157509,0,0,TG10_RIDGE_DIAGNOSTIC,NPLUS,
0.03,0.5866283407950075,0.58503256003256,0,0,ALL_ORTHODOX_RIDGE_AUTO,ASTRO,
1.0,0.574708316374983,0.5608567358567358,0,0,ALL_ORTHODOX_RIDGE_AUTO,ASTRO,
0.3,0.5728089811423145,0.5486060236060236,0,0,ALL_ORTHODOX_RIDGE_AUTO,ASTRO,
3.0,0.5702143535476869,0.5516890516890517,0,0,ALL_ORTHODOX_RIDGE_AUTO,ASTRO,
0.1,0.5579941663274997,0.543068783068783,0,0,ALL_ORTHODOX_RIDGE_AUTO,ASTRO,
1.0,0.6249564735675847,0.6109394926061593,0,0,ALL_ORTHODOX_RIDGE_AUTO,NPLUS,
0.3,0.6146610591055036,0.6067066883733551,0,0,ALL_ORTHODOX_RIDGE_AUTO,NPLUS,
3.0,0.6077098313209425,0.6028951295617963,0,0,ALL_ORTHODOX_RIDGE_AUTO,NPLUS,
0.03,0.5926999954777733,0.5638800705467373,0,0,ALL_ORTHODOX_RIDGE_AUTO,NPLUS,
0.1,0.5891980961425406,0.5734435626102293,0,0,ALL_ORTHODOX_RIDGE_AUTO,NPLUS,
0.1,0.6029993668882557,0.1914292497625831,0,0,ALL_ORTHODOX_ELASTICNET_AUTO,ASTRO,1.0
0.1,0.597007981730204,0.5095407678741013,0,0,ALL_ORTHODOX_ELASTICNET_AUTO,ASTRO,0.5
0.3,0.5894993894993895,0.5588095238095239,0,0,ALL_ORTHODOX_ELASTICNET_AUTO,ASTRO,0.25
0.1,0.5765726043503822,0.5211552028218694,0,0,ALL_ORTHODOX_ELASTICNET_AUTO,ASTRO,0.25
1.0,0.570075295075295,0.5456410256410256,0,0,ALL_ORTHODOX_ELASTICNET_AUTO,ASTRO,0.25
0.3,0.5662766246099579,0.5238624338624338,0,0,ALL_ORTHODOX_ELASTICNET_AUTO,ASTRO,0.75
0.3,0.5594107538551983,0.5006261022927689,0,0,ALL_ORTHODOX_ELASTICNET_AUTO,ASTRO,0.5
1.0,0.5584825668159001,0.5344851444851445,0,0,ALL_ORTHODOX_ELASTICNET_AUTO,ASTRO,0.5
0.03,0.5545697101252657,0.28387939221272557,0,0,ALL_ORTHODOX_ELASTICNET_AUTO,ASTRO,0.25
1.0,0.5526353276353276,0.5096764346764348,0,0,ALL_ORTHODOX_ELASTICNET_AUTO,ASTRO,0.75
0.1,0.5486173291728847,0.28294532627865965,0,0,ALL_ORTHODOX_ELASTICNET_AUTO,ASTRO,0.75
1.0,0.521918102473658,0.45850088183421517,0,0,ALL_ORTHODOX_ELASTICNET_AUTO,ASTRO,1.0
0.3,0.5007128159905938,0.4608774250440917,0,0,ALL_ORTHODOX_ELASTICNET_AUTO,ASTRO,1.0
0.03,0.3333333333333333,0.0,0,0,ALL_ORTHODOX_ELASTICNET_AUTO,ASTRO,0.5
0.03,0.3333333333333333,0.0,0,0,ALL_ORTHODOX_ELASTICNET_AUTO,ASTRO,0.75
0.03,0.3333333333333333,0.0,0,0,ALL_ORTHODOX_ELASTICNET_AUTO,ASTRO,1.0
0.03,0.7103400714511826,0.4572886989553656,0,0,ALL_ORTHODOX_ELASTICNET_AUTO,NPLUS,0.25
0.1,0.6856147967259077,0.4495963912630579,0,0,ALL_ORTHODOX_ELASTICNET_AUTO,NPLUS,0.75
0.1,0.6786844842400398,0.36977682811016144,0,0,ALL_ORTHODOX_ELASTICNET_AUTO,NPLUS,1.0
0.1,0.6556646542757654,0.6280599647266314,0,0,ALL_ORTHODOX_ELASTICNET_AUTO,NPLUS,0.25
0.1,0.6479604757382535,0.5851234567901235,0,0,ALL_ORTHODOX_ELASTICNET_AUTO,NPLUS,0.5
0.3,0.6474183738072626,0.6246282729616063,0,0,ALL_ORTHODOX_ELASTICNET_AUTO,NPLUS,0.5
0.3,0.6420640573418351,0.6119976936643603,0,0,ALL_ORTHODOX_ELASTICNET_AUTO,NPLUS,0.75
0.3,0.6368866729977841,0.608692850359517,0,0,ALL_ORTHODOX_ELASTICNET_AUTO,NPLUS,1.0
0.3,0.630016845294623,0.6156393298059964,0,0,ALL_ORTHODOX_ELASTICNET_AUTO,NPLUS,0.25
1.0,0.6091060688282911,0.5958757292090625,0,0,ALL_ORTHODOX_ELASTICNET_AUTO,NPLUS,1.0
1.0,0.5935224754669198,0.5855731922398589,0,0,ALL_ORTHODOX_ELASTICNET_AUTO,NPLUS,0.5
1.0,0.5922562519784743,0.5841941391941392,0,0,ALL_ORTHODOX_ELASTICNET_AUTO,NPLUS,0.75
1.0,0.5835085696196808,0.5528747795414461,0,0,ALL_ORTHODOX_ELASTICNET_AUTO,NPLUS,0.25
0.03,0.3333333333333333,0.0,0,0,ALL_ORTHODOX_ELASTICNET_AUTO,NPLUS,0.5
0.03,0.3333333333333333,0.0,0,0,ALL_ORTHODOX_ELASTICNET_AUTO,NPLUS,0.75
0.03,0.3333333333333333,0.0,0,0,ALL_ORTHODOX_ELASTICNET_AUTO,NPLUS,1.0
0.03,0.5133925745036857,0.502636684303351,0,1,TG10_RIDGE_DIAGNOSTIC,ASTRO,
0.1,0.4835995794329128,0.457989417989418,0,1,TG10_RIDGE_DIAGNOSTIC,ASTRO,
1.0,0.4602343644010311,0.45050569800569806,0,1,TG10_RIDGE_DIAGNOSTIC,ASTRO,
3.0,0.453595170261837,0.4248677248677249,0,1,TG10_RIDGE_DIAGNOSTIC,ASTRO,
0.3,0.44964217880884555,0.4448677248677249,0,1,TG10_RIDGE_DIAGNOSTIC,ASTRO,
3.0,0.6246393524171302,0.5470546737213404,0,1,TG10_RIDGE_DIAGNOSTIC,NPLUS,
1.0,0.6148883009994122,0.5253615520282188,0,1,TG10_RIDGE_DIAGNOSTIC,NPLUS,
