model,axis,n_pairs,n_subjects,subject_macro
ASTRO__ALL_ORTHODOX_ELASTICNET_AUTO,COMPETITIVE,134,57,0.4507769423558899
ASTRO__ALL_ORTHODOX_ELASTICNET_AUTO,PROJECT,12,9,0.3962962962962963
ASTRO__ALL_ORTHODOX_ELASTICNET_AUTO,STATUS,47,34,0.5053921568627454
ASTRO__ALL_ORTHODOX_RIDGE_AUTO,COMPETITIVE,134,57,0.4879114452798663
ASTRO__ALL_ORTHODOX_RIDGE_AUTO,PROJECT,12,9,0.5592592592592592
ASTRO__ALL_ORTHODOX_RIDGE_AUTO,STATUS,47,34,0.6132352941176471
ASTRO__TG10_RIDGE_DIAGNOSTIC,COMPETITIVE,134,57,0.5335213032581453
ASTRO__TG10_RIDGE_DIAGNOSTIC,PROJECT,12,9,0.6148148148148148
ASTRO__TG10_RIDGE_DIAGNOSTIC,STATUS,47,34,0.5436274509803922
NPLUS__ALL_ORTHODOX_ELASTICNET_AUTO,COMPETITIVE,134,57,0.49961152882205523
NPLUS__ALL_ORTHODOX_ELASTICNET_AUTO,PROJECT,12,9,0.6333333333333333
NPLUS__ALL_ORTHODOX_ELASTICNET_AUTO,STATUS,47,34,0.832843137254902
NPLUS__ALL_ORTHODOX_RIDGE_AUTO,COMPETITIVE,134,57,0.5145697577276525
NPLUS__ALL_ORTHODOX_RIDGE_AUTO,PROJECT,12,9,0.6592592592592592
NPLUS__ALL_ORTHODOX_RIDGE_AUTO,STATUS,47,34,0.7828431372549018
NPLUS__TG10_RIDGE_DIAGNOSTIC,COMPETITIVE,134,57,0.5668379281537177
NPLUS__TG10_RIDGE_DIAGNOSTIC,PROJECT,12,9,0.8074074074074074
NPLUS__TG10_RIDGE_DIAGNOSTIC,STATUS,47,34,0.7647058823529411
NUISANCE_ONLY,COMPETITIVE,134,57,0.5936842105263158
NUISANCE_ONLY,PROJECT,12,9,0.6037037037037037
NUISANCE_ONLY,STATUS,47,34,0.8382352941176471
