subject_id,correct,repeat,model
V5DEVE2_003,1.0,0,NUISANCE_ONLY
V5DEVE2_022,0.5,0,NUISANCE_ONLY
V5DEVE2_061,1.0,0,NUISANCE_ONLY
V5DEVE2_154,0.0,0,NUISANCE_ONLY
V5DEVE2_160,1.0,0,NUISANCE_ONLY
V5DEVX_048,1.0,0,NUISANCE_ONLY
V5DEVX_052,1.0,0,NUISANCE_ONLY
V5DEVX_103,0.0,0,NUISANCE_ONLY
V5DEVX_115,0.5,0,NUISANCE_ONLY
V5DEVX_131,0.5,0,NUISANCE_ONLY
V5DEVX_132,0.6666666666666666,0,NUISANCE_ONLY
V5DEV_013,0.5,0,NUISANCE_ONLY
V5DEV_020,0.0,0,NUISANCE_ONLY
V5DEV_023,0.375,0,NUISANCE_ONLY
V5DEV_028,1.0,0,NUISANCE_ONLY
V5DEV_039,0.0,0,NUISANCE_ONLY
V5DEV_040,1.0,0,NUISANCE_ONLY
V5DEV_084,1.0,0,NUISANCE_ONLY
V5DEV_121,1.0,0,NUISANCE_ONLY
V5DEV_155,1.0,0,NUISANCE_ONLY
V5DEVE2_003,1.0,0,ASTRO__TG10_RIDGE_DIAGNOSTIC
V5DEVE2_022,0.0,0,ASTRO__TG10_RIDGE_DIAGNOSTIC
V5DEVE2_061,1.0,0,ASTRO__TG10_RIDGE_DIAGNOSTIC
V5DEVE2_154,1.0,0,ASTRO__TG10_RIDGE_DIAGNOSTIC
V5DEVE2_160,1.0,0,ASTRO__TG10_RIDGE_DIAGNOSTIC
V5DEVX_048,0.0,0,ASTRO__TG10_RIDGE_DIAGNOSTIC
V5DEVX_052,1.0,0,ASTRO__TG10_RIDGE_DIAGNOSTIC
V5DEVX_103,1.0,0,ASTRO__TG10_RIDGE_DIAGNOSTIC
V5DEVX_115,0.0,0,ASTRO__TG10_RIDGE_DIAGNOSTIC
V5DEVX_131,0.25,0,ASTRO__TG10_RIDGE_DIAGNOSTIC
V5DEVX_132,0.3333333333333333,0,ASTRO__TG10_RIDGE_DIAGNOSTIC
V5DEV_013,0.0,0,ASTRO__TG10_RIDGE_DIAGNOSTIC
V5DEV_020,1.0,0,ASTRO__TG10_RIDGE_DIAGNOSTIC
V5DEV_023,0.25,0,ASTRO__TG10_RIDGE_DIAGNOSTIC
V5DEV_028,0.0,0,ASTRO__TG10_RIDGE_DIAGNOSTIC
V5DEV_039,0.0,0,ASTRO__TG10_RIDGE_DIAGNOSTIC
V5DEV_040,1.0,0,ASTRO__TG10_RIDGE_DIAGNOSTIC
V5DEV_084,0.3333333333333333,0,ASTRO__TG10_RIDGE_DIAGNOSTIC
V5DEV_121,1.0,0,ASTRO__TG10_RIDGE_DIAGNOSTIC
V5DEV_155,0.0,0,ASTRO__TG10_RIDGE_DIAGNOSTIC
V5DEVE2_003,1.0,0,NPLUS__TG10_RIDGE_DIAGNOSTIC
V5DEVE2_022,0.0,0,NPLUS__TG10_RIDGE_DIAGNOSTIC
V5DEVE2_061,1.0,0,NPLUS__TG10_RIDGE_DIAGNOSTIC
