repeat,fold,n_test_subjects,n_test_pairs,positive_earlier_share,axis__COMPETITIVE,axis__PROJECT,axis__STATUS,wave__E1,wave__E2,wave__ORIGINAL
0,0,19,38,0.631578947368421,27,2,9,12,4,22
0,1,19,38,0.631578947368421,27,2,9,11,4,23
0,2,20,39,0.6153846153846154,27,3,9,12,5,22
0,3,21,39,0.6153846153846154,26,3,10,11,5,23
0,4,21,39,0.6153846153846154,27,2,10,11,5,23
1,0,20,39,0.6153846153846154,28,2,9,11,5,23
1,1,19,38,0.631578947368421,27,2,9,11,5,22
1,2,21,39,0.6153846153846154,26,3,10,12,4,23
1,3,20,38,0.631578947368421,26,2,10,11,4,23
1,4,20,39,0.6153846153846154,27,3,9,12,5,22
2,0,20,39,0.6153846153846154,27,3,9,12,5,22
2,1,19,38,0.631578947368421,26,2,10,11,4,23
2,2,21,39,0.6153846153846154,26,3,10,12,5,22
2,3,21,39,0.6153846153846154,28,2,9,11,4,24
2,4,19,38,0.631578947368421,27,2,9,11,5,22
3,0,20,39,0.6153846153846154,28,2,9,11,5,23
3,1,20,38,0.631578947368421,26,2,10,11,4,23
3,2,21,40,0.625,27,3,10,12,5,23
3,3,19,38,0.631578947368421,26,3,9,12,4,22
3,4,20,38,0.6052631578947368,27,2,9,11,5,22
4,0,20,39,0.6153846153846154,28,2,9,12,5,22
4,1,19,39,0.6153846153846154,26,3,10,11,5,23
4,2,21,39,0.6410256410256411,26,3,10,12,5,22
4,3,20,38,0.631578947368421,27,2,9,11,4,23
4,4,20,38,0.6052631578947368,27,2,9,11,4,23
