subject_id,correct,repeat,fold,model
V5DEVE2_001,0.5,0,0,NUISANCE_ONLY
V5DEVE2_027,1.0,0,0,NUISANCE_ONLY
V5DEVE2_106,1.0,0,0,NUISANCE_ONLY
V5DEVX_049,1.0,0,0,NUISANCE_ONLY
V5DEVX_055,0.0,0,0,NUISANCE_ONLY
V5DEVX_106,1.0,0,0,NUISANCE_ONLY
V5DEVX_128,1.0,0,0,NUISANCE_ONLY
V5DEVX_142,0.0,0,0,NUISANCE_ONLY
V5DEVX_148,0.3333333333333333,0,0,NUISANCE_ONLY
V5DEV_007,1.0,0,0,NUISANCE_ONLY
V5DEV_011,1.0,0,0,NUISANCE_ONLY
V5DEV_023,0.375,0,0,NUISANCE_ONLY
V5DEV_029,0.5,0,0,NUISANCE_ONLY
V5DEV_051,1.0,0,0,NUISANCE_ONLY
V5DEV_080,1.0,0,0,NUISANCE_ONLY
V5DEV_109,0.5,0,0,NUISANCE_ONLY
V5DEV_117,0.6666666666666666,0,0,NUISANCE_ONLY
V5DEV_155,1.0,0,0,NUISANCE_ONLY
V5DEV_156,1.0,0,0,NUISANCE_ONLY
V5DEVE2_001,0.5,0,0,ASTRO__TG10_RIDGE_DIAGNOSTIC
V5DEVE2_027,0.0,0,0,ASTRO__TG10_RIDGE_DIAGNOSTIC
V5DEVE2_106,1.0,0,0,ASTRO__TG10_RIDGE_DIAGNOSTIC
V5DEVX_049,0.75,0,0,ASTRO__TG10_RIDGE_DIAGNOSTIC
V5DEVX_055,1.0,0,0,ASTRO__TG10_RIDGE_DIAGNOSTIC
V5DEVX_106,0.0,0,0,ASTRO__TG10_RIDGE_DIAGNOSTIC
V5DEVX_128,1.0,0,0,ASTRO__TG10_RIDGE_DIAGNOSTIC
V5DEVX_142,1.0,0,0,ASTRO__TG10_RIDGE_DIAGNOSTIC
V5DEVX_148,0.6666666666666666,0,0,ASTRO__TG10_RIDGE_DIAGNOSTIC
V5DEV_007,0.0,0,0,ASTRO__TG10_RIDGE_DIAGNOSTIC
V5DEV_011,0.5,0,0,ASTRO__TG10_RIDGE_DIAGNOSTIC
V5DEV_023,0.375,0,0,ASTRO__TG10_RIDGE_DIAGNOSTIC
V5DEV_029,1.0,0,0,ASTRO__TG10_RIDGE_DIAGNOSTIC
V5DEV_051,0.0,0,0,ASTRO__TG10_RIDGE_DIAGNOSTIC
V5DEV_080,1.0,0,0,ASTRO__TG10_RIDGE_DIAGNOSTIC
V5DEV_109,1.0,0,0,ASTRO__TG10_RIDGE_DIAGNOSTIC
V5DEV_117,0.3333333333333333,0,0,ASTRO__TG10_RIDGE_DIAGNOSTIC
V5DEV_155,0.0,0,0,ASTRO__TG10_RIDGE_DIAGNOSTIC
V5DEV_156,1.0,0,0,ASTRO__TG10_RIDGE_DIAGNOSTIC
V5DEVE2_001,0.5,0,0,NPLUS__TG10_RIDGE_DIAGNOSTIC
V5DEVE2_027,1.0,0,0,NPLUS__TG10_RIDGE_DIAGNOSTIC
V5DEVE2_106,1.0,0,0,NPLUS__TG10_RIDGE_DIAGNOSTIC
V5DEVX_049,1.0,0,0,NPLUS__TG10_RIDGE_DIAGNOSTIC
V5DEVX_055,0.0,0,0,NPLUS__TG10_RIDGE_DIAGNOSTIC
V5DEVX_106,1.0,0,0,NPLUS__TG10_RIDGE_DIAGNOSTIC
V5DEVX_128,1.0,0,0,NPLUS__TG10_RIDGE_DIAGNOSTIC
V5DEVX_142,1.0,0,0,NPLUS__TG10_RIDGE_DIAGNOSTIC
V5DEVX_148,0.6666666666666666,0,0,NPLUS__TG10_RIDGE_DIAGNOSTIC
V5DEV_007,0.0,0,0,NPLUS__TG10_RIDGE_DIAGNOSTIC
V5DEV_011,1.0,0,0,NPLUS__TG10_RIDGE_DIAGNOSTIC
V5DEV_023,0.625,0,0,NPLUS__TG10_RIDGE_DIAGNOSTIC
V5DEV_029,1.0,0,0,NPLUS__TG10_RIDGE_DIAGNOSTIC
V5DEV_051,1.0,0,0,NPLUS__TG10_RIDGE_DIAGNOSTIC
V5DEV_080,1.0,0,0,NPLUS__TG10_RIDGE_DIAGNOSTIC
V5DEV_109,1.0,0,0,NPLUS__TG10_RIDGE_DIAGNOSTIC
V5DEV_117,0.6666666666666666,0,0,NPLUS__TG10_RIDGE_DIAGNOSTIC
V5DEV_155,0.0,0,0,NPLUS__TG10_RIDGE_DIAGNOSTIC
V5DEV_156,1.0,0,0,NPLUS__TG10_RIDGE_DIAGNOSTIC
V5DEVE2_001,0.5,0,0,ASTRO__ALL_ORTHODOX_RIDGE_AUTO
V5DEVE2_027,0.0,0,0,ASTRO__ALL_ORTHODOX_RIDGE_AUTO
V5DEVE2_106,0.0,0,0,ASTRO__ALL_ORTHODOX_RIDGE_AUTO
V5DEVX_049,1.0,0,0,ASTRO__ALL_ORTHODOX_RIDGE_AUTO
V5DEVX_055,1.0,0,0,ASTRO__ALL_ORTHODOX_RIDGE_AUTO
V5DEVX_106,0.0,0,0,ASTRO__ALL_ORTHODOX_RIDGE_AUTO
V5DEVX_128,0.0,0,0,ASTRO__ALL_ORTHODOX_RIDGE_AUTO
V5DEVX_142,1.0,0,0,ASTRO__ALL_ORTHODOX_RIDGE_AUTO
V5DEVX_148,0.3333333333333333,0,0,ASTRO__ALL_ORTHODOX_RIDGE_AUTO
V5DEV_007,0.0,0,0,ASTRO__ALL_ORTHODOX_RIDGE_AUTO
V5DEV_011,0.5,0,0,ASTRO__ALL_ORTHODOX_RIDGE_AUTO
