model,collection_wave,n_pairs,n_subjects,subject_macro
ASTRO__ALL_ORTHODOX_ELASTICNET_AUTO,E1,57,29,0.45229885057471264
ASTRO__ALL_ORTHODOX_ELASTICNET_AUTO,E2,23,18,0.4444444444444444
ASTRO__ALL_ORTHODOX_ELASTICNET_AUTO,ORIGINAL,113,53,0.4778796046720576
ASTRO__ALL_ORTHODOX_RIDGE_AUTO,E1,57,29,0.5471264367816092
ASTRO__ALL_ORTHODOX_RIDGE_AUTO,E2,23,18,0.4722222222222223
ASTRO__ALL_ORTHODOX_RIDGE_AUTO,ORIGINAL,113,53,0.5533513027852651
ASTRO__TG10_RIDGE_DIAGNOSTIC,E1,57,29,0.5408045977011494
ASTRO__TG10_RIDGE_DIAGNOSTIC,E2,23,18,0.5555555555555556
ASTRO__TG10_RIDGE_DIAGNOSTIC,ORIGINAL,113,53,0.542340521114106
NPLUS__ALL_ORTHODOX_ELASTICNET_AUTO,E1,57,29,0.5971264367816091
NPLUS__ALL_ORTHODOX_ELASTICNET_AUTO,E2,23,18,0.7166666666666667
NPLUS__ALL_ORTHODOX_ELASTICNET_AUTO,ORIGINAL,113,53,0.6090161725067386
NPLUS__ALL_ORTHODOX_RIDGE_AUTO,E1,57,29,0.5775862068965517
NPLUS__ALL_ORTHODOX_RIDGE_AUTO,E2,23,18,0.7722222222222223
NPLUS__ALL_ORTHODOX_RIDGE_AUTO,ORIGINAL,113,53,0.5892542677448338
NPLUS__TG10_RIDGE_DIAGNOSTIC,E1,57,29,0.6436781609195402
NPLUS__TG10_RIDGE_DIAGNOSTIC,E2,23,18,0.8111111111111111
NPLUS__TG10_RIDGE_DIAGNOSTIC,ORIGINAL,113,53,0.609618149146451
NUISANCE_ONLY,E1,57,29,0.6655172413793103
NUISANCE_ONLY,E2,23,18,0.8333333333333334
NUISANCE_ONLY,ORIGINAL,113,53,0.6315723270440252
