pair_id,subject_id,preassigned_axis,collection_wave,positive_earlier_calc,positive_year,negative_year,control_positive_score,control_negative_score,control_correct
PRIMARY_TRUSTED_0001,V5DEVX_004,COMPETITIVE,E1,0,2000,1995,47.0,57.0,0.0
PRIMARY_TRUSTED_0002,V5DEVX_004,COMPETITIVE,E1,1,2000,2002,47.0,49.0,0.0
PRIMARY_TRUSTED_0003,V5DEVX_004,COMPETITIVE,E1,1,2001,2002,48.0,49.0,0.0
PRIMARY_TRUSTED_0004,V5DEVX_007,COMPETITIVE,E1,0,1982,1978,77.0,67.0,1.0
PRIMARY_TRUSTED_0005,V5DEVX_008,PROJECT,E1,1,1951,1955,82.0,82.0,0.5
PRIMARY_TRUSTED_0006,V5DEVX_008,PROJECT,E1,0,1960,1955,70.0,82.0,0.0
PRIMARY_TRUSTED_0007,V5DEVX_010,COMPETITIVE,E1,0,1961,1960,65.0,64.0,1.0
PRIMARY_TRUSTED_0008,V5DEVX_010,COMPETITIVE,E1,1,1960,1962,64.0,64.0,0.5
PRIMARY_TRUSTED_0009,V5DEVX_010,COMPETITIVE,E1,0,1962,1960,64.0,64.0,0.5
PRIMARY_TRUSTED_0010,V5DEVX_010,COMPETITIVE,E1,1,1961,1962,65.0,64.0,1.0
PRIMARY_TRUSTED_0011,V5DEVX_017,STATUS,E1,1,1940,1945,68.0,68.0,0.5
PRIMARY_TRUSTED_0012,V5DEVX_025,COMPETITIVE,E1,1,2008,2009,60.0,64.0,0.0
PRIMARY_TRUSTED_0013,V5DEVX_025,COMPETITIVE,E1,1,2008,2011,60.0,63.0,0.0
PRIMARY_TRUSTED_0014,V5DEVX_031,COMPETITIVE,E1,0,1946,1943,64.0,65.0,0.0
PRIMARY_TRUSTED_0015,V5DEVX_031,COMPETITIVE,E1,0,1947,1943,61.0,65.0,0.0
PRIMARY_TRUSTED_0016,V5DEVX_036,STATUS,E1,1,1965,1968,69.0,64.0,1.0
PRIMARY_TRUSTED_0017,V5DEVX_038,STATUS,E1,1,1995,2000,60.0,78.0,0.0
PRIMARY_TRUSTED_0018,V5DEVX_046,COMPETITIVE,E1,1,2012,2015,65.0,66.0,0.0
PRIMARY_TRUSTED_0019,V5DEVX_046,COMPETITIVE,E1,1,2012,2016,65.0,75.0,0.0
PRIMARY_TRUSTED_0020,V5DEVX_048,STATUS,E1,1,1952,1954,64.0,72.0,0.0
PRIMARY_TRUSTED_0021,V5DEVX_049,COMPETITIVE,E1,1,2000,2001,68.0,64.0,1.0
PRIMARY_TRUSTED_0022,V5DEVX_049,COMPETITIVE,E1,1,2000,2002,68.0,63.0,1.0
PRIMARY_TRUSTED_0023,V5DEVX_049,COMPETITIVE,E1,1,2001,2002,64.0,63.0,1.0
PRIMARY_TRUSTED_0024,V5DEVX_049,COMPETITIVE,E1,0,2007,2002,61.0,63.0,0.0
PRIMARY_TRUSTED_0025,V5DEVX_050,PROJECT,E1,1,2001,2005,64.0,75.0,0.0
PRIMARY_TRUSTED_0026,V5DEVX_052,COMPETITIVE,E1,0,1956,1951,65.0,70.0,0.0
PRIMARY_TRUSTED_0027,V5DEVX_055,COMPETITIVE,E1,0,1937,1936,67.0,67.0,0.5
PRIMARY_TRUSTED_0028,V5DEVX_055,COMPETITIVE,E1,0,1938,1936,63.0,67.0,0.0
PRIMARY_TRUSTED_0029,V5DEVX_066,COMPETITIVE,E1,1,1948,1949,62.0,58.0,1.0
PRIMARY_TRUSTED_0030,V5DEVX_089,COMPETITIVE,E1,1,1956,1959,59.0,55.0,1.0
PRIMARY_TRUSTED_0031,V5DEVX_089,COMPETITIVE,E1,0,1960,1959,52.0,55.0,0.0
PRIMARY_TRUSTED_0032,V5DEVX_089,COMPETITIVE,E1,1,1960,1962,52.0,54.0,0.0
PRIMARY_TRUSTED_0033,V5DEVX_103,COMPETITIVE,E1,0,1963,1961,59.0,66.0,0.0
PRIMARY_TRUSTED_0034,V5DEVX_106,COMPETITIVE,E1,1,1989,1991,63.0,56.0,1.0
PRIMARY_TRUSTED_0035,V5DEVX_108,STATUS,E1,1,1967,1972,57.0,65.0,0.0
PRIMARY_TRUSTED_0036,V5DEVX_115,COMPETITIVE,E1,1,1949,1951,56.0,57.0,0.0
PRIMARY_TRUSTED_0037,V5DEVX_115,COMPETITIVE,E1,1,1949,1954,56.0,54.0,1.0
PRIMARY_TRUSTED_0038,V5DEVX_122,STATUS,E1,1,1973,1975,69.0,64.0,1.0
PRIMARY_TRUSTED_0039,V5DEVX_128,STATUS,E1,1,1989,1994,55.0,52.0,1.0
PRIMARY_TRUSTED_0040,V5DEVX_131,STATUS,E1,0,2016,2015,59.0,56.0,1.0
PRIMARY_TRUSTED_0041,V5DEVX_131,STATUS,E1,1,2016,2018,59.0,56.0,1.0
PRIMARY_TRUSTED_0042,V5DEVX_131,STATUS,E1,0,2021,2018,59.0,56.0,1.0
PRIMARY_TRUSTED_0043,V5DEVX_131,STATUS,E1,1,2021,2024,59.0,62.0,0.0
PRIMARY_TRUSTED_0044,V5DEVX_132,COMPETITIVE,E1,1,1951,1953,68.0,70.0,0.0
PRIMARY_TRUSTED_0045,V5DEVX_132,COMPETITIVE,E1,1,1952,1953,72.0,70.0,1.0
PRIMARY_TRUSTED_0046,V5DEVX_132,COMPETITIVE,E1,0,1964,1960,57.0,60.0,0.0
PRIMARY_TRUSTED_0047,V5DEVX_142,COMPETITIVE,E1,0,1972,1971,48.0,54.0,0.0
PRIMARY_TRUSTED_0048,V5DEVX_147,STATUS,E1,1,1972,1974,53.0,43.0,1.0
PRIMARY_TRUSTED_0049,V5DEVX_148,COMPETITIVE,E1,0,1991,1990,50.0,46.0,1.0
PRIMARY_TRUSTED_0050,V5DEVX_148,COMPETITIVE,E1,0,1992,1990,55.0,46.0,1.0
PRIMARY_TRUSTED_0051,V5DEVX_148,COMPETITIVE,E1,1,1991,1992,50.0,55.0,0.0
PRIMARY_TRUSTED_0052,V5DEVX_154,COMPETITIVE,E1,1,2005,2007,40.0,50.0,0.0
PRIMARY_TRUSTED_0053,V5DEVX_154,COMPETITIVE,E1,0,2012,2007,46.0,50.0,0.0
