axis,role_family,role_qid,wikidata_id,name,norm_name_c2,wikidata_birth_date,source_row_key,source_name,gender,birth_date,birth_time,utc_offset,birth_year,birth_place,longitude,latitude,linkage_status,candidate_source_c2,rodden_rating,birth_source,selection_information_used,event_collection_started,astrology_scored
COMPETITIVE,boxer,Q11338576,Q1010671,Giovanni Parisi,giovanniparisi,1967-12-02,GiovanniParisi1967,Giovanni Parisi,male,1967-12-02,19:30,+01:00,1967,"Vibo Valentia, Italy",16.098,38.676,PASS_EXACT_DOB,C2_COMPETITIVE_ORIGINAL_ROLE_SUPPLEMENT_EXACT_DOB,AA,Frozen VedAstro PersonList-15k snapshot,ORIGINAL_COMPETITIVE_ROLE_ONLY + WIKIDATA_P569_EXACT_DOB_LINKAGE,False,False
COMPETITIVE,tennis_player,Q10833314,Q10125,Andy Murray,andymurray,1987-05-15,AndyMurray1987,Andy Murray,male,1987-05-15,14:10,+01:00,1987,"Glasgow, United Kingdom",-4.257,55.866,PASS_EXACT_DOB,C2_COMPETITIVE_ORIGINAL_ROLE_SUPPLEMENT_EXACT_DOB,AA,Frozen VedAstro PersonList-15k snapshot,ORIGINAL_COMPETITIVE_ROLE_ONLY + WIKIDATA_P569_EXACT_DOB_LINKAGE,False,False
COMPETITIVE,basketball_player,Q3665646,Q1061776,Gary Trent,garytrent,1974-09-22,GaryTrent1974,Gary Trent,male,1974-09-22,04:21,-04:00,1974,"Columbus, OH, United States",-82.996,39.963,PASS_EXACT_DOB,C2_COMPETITIVE_ORIGINAL_ROLE_SUPPLEMENT_EXACT_DOB,AA,Frozen VedAstro PersonList-15k snapshot,ORIGINAL_COMPETITIVE_ROLE_ONLY + WIKIDATA_P569_EXACT_DOB_LINKAGE,False,False
COMPETITIVE,boxer,Q11338576,Q1086406,Christophe Tiozzo,christophetiozzo,1963-06-01,ChristopheTiozzo1963,Christophe Tiozzo,male,1963-06-01,03:55,+01:00,1963,"Saint-Denis, France",2.365,48.936,PASS_EXACT_DOB,C2_COMPETITIVE_ORIGINAL_ROLE_SUPPLEMENT_EXACT_DOB,AA,Frozen VedAstro PersonList-15k snapshot,ORIGINAL_COMPETITIVE_ROLE_ONLY + WIKIDATA_P569_EXACT_DOB_LINKAGE,False,False
COMPETITIVE,basketball_player,Q3665646,Q108870659,LeBron James,lebronjames,1984-12-30,LeBronJames1984,LeBron James,male,1984-12-30,16:04,-05:00,1984,"Akron, OH, United States",-81.516,41.085,PASS_EXACT_DOB,C2_COMPETITIVE_ORIGINAL_ROLE_SUPPLEMENT_EXACT_DOB,AA,Frozen VedAstro PersonList-15k snapshot,ORIGINAL_COMPETITIVE_ROLE_ONLY + WIKIDATA_P569_EXACT_DOB_LINKAGE,False,False
COMPETITIVE,boxer,Q11338576,Q111142719,Édouard Mascart,edouardmascart,1902-04-08,EdouardMascart1902,Edouard Mascart,male,1902-04-08,08:00,+00:09,1902,"Valenciennes, France",3.523,50.358,PASS_EXACT_DOB,C2_COMPETITIVE_ORIGINAL_ROLE_SUPPLEMENT_EXACT_DOB,AA,Frozen VedAstro PersonList-15k snapshot,ORIGINAL_COMPETITIVE_ROLE_ONLY + WIKIDATA_P569_EXACT_DOB_LINKAGE,False,False
COMPETITIVE,basketball_player,Q3665646,Q1131535,Bob Gibson,bobgibson,1935-11-09,BobGibson1935,Bob Gibson,male,1935-11-09,13:45,-06:00,1935,"Omaha, NE, United States",-95.937,41.259,PASS_EXACT_DOB,C2_COMPETITIVE_ORIGINAL_ROLE_SUPPLEMENT_EXACT_DOB,AA,Frozen VedAstro PersonList-15k snapshot,ORIGINAL_COMPETITIVE_ROLE_ONLY + WIKIDATA_P569_EXACT_DOB_LINKAGE,False,False
COMPETITIVE,basketball_player,Q3665646,Q1145222,Tony Gwynn,tonygwynn,1960-05-09,TonyGwynn1960,Tony Gwynn,male,1960-05-09,02:41,-07:00,1960,"Los Angeles, CA, United States",-118.243,34.052,PASS_EXACT_DOB,C2_COMPETITIVE_ORIGINAL_ROLE_SUPPLEMENT_EXACT_DOB,AA,Frozen VedAstro PersonList-15k snapshot,ORIGINAL_COMPETITIVE_ROLE_ONLY + WIKIDATA_P569_EXACT_DOB_LINKAGE,False,False
COMPETITIVE,association_football_player,Q937857,Q1145748,Giuseppe Peruchetti,giuseppeperuchetti,1907-10-30,GiuseppePeruchetti1907,Giuseppe Peruchetti,male,1907-10-30,20:00,+01:00,1907,"Gardone Val Trompia, Italia",10.186,45.688,PASS_EXACT_DOB,C2_COMPETITIVE_ORIGINAL_ROLE_SUPPLEMENT_EXACT_DOB,AA,Frozen VedAstro PersonList-15k snapshot,ORIGINAL_COMPETITIVE_ROLE_ONLY + WIKIDATA_P569_EXACT_DOB_LINKAGE,False,False
COMPETITIVE,tennis_player,Q10833314,Q11682,Justine Henin,justinehenin,1982-06-01,JustineHenin1982,Justine Henin,female,1982-06-01,16:20,+02:00,1982,"Liège, Belgium",5.572,50.644,PASS_EXACT_DOB,C2_COMPETITIVE_ORIGINAL_ROLE_SUPPLEMENT_EXACT_DOB,AA,Frozen VedAstro PersonList-15k snapshot,ORIGINAL_COMPETITIVE_ROLE_ONLY + WIKIDATA_P569_EXACT_DOB_LINKAGE,False,False
COMPETITIVE,basketball_player,Q3665646,Q1173396,Dave Winfield,davewinfield,1951-10-03,DaveWinfield1951,Dave Winfield,male,1951-10-03,02:45,-06:00,1951,"Saint-Paul, MN, United States",-93.094,44.944,PASS_EXACT_DOB,C2_COMPETITIVE_ORIGINAL_ROLE_SUPPLEMENT_EXACT_DOB,AA,Frozen VedAstro PersonList-15k snapshot,ORIGINAL_COMPETITIVE_ROLE_ONLY + WIKIDATA_P569_EXACT_DOB_LINKAGE,False,False
COMPETITIVE,tennis_player,Q10833314,Q1189457,Dennis Ralston,dennisralston,1942-07-27,DennisRalston1942,Dennis Ralston,male,1942-07-27,08:37,-07:00,1942,"Bakersfield, CA, United States",-119.019,35.373,PASS_EXACT_DOB,C2_COMPETITIVE_ORIGINAL_ROLE_SUPPLEMENT_EXACT_DOB,AA,Frozen VedAstro PersonList-15k snapshot,ORIGINAL_COMPETITIVE_ROLE_ONLY + WIKIDATA_P569_EXACT_DOB_LINKAGE,False,False
COMPETITIVE,boxer,Q11338576,Q124316470,Francis Bonnardel,francisbonnardel,1928-01-24,FrancisBonnardel1928,Francis Bonnardel,male,1928-01-24,16:00,+00:00,1928,"Bagnolet, France",2.418,48.869,PASS_EXACT_DOB,C2_COMPETITIVE_ORIGINAL_ROLE_SUPPLEMENT_EXACT_DOB,AA,Frozen VedAstro PersonList-15k snapshot,ORIGINAL_COMPETITIVE_ROLE_ONLY + WIKIDATA_P569_EXACT_DOB_LINKAGE,False,False
COMPETITIVE,association_football_player,Q937857,Q1285558,Edmond Delfour,edmonddelfour,1907-11-01,EdmondDelfour1907,Edmond Delfour,male,1907-11-01,21:00,+00:09,1907,"Ris-Orangis, France",2.412,48.654,PASS_EXACT_DOB,C2_COMPETITIVE_ORIGINAL_ROLE_SUPPLEMENT_EXACT_DOB,AA,Frozen VedAstro PersonList-15k snapshot,ORIGINAL_COMPETITIVE_ROLE_ONLY + WIKIDATA_P569_EXACT_DOB_LINKAGE,False,False
COMPETITIVE,association_football_player,Q937857,Q1334346,Georges Verriest,georgesverriest,1909-07-15,GeorgesVerriest1909,Georges Verriest,male,1909-07-15,05:45,+00:09,1909,"Roubaix, France",3.173,50.691,PASS_EXACT_DOB,C2_COMPETITIVE_ORIGINAL_ROLE_SUPPLEMENT_EXACT_DOB,AA,Frozen VedAstro PersonList-15k snapshot,ORIGINAL_COMPETITIVE_ROLE_ONLY + WIKIDATA_P569_EXACT_DOB_LINKAGE,False,False
COMPETITIVE,association_football_player,Q937857,Q1347715,Jules Vandooren,julesvandooren,1908-12-30,JulesVandooren1908,Jules Vandooren,male,1908-12-30,21:15,+00:09,1908,"Armentières, France",2.881,50.688,PASS_EXACT_DOB,C2_COMPETITIVE_ORIGINAL_ROLE_SUPPLEMENT_EXACT_DOB,AA,Frozen VedAstro PersonList-15k snapshot,ORIGINAL_COMPETITIVE_ROLE_ONLY + WIKIDATA_P569_EXACT_DOB_LINKAGE,False,False
COMPETITIVE,association_football_player,Q937857,Q1354344,Giuseppe Bigogno,giuseppebigogno,1909-07-22,GiuseppeBigogno1909,Giuseppe Bigogno,male,1909-07-22,21:00,+01:00,1909,"Albizzate, Italy",8.802,45.727,PASS_EXACT_DOB,C2_COMPETITIVE_ORIGINAL_ROLE_SUPPLEMENT_EXACT_DOB,AA,Frozen VedAstro PersonList-15k snapshot,ORIGINAL_COMPETITIVE_ROLE_ONLY + WIKIDATA_P569_EXACT_DOB_LINKAGE,False,False
COMPETITIVE,association_football_player,Q937857,Q1356436,Ernest Libérati,ernestliberati,1908-03-22,ErnestLiberati1908,Ernest Liberati,male,1908-03-22,05:30,+00:09,1908,"Oran, Algeria",-0.632,35.699,PASS_EXACT_DOB,C2_COMPETITIVE_ORIGINAL_ROLE_SUPPLEMENT_EXACT_DOB,AA,Frozen VedAstro PersonList-15k snapshot,ORIGINAL_COMPETITIVE_ROLE_ONLY + WIKIDATA_P569_EXACT_DOB_LINKAGE,False,False
COMPETITIVE,boxer,Q11338576,Q1385420,Aaron Pryor,aaronpryor,1955-10-20,AaronPryor1955,Aaron Pryor,male,1955-10-20,09:41,-04:00,1955,"Cincinnati, OH, United States",-84.514,39.104,PASS_EXACT_DOB,C2_COMPETITIVE_ORIGINAL_ROLE_SUPPLEMENT_EXACT_DOB,AA,Frozen VedAstro PersonList-15k snapshot,ORIGINAL_COMPETITIVE_ROLE_ONLY + WIKIDATA_P569_EXACT_DOB_LINKAGE,False,False
COMPETITIVE,association_football_player,Q937857,Q13860713,Gilbert Auvergne,gilbertauvergne,1905-12-17,GilbertAuvergne1905,Gilbert Auvergne,male,1905-12-17,16:00,+00:09,1905,"Nice, France",7.266,43.703,PASS_EXACT_DOB,C2_COMPETITIVE_ORIGINAL_ROLE_SUPPLEMENT_EXACT_DOB,AA,Frozen VedAstro PersonList-15k snapshot,ORIGINAL_COMPETITIVE_ROLE_ONLY + WIKIDATA_P569_EXACT_DOB_LINKAGE,False,False
COMPETITIVE,tennis_player,Q10833314,Q14286,Chris Evert,chrisevert,1954-12-21,ChrisEvert1954,Chris Evert,female,1954-12-21,04:30,-05:00,1954,"Fort Lauderdale, FL, United States",-80.144,26.124,PASS_EXACT_DOB,C2_COMPETITIVE_ORIGINAL_ROLE_SUPPLEMENT_EXACT_DOB,AA,Frozen VedAstro PersonList-15k snapshot,ORIGINAL_COMPETITIVE_ROLE_ONLY + WIKIDATA_P569_EXACT_DOB_LINKAGE,False,False
COMPETITIVE,boxer,Q11338576,Q16010481,Valentin Angelmann,valentinangelmann,1910-03-07,ValentinAngelmann1910,Valentin Angelmann,male,1910-03-07,19:45,+00:09,1910,"Colmar, France",7.36,48.081,PASS_EXACT_DOB,C2_COMPETITIVE_ORIGINAL_ROLE_SUPPLEMENT_EXACT_DOB,AA,Frozen VedAstro PersonList-15k snapshot,ORIGINAL_COMPETITIVE_ROLE_ONLY + WIKIDATA_P569_EXACT_DOB_LINKAGE,False,False
COMPETITIVE,tennis_player,Q10833314,Q1605124,Hendrik Timmer,hendriktimmer,1904-02-08,HendrikTimmer1904,Hendrik Timmer,male,1904-02-08,00:30,+00:00,1904,"Utrecht, Netherlands",5.12,52.092,PASS_EXACT_DOB,C2_COMPETITIVE_ORIGINAL_ROLE_SUPPLEMENT_EXACT_DOB,AA,Frozen VedAstro PersonList-15k snapshot,ORIGINAL_COMPETITIVE_ROLE_ONLY + WIKIDATA_P569_EXACT_DOB_LINKAGE,False,False
