batch_id,research_order_in_batch,subject_id,name,preassigned_axis,candidate_source,birth_date,birth_place,gender,wikidata_id,rodden_rating,source_row_key
1,1,V5CONFIRM_052,Rachida Dati,STATUS,V5_WIKIDATA_EXPANSION,1965-11-27,"Saint-Rémy-sur-Avre, France",female,Q27182,AA,RachidaDati1965
1,2,V5CONFIRM_060,Walter Dirks,STATUS,V5_WIKIDATA_EXPANSION,1901-08-01,"Dortmund, Germany",male,Q95445,AA,WalterDirks1901
1,3,V5CONFIRM_007,Jamie Murray,COMPETITIVE,V5_WIKIDATA_EXPANSION,1986-02-13,"Glasgow, United Kingdom",male,Q317820,AA,JamieMurray1986
1,4,V5CONFIRM_080,Gustav Knuth,STATUS,V5_WIKIDATA_EXPANSION,1901-07-07,"Brunswick, Germany",male,Q69382,AA,GustavKnuth1901
1,5,V5CONFIRM_019,Dieter Thoma,COMPETITIVE,V5_WIKIDATA_EXPANSION,1969-10-19,"Hinterzarten, Germany",male,Q61703,AA,DieterThoma1969
1,6,V5CONFIRM_004,Doris Hart,COMPETITIVE,V5_WIKIDATA_EXPANSION,1925-06-20,"Saint Louis, MO, United States",female,Q53564,AA,DorisHart1925
1,7,V5CONFIRM_002,Barbara Jordan,COMPETITIVE,V5_WIKIDATA_EXPANSION,1936-02-21,"Houston, TX, United States",female,Q53570,AA,BarbaraJordan1936
1,8,V5CONFIRM_044,Nathalie Delon,PROJECT,V5_WIKIDATA_EXPANSION,1941-08-01,"Oujda, L'Oriental, Morocco",female,Q461186,AA,NathalieDelon1941
1,9,V5CONFIRM_028,Michael Richards,PROJECT,V5_WIKIDATA_EXPANSION,1949-07-24,"Culver City, CA, United States",male,Q314945,AA,MichaelRichards1949
1,10,V5CONFIRM_034,Mamie Van Doren,PROJECT,V5_WIKIDATA_EXPANSION,1931-02-06,"Rowena, SD, United States",female,Q264596,AA,MamieVanDoren1931
1,11,V5CONFIRM_061,Marco Pannella,STATUS,V5_WIKIDATA_EXPANSION,1930-05-02,"Teramo, Italy",male,Q47651,AA,MarcoPannella1930
1,12,V5CONFIRM_015,Brian J. White,COMPETITIVE,V5_WIKIDATA_EXPANSION,1973-04-21,"Boston, MA, United States",male,Q1762270,AA,BrianJ.White1973
1,13,V5CONFIRM_068,Gianfranco Fini,STATUS,V5_WIKIDATA_EXPANSION,1952-01-03,"Bologna, Italy",male,Q47583,AA,GianfrancoFini1952
1,14,V5CONFIRM_039,Eriprando Visconti,PROJECT,V5_WIKIDATA_EXPANSION,1932-09-24,"Milan, Italy",male,Q327346,AA,EriprandoVisconti1932
1,15,V5CONFIRM_042,Annie Sprinkle,PROJECT,V5_WIKIDATA_EXPANSION,1954-07-23,"Philadelphia, PA, United States",female,Q433576,AA,AnnieSprinkle1954
1,16,V5CONFIRM_072,Camilo Cienfuegos,STATUS,V5_WIKIDATA_EXPANSION,1932-02-06,"Havana, Havana, Cuba",male,Q26853,AA,CamiloCienfuegos1932
1,17,V5CONFIRM_032,Wayne Marshall,PROJECT,V5_WIKIDATA_EXPANSION,1976-05-27,"Waltham, MA, United States",male,Q348230,AA,WayneMarshall1976
1,18,V5CONFIRM_050,Andrea Ypsilanti,STATUS,V5_WIKIDATA_EXPANSION,1957-04-08,"Rüsselsheim am Main, Germany",female,Q61577,AA,AndreaYpsilanti1957
1,19,V5CONFIRM_035,Harry Belafonte,PROJECT,V5_WIKIDATA_EXPANSION,1927-03-01,"New York, NY, United States",male,Q214959,AA,HarryBelafonte1927
1,20,V5CONFIRM_058,Marc Veyrat,STATUS,V5_WIKIDATA_EXPANSION,1950-05-08,"Annecy, France",male,Q1225410,AA,MarcVeyrat1950
1,21,V5CONFIRM_079,Daniel Hechter,STATUS,V5_WIKIDATA_EXPANSION,1938-07-30,"Paris, France",male,Q711826,AA,DanielHechter1938
2,1,V5CONFIRM_025,Katharine McPhee,PROJECT,V5_WIKIDATA_EXPANSION,1984-03-25,"Los Angeles, CA, United States",female,Q229282,AA,KatharineMcPhee1984
2,2,V5CONFIRM_036,Jim Morrison,PROJECT,V5_WIKIDATA_EXPANSION,1943-12-08,"Melbourne Beach, FL, United States",male,Q44301,AA,JimMorrison1943
2,3,V5CONFIRM_070,Guy,STATUS,V5_WIKIDATA_EXPANSION,1974-02-08,"Neuilly-sur-Seine, France",male,Q28531,AA,Guy1974
2,4,V5CONFIRM_049,Marina Berlusconi,STATUS,V5_WIKIDATA_EXPANSION,1966-08-10,"Milan, Italy",female,Q468797,AA,MarinaBerlusconi1966
2,5,V5CONFIRM_005,Fabrice Tiozzo,COMPETITIVE,V5_WIKIDATA_EXPANSION,1969-05-08,"Saint-Denis, France",male,Q717369,AA,FabriceTiozzo1969
2,6,V5CONFIRM_010,Rubin Carter,COMPETITIVE,V5_WIKIDATA_EXPANSION,1937-05-06,"William Paterson University of New Jersey, NJ, United States",male,Q452772,AA,RubinCarter1937
2,7,V5CONFIRM_066,Fritz Fischer,STATUS,V5_WIKIDATA_EXPANSION,1908-03-05,"Ludwigsstadt, Germany",male,Q61533,AA,FritzFischer1908
2,8,V5CONFIRM_045,Robert Bresson,PROJECT,V5_WIKIDATA_EXPANSION,1901-09-25,"Bromont-Lamothe, France",male,Q55391,AA,RobertBresson1901
2,9,V5CONFIRM_075,Gerd Bucerius,STATUS,V5_WIKIDATA_EXPANSION,1906-05-19,"Hamm, Germany",male,Q78109,AA,GerdBucerius1906
2,10,V5CONFIRM_029,Matt Dillon,PROJECT,V5_WIKIDATA_EXPANSION,1964-02-18,"New Rochelle, NY, United States",male,Q193070,AA,MattDillon1964
2,11,V5CONFIRM_020,Maurizio Stecca,COMPETITIVE,V5_WIKIDATA_EXPANSION,1963-03-09,"Santarcangelo di Romagna, Italia",male,Q580903,AA,MaurizioStecca1963
2,12,V5CONFIRM_073,Jimmy Osmond,STATUS,V5_WIKIDATA_EXPANSION,1963-04-16,"Los Angeles, CA, United States",male,Q1689414,AA,JimmyOsmond1963
2,13,V5CONFIRM_057,Daniel Wildenstein,STATUS,V5_WIKIDATA_EXPANSION,1917-09-11,"Verrières-le-Buisson, France",male,Q723358,AA,DanielWildenstein1917
2,14,V5CONFIRM_078,Frank Lorenzo,STATUS,V5_WIKIDATA_EXPANSION,1940-05-19,"New York, NY, United States",male,Q1443680,AA,FrankLorenzo1940
2,15,V5CONFIRM_021,Mattiwilda Dobbs,PROJECT,V5_WIKIDATA_EXPANSION,1925-07-11,"Atlanta, GA, United States",female,Q180896,AA,MattiwildaDobbs1925
2,16,V5CONFIRM_008,Zora Folley,COMPETITIVE,V5_WIKIDATA_EXPANSION,1931-05-27,"Dallas, TX, United States",male,Q220464,AA,ZoraFolley1931
2,17,V5CONFIRM_016,Boomer Esiason,COMPETITIVE,V5_WAVE_A,1961-04-17,"West Islip, NY, United States",male,,AA,BoomerEsiason1961
2,18,V5CONFIRM_056,Hans Fritzsche,STATUS,V5_WIKIDATA_EXPANSION,1900-04-21,"Bochum, Germany",male,Q58620,AA,HansFritzsche1900
2,19,V5CONFIRM_067,Seymour Cray,STATUS,V5_WIKIDATA_EXPANSION,1925-09-28,"Chippewa Falls, WI, United States",male,Q92765,AA,SeymourCray1925
2,20,V5CONFIRM_031,Gregory Peck,PROJECT,V5_WAVE_A,1916-04-05,"La Jolla, CA, United States",male,,AA,GregoryPeck1916
3,1,V5CONFIRM_040,Claire Keim,PROJECT,V5_WIKIDATA_EXPANSION,1975-07-08,"Senlis, France",female,Q281352,AA,ClaireKeim1975
3,2,V5CONFIRM_026,Marilyn Manson,PROJECT,V5_WIKIDATA_EXPANSION,1969-01-05,"Canton, OH, United States",male,Q186327,AA,MarilynManson1969
3,3,V5CONFIRM_012,Denny Moyer,COMPETITIVE,V5_WIKIDATA_EXPANSION,1939-08-08,"Portland, OR, United States",male,Q545389,AA,DennyMoyer1939
3,4,V5CONFIRM_022,Arielle Dombasle,PROJECT,V5_WIKIDATA_EXPANSION,1953-04-27,"Hartford, CT, United States",female,Q284731,AA,ArielleDombasle1953
3,5,V5CONFIRM_063,Jack Welch,STATUS,V5_WAVE_A,1935-11-19,"Peabody, MA, United States",male,,AA,JackWelch1935
3,6,V5CONFIRM_014,Henry Cooper,COMPETITIVE,V5_WIKIDATA_EXPANSION,1934-05-03,"London, United Kingdom",male,Q381694,AA,HenryCooper1934
3,7,V5CONFIRM_001,Tracy Austin,COMPETITIVE,V5_WAVE_A,1962-12-12,"Redondo Beach, CA, United States",female,,AA,TracyAustin1962
3,8,V5CONFIRM_048,Christie Hefner,STATUS,V5_WIKIDATA_EXPANSION,1952-11-08,"Chicago, IL, United States",female,Q509163,AA,ChristieHefner1952
3,9,V5CONFIRM_046,Christina Onassis,STATUS,V5_WIKIDATA_EXPANSION,1950-12-11,"New York, NY, United States",female,Q241812,AA,ChristinaOnassis1950
3,10,V5CONFIRM_006,Marcel Cerdan,COMPETITIVE,V5_WIKIDATA_EXPANSION,1916-07-22,"Sidi Bel Abbes, Algeria",male,Q347201,AA,MarcelCerdan1916
3,11,V5CONFIRM_041,Orson Welles,PROJECT,V5_WAVE_A,1915-05-06,"Kenosha, WI, United States",male,,AA,OrsonWelles1915
3,12,V5CONFIRM_013,Ronnie Harris,COMPETITIVE,V5_WIKIDATA_EXPANSION,1948-09-03,"Canton, OH, United States",male,Q1344009,AA,RonnieHarris1948
