index,batch_id,research_order_in_batch,subject_id,name,preassigned_axis,event_year,polarity,event_type,event_description,source_url,source_title,source_publisher,source_date,source_quality,eligibility_note,exclude,exclude_reason
1,1,1,V5CONFIRM_052,Rachida Dati,STATUS,2007,positive,cabinet_appointment,"Appointed Minister of Justice (Garde des Sceaux), a formal national executive-office gain.",https://www.info.gouv.fr/personnalite/rachida-dati,Rachida Dati,Gouvernement français,,high,Direct formal authority gain.,False,
2,1,1,V5CONFIRM_052,Rachida Dati,STATUS,2008,positive,mayoral_office_gain,"Became mayor of Paris's 7th arrondissement, a directly held elected local executive office.",https://www.info.gouv.fr/personnalite/rachida-dati,Rachida Dati,Gouvernement français,,high,Direct formal authority gain.,False,
3,1,1,V5CONFIRM_052,Rachida Dati,STATUS,2024,positive,cabinet_appointment,Became France's Minister of Culture in January 2024.,https://www.culture.gouv.fr/nous-connaitre/decouvrir-le-ministere/histoire-du-ministere/l-histoire-du-ministere/les-ministres-de-la-culture?limit=9&page=3,Les ministres de la Culture,Ministère de la Culture,,high,Direct formal authority gain.,False,
4,1,1,V5CONFIRM_052,Rachida Dati,STATUS,2026,negative,election_defeat,Lost the 2026 Paris mayoral election; Emmanuel Grégoire and the united left won while Dati finished behind.,https://www.lemonde.fr/en/politics/article/2026/03/23/paris-municipal-elections-emmanuel-gregoire-and-the-united-left-achieve-a-resounding-victory_6751716_5.html,Paris municipal elections: Emmanuel Grégoire and the united left achieve a resounding victory,Le Monde,,medium,Direct defeat in an election for formal executive authority.,False,
5,1,1,V5CONFIRM_052,Rachida Dati,STATUS,2026,negative,voluntary_resignation,Left the Culture Ministry in February 2026 to focus on the Paris mayoral race.,https://www.reuters.com/world/french-culture-minister-dati-quits-focus-run-paris-mayor-2026-02-25/,French culture minister Dati quits to focus on run for Paris mayor,Reuters,,medium,Logged for audit; departure was voluntary and therefore not a frozen negative-status event.,True,voluntary_role_exit_not_negative_status
6,1,2,V5CONFIRM_060,Walter Dirks,STATUS,1956,positive,department_leadership_appointment,"Became the first head of the main Culture department at Westdeutscher Rundfunk, serving through 1967.",https://www.kas.de/de/web/geschichte-der-cdu/personen/biogramm-detail/-/content/walter-dirks,Walter Dirks,Konrad-Adenauer-Stiftung,,medium,Formal leadership-role gain inside a major public broadcaster.,False,
7,1,3,V5CONFIRM_007,Jamie Murray,COMPETITIVE,2015,positive,team_championship_win,Won the Davis Cup with Great Britain in 2015.,https://www.daviscup.com/en/news/2015-davis-cup-champion-jamie-murray-announces-retirement,2015 Davis Cup champion Jamie Murray announces retirement,Davis Cup,,high,Direct elite team championship win.,False,
8,1,3,V5CONFIRM_007,Jamie Murray,COMPETITIVE,2016,positive,grand_slam_title_win,Won the Australian Open men's doubles title in 2016.,https://www.jamiemurraytennis.com/,Jamie Murray Tennis,Jamie Murray official site,,medium,Direct Grand Slam title win.,False,
9,1,3,V5CONFIRM_007,Jamie Murray,COMPETITIVE,2016,positive,grand_slam_title_win,Won the US Open men's doubles title in 2016.,https://www.jamiemurraytennis.com/,Jamie Murray Tennis,Jamie Murray official site,,medium,Direct Grand Slam title win.,False,
10,1,3,V5CONFIRM_007,Jamie Murray,COMPETITIVE,2025,negative,grand_slam_opening_round_loss,"Lost in the opening round of the 2025 US Open, his final event.",https://www.daviscup.com/en/news/2015-davis-cup-champion-jamie-murray-announces-retirement,2015 Davis Cup champion Jamie Murray announces retirement,Davis Cup,,high,Direct loss/elimination in a Grand Slam event.,False,
11,1,5,V5CONFIRM_019,Dieter Thoma,COMPETITIVE,1990,positive,four_hills_title_win,Won the Four Hills Tournament in the 1989-90 season.,https://www.fis-ski.com/DB/general/athlete-biography.html?competitorid=61270&cupcode=WC&sectorcode=JP&type=cups,Dieter Thoma athlete biography / cups,FIS,,high,Direct elite season/tournament title.,False,
12,1,5,V5CONFIRM_019,Dieter Thoma,COMPETITIVE,1990,positive,world_championship_win,Won the 1990 Ski Flying World Championship.,https://www.fis-ski.com/DB/general/athlete-biography.html?competitorid=61270&sectorcode=JP&type=career,Dieter Thoma career,FIS,,high,Direct world championship title.,False,
13,1,5,V5CONFIRM_019,Dieter Thoma,COMPETITIVE,1994,positive,olympic_team_gold,Won Olympic team gold in ski jumping in 1994.,https://www.fis-ski.com/DB/general/athlete-biography.html?competitorid=61270&sectorcode=JP&type=career,Dieter Thoma career,FIS,,high,Direct Olympic championship result.,False,
14,1,6,V5CONFIRM_004,Doris Hart,COMPETITIVE,1946,negative,grand_slam_final_loss,Finished runner-up in the U.S. Nationals women's singles final.,https://www.tennisfame.com/hall-of-famers/inductees/doris-hart,Doris Hart,International Tennis Hall of Fame,,high,Direct major final loss.,False,
15,1,6,V5CONFIRM_004,Doris Hart,COMPETITIVE,1949,positive,grand_slam_title_win,Won the Australian Championships women's singles title.,https://www.tennisfame.com/hall-of-famers/inductees/doris-hart,Doris Hart,International Tennis Hall of Fame,,high,Direct major title.,False,
16,1,6,V5CONFIRM_004,Doris Hart,COMPETITIVE,1951,positive,grand_slam_title_win,Won the Wimbledon women's singles title.,https://www.tennisfame.com/hall-of-famers/inductees/doris-hart,Doris Hart,International Tennis Hall of Fame,,high,Direct major title.,False,
17,1,6,V5CONFIRM_004,Doris Hart,COMPETITIVE,1954,positive,grand_slam_title_win,Won the U.S. Nationals women's singles title.,https://www.tennisfame.com/hall-of-famers/inductees/doris-hart,Doris Hart,International Tennis Hall of Fame,,high,Direct major title.,False,
18,1,7,V5CONFIRM_002,Barbara Jordan,COMPETITIVE,1979,positive,grand_slam_title_win,Won the 1979 Australian Open women's singles title.,https://ausopen.com/history/honour-roll/womens-singles,Women's Singles Honour Roll,Australian Open,,high,Direct Grand Slam title.,False,
19,1,7,V5CONFIRM_002,Barbara Jordan,COMPETITIVE,1983,negative,grand_slam_early_round_loss,Lost in the Australian Open singles field in the round of 64.,https://www.wtatennis.com/legends/100018/barbara-jordan/record,Barbara Jordan record,WTA,,high,Direct Grand Slam elimination.,False,
20,1,8,V5CONFIRM_044,Nathalie Delon,PROJECT,1967,positive,major_film_breakthrough,"Co-starred in Le Samouraï, a major and enduringly acclaimed film that became her signature screen project.",https://www.reuters.com/world/europe/french-actor-alain-delon-dies-aged-88-french-media-report-2024-08-18/,French actor Alain Delon dies aged 88,Reuters,,medium,Major project success with direct starring participation.,False,
21,1,9,V5CONFIRM_028,Michael Richards,PROJECT,1993,positive,television_performance_award,Won the Emmy for supporting actor for Seinfeld in 1993.,https://www.latimes.com/archives/la-xpm-1993-09-20-mn-37077-story.html,"Emmy Awards coverage, 1993",Los Angeles Times,,medium,Major award recognition tied to a specific television project.,False,
22,1,9,V5CONFIRM_028,Michael Richards,PROJECT,2000,negative,television_series_cancellation,"The Michael Richards Show was cancelled in 2000 after a short, unsuccessful run.",https://www.latimes.com/archives/la-xpm-2000-dec-08-ca-62742-story.html,Television: The Michael Richards Show cancellation,Los Angeles Times,,medium,Explicit failure/cancellation of a named project.,False,
23,1,11,V5CONFIRM_061,Marco Pannella,STATUS,1976,positive,parliament_election_win,Elected to Italy's Chamber of Deputies in 1976.,https://www.treccani.it/enciclopedia/marco-pannella/,Marco Pannella,Treccani,,medium,Direct elected-office gain.,False,
24,1,11,V5CONFIRM_061,Marco Pannella,STATUS,1979,positive,european_parliament_election_win,Elected to the European Parliament in 1979.,https://www.treccani.it/enciclopedia/marco-pannella/,Marco Pannella,Treccani,,medium,Direct elected-office gain.,False,
25,1,11,V5CONFIRM_061,Marco Pannella,STATUS,1994,negative,election_defeat,Was not reconfirmed in the Chamber of Deputies in the 1994 election.,https://www.treccani.it/enciclopedia/marco-pannella/,Marco Pannella,Treccani,,medium,Direct loss/failure to retain elected authority.,False,
26,1,11,V5CONFIRM_061,Marco Pannella,STATUS,1996,negative,election_defeat,Failed to be elected in the 1996 parliamentary election.,https://www.treccani.it/enciclopedia/marco-pannella/,Marco Pannella,Treccani,,medium,Direct election defeat.,False,
27,1,11,V5CONFIRM_061,Marco Pannella,STATUS,1999,positive,european_parliament_election_win,Returned to the European Parliament after election in 1999.,https://www.treccani.it/enciclopedia/marco-pannella/,Marco Pannella,Treccani,,medium,Direct elected-office gain.,False,
28,1,13,V5CONFIRM_068,Gianfranco Fini,STATUS,2008,positive,parliamentary_leadership_election,Elected President of the Italian Chamber of Deputies on 30 April 2008.,https://www.camera.it/deputati/elenco/16-23480,Gianfranco Fini - XVI Legislatura,Camera dei deputati,,high,Direct election to a top parliamentary authority post.,False,
29,1,14,V5CONFIRM_039,Eriprando Visconti,PROJECT,1962,positive,festival_award_project,Una storia milanese received the City of Imola award at the 1962 Venice Film Festival.,https://www.kinoafisha.info/en/awards/biennale/events/biennale-1962/,Venice Film Festival 1962 awards,Kinoafisha,,medium,Project-specific festival recognition; secondary awards database.,False,
30,1,15,V5CONFIRM_042,Annie Sprinkle,PROJECT,2021,positive,project_fellowship_award,Received a Guggenheim Fellowship supporting the film project Playing with Fire.,https://sprinklestephens.ucsc.edu/bios-and-cvs/,Bios and CVs,UC Santa Cruz / Sprinkle-Stephens,,high,Major competitive fellowship tied to a named creative project.,False,
31,1,16,V5CONFIRM_072,Camilo Cienfuegos,STATUS,1958,positive,military_command_promotion,Promoted to commander and placed at the head of Column No. 2 in April 1958.,https://www.granma.cu/cuba/2024-02-07/el-92-aniversario-del-natalicio-del-comandante-camilo-cienfuegos,El 92 aniversario del natalicio del Comandante Camilo Cienfuegos,Granma,,medium,Direct formal command gain.,False,
32,1,16,V5CONFIRM_072,Camilo Cienfuegos,STATUS,1959,positive,military_command_appointment,"Designated head of all land, sea and air forces in Havana province in January 1959.",https://www.granma.cu/cuba/2024-02-07/el-92-aniversario-del-natalicio-del-comandante-camilo-cienfuegos,El 92 aniversario del natalicio del Comandante Camilo Cienfuegos,Granma,,medium,Direct formal command gain.,False,
33,1,17,V5CONFIRM_032,Wayne Marshall,PROJECT,2021,positive,major_concert_debut,Made a critically acclaimed debut with the Berliner Philharmoniker in 2021.,https://www.waynemarshall.com/biography,Biography,Wayne Marshall official site,,medium,Major project/performance milestone.,False,
34,1,18,V5CONFIRM_050,Andrea Ypsilanti,STATUS,2003,positive,party_leadership_gain,Became chair of the SPD in Hesse in 2003.,https://parlamente.hessen.de/abgeordnete/138144990-ypsilanti-andrea,Andrea Ypsilanti,Hessischer Landtag,,high,Direct formal political leadership gain.,False,
35,1,18,V5CONFIRM_050,Andrea Ypsilanti,STATUS,2007,positive,parliamentary_group_leadership_gain,Became leader of the SPD parliamentary group in Hesse in 2007.,https://parlamente.hessen.de/abgeordnete/138144990-ypsilanti-andrea,Andrea Ypsilanti,Hessischer Landtag,,high,Direct formal political leadership gain.,False,
36,1,18,V5CONFIRM_050,Andrea Ypsilanti,STATUS,2008,negative,failed_government_formation,Her planned election as Hesse minister-president collapsed when four SPD legislators refused support.,https://www.zeit.de/online/2008/45/ypsilanti-scheitert,Ypsilanti scheitert,ZEIT ONLINE,,medium,Direct failure to obtain the targeted executive authority.,False,
37,1,19,V5CONFIRM_035,Harry Belafonte,PROJECT,1956,positive,album_commercial_breakthrough,Calypso became the first LP to sell more than one million copies and a landmark commercial success.,https://nmaahc.si.edu/explore/stories/harry-belafonte-actor-and-activist,Harry Belafonte: Actor and Activist,Smithsonian NMAAHC,,high,Major project-specific commercial success.,False,
38,1,20,V5CONFIRM_058,Marc Veyrat,STATUS,2018,positive,professional_rating_gain,La Maison des Bois received a third Michelin star in 2018.,https://www.euronews.com/2019/09/24/french-celebrity-chef-marc-veyrat-says-he-s-suing-michelin-for-loss-of-third-star,Marc Veyrat sues Michelin for loss of third star,Euronews/Reuters,,medium,Direct gain in formal professional ranking.,False,
39,1,20,V5CONFIRM_058,Marc Veyrat,STATUS,2019,negative,professional_rating_loss,La Maison des Bois was downgraded from three Michelin stars to two in 2019.,https://www.euronews.com/2019/09/24/french-celebrity-chef-marc-veyrat-says-he-s-suing-michelin-for-loss-of-third-star,Marc Veyrat sues Michelin for loss of third star,Euronews/Reuters,,medium,Direct loss in formal professional ranking.,False,
40,1,21,V5CONFIRM_079,Daniel Hechter,STATUS,1974,positive,club_presidency_gain,Became president of Paris Saint-Germain after Henri Patrelle's departure in June 1974.,https://www.psgweb.fr/reperes-historiques/,Repères historiques du PSG,PSGweb,,medium,Direct formal organizational authority gain.,False,
41,1,21,V5CONFIRM_079,Daniel Hechter,STATUS,1978,negative,forced_role_loss,"Was permanently suspended from holding functions in professional football amid the PSG ticketing scandal, ending his presidency.",https://www.lemonde.fr/archives/article/1978/01/09/m-daniel-hechter-est-exclu-definitivement-du-football-professionnel_2991023_1819218.html,M. Daniel Hechter est exclu définitivement du football professionnel,Le Monde,,medium,Direct forced authority loss.,False,
