subject_id,name,preassigned_axis,collection_wave,birth_year,earlier_year,later_year,year_gap,earlier_is_positive,earlier_polarity,later_polarity,earlier_event_count,later_event_count,earlier_event_types,later_event_types,subject_pair_count,subject_weight,earlier_event_age,later_event_age,calendar_midpoint,positive_year,negative_year,positive_earlier_calc,positive_age,negative_age,abs_year_gap,dataset,pair_id
V5CONFIRM_001,Tracy Austin,COMPETITIVE,CONFIRM,1962,1979,1980,1,1,positive,negative,1,1,grand_slam_title_win,grand_slam_semifinal_loss,2,0.5,17,18,1979.5,1979,1980,1,17,18,1,BROAD_SENSITIVITY,CONFIRM_BROAD_SENSITIVITY_0001
V5CONFIRM_001,Tracy Austin,COMPETITIVE,CONFIRM,1962,1980,1981,1,0,negative,positive,1,1,grand_slam_semifinal_loss,grand_slam_title_win,2,0.5,18,19,1980.5,1981,1980,0,19,18,1,BROAD_SENSITIVITY,CONFIRM_BROAD_SENSITIVITY_0002
V5CONFIRM_002,Barbara Jordan,COMPETITIVE,CONFIRM,1936,1979,1983,4,1,positive,negative,1,1,grand_slam_title_win,grand_slam_early_round_loss,1,1.0,43,47,1981.0,1979,1983,1,43,47,4,BROAD_SENSITIVITY,CONFIRM_BROAD_SENSITIVITY_0003
V5CONFIRM_003,Pauline Betz,COMPETITIVE,CONFIRM,1919,1941,1942,1,0,negative,positive,1,1,grand_slam_final_loss,grand_slam_title_win,4,0.25,22,23,1941.5,1942,1941,0,23,22,1,BROAD_SENSITIVITY,CONFIRM_BROAD_SENSITIVITY_0004
V5CONFIRM_003,Pauline Betz,COMPETITIVE,CONFIRM,1919,1941,1946,5,0,negative,positive,1,1,grand_slam_final_loss,grand_slam_title_win,4,0.25,22,27,1943.5,1946,1941,0,27,22,5,BROAD_SENSITIVITY,CONFIRM_BROAD_SENSITIVITY_0005
V5CONFIRM_003,Pauline Betz,COMPETITIVE,CONFIRM,1919,1942,1945,3,1,positive,negative,1,1,grand_slam_title_win,grand_slam_final_loss,4,0.25,23,26,1943.5,1942,1945,1,23,26,3,BROAD_SENSITIVITY,CONFIRM_BROAD_SENSITIVITY_0006
V5CONFIRM_003,Pauline Betz,COMPETITIVE,CONFIRM,1919,1945,1946,1,0,negative,positive,1,1,grand_slam_final_loss,grand_slam_title_win,4,0.25,26,27,1945.5,1946,1945,0,27,26,1,BROAD_SENSITIVITY,CONFIRM_BROAD_SENSITIVITY_0007
V5CONFIRM_004,Doris Hart,COMPETITIVE,CONFIRM,1925,1946,1949,3,0,negative,positive,1,1,grand_slam_final_loss,grand_slam_title_win,2,0.5,21,24,1947.5,1949,1946,0,24,21,3,BROAD_SENSITIVITY,CONFIRM_BROAD_SENSITIVITY_0008
V5CONFIRM_004,Doris Hart,COMPETITIVE,CONFIRM,1925,1946,1951,5,0,negative,positive,1,1,grand_slam_final_loss,grand_slam_title_win,2,0.5,21,26,1948.5,1951,1946,0,26,21,5,BROAD_SENSITIVITY,CONFIRM_BROAD_SENSITIVITY_0009
V5CONFIRM_005,Fabrice Tiozzo,COMPETITIVE,CONFIRM,1969,1995,2000,5,1,positive,negative,1,1,world_title_win,world_title_loss,3,0.3333333333333333,26,31,1997.5,1995,2000,1,26,31,5,BROAD_SENSITIVITY,CONFIRM_BROAD_SENSITIVITY_0010
