subject_id,name,preassigned_axis,collection_wave,birth_year,earlier_year,later_year,year_gap,earlier_is_positive,earlier_polarity,later_polarity,earlier_event_count,later_event_count,earlier_event_types,later_event_types,subject_pair_count,subject_weight,earlier_event_age,later_event_age,calendar_midpoint,positive_year,negative_year,positive_earlier_calc,positive_age,negative_age,abs_year_gap,dataset,pair_id
V5CONFIRM_001,Tracy Austin,COMPETITIVE,CONFIRM,1962,1979,1980,1,1,positive,negative,1,1,grand_slam_title_win,grand_slam_semifinal_loss,2,0.5,17,18,1979.5,1979,1980,1,17,18,1,PRIMARY_TRUSTED,CONFIRM_PRIMARY_TRUSTED_0001
V5CONFIRM_001,Tracy Austin,COMPETITIVE,CONFIRM,1962,1980,1981,1,0,negative,positive,1,1,grand_slam_semifinal_loss,grand_slam_title_win,2,0.5,18,19,1980.5,1981,1980,0,19,18,1,PRIMARY_TRUSTED,CONFIRM_PRIMARY_TRUSTED_0002
V5CONFIRM_002,Barbara Jordan,COMPETITIVE,CONFIRM,1936,1979,1983,4,1,positive,negative,1,1,grand_slam_title_win,grand_slam_early_round_loss,1,1.0,43,47,1981.0,1979,1983,1,43,47,4,PRIMARY_TRUSTED,CONFIRM_PRIMARY_TRUSTED_0003
V5CONFIRM_003,Pauline Betz,COMPETITIVE,CONFIRM,1919,1941,1942,1,0,negative,positive,1,1,grand_slam_final_loss,grand_slam_title_win,4,0.25,22,23,1941.5,1942,1941,0,23,22,1,PRIMARY_TRUSTED,CONFIRM_PRIMARY_TRUSTED_0004
V5CONFIRM_003,Pauline Betz,COMPETITIVE,CONFIRM,1919,1941,1946,5,0,negative,positive,1,1,grand_slam_final_loss,grand_slam_title_win,4,0.25,22,27,1943.5,1946,1941,0,27,22,5,PRIMARY_TRUSTED,CONFIRM_PRIMARY_TRUSTED_0005
V5CONFIRM_003,Pauline Betz,COMPETITIVE,CONFIRM,1919,1942,1945,3,1,positive,negative,1,1,grand_slam_title_win,grand_slam_final_loss,4,0.25,23,26,1943.5,1942,1945,1,23,26,3,PRIMARY_TRUSTED,CONFIRM_PRIMARY_TRUSTED_0006
V5CONFIRM_003,Pauline Betz,COMPETITIVE,CONFIRM,1919,1945,1946,1,0,negative,positive,1,1,grand_slam_final_loss,grand_slam_title_win,4,0.25,26,27,1945.5,1946,1945,0,27,26,1,PRIMARY_TRUSTED,CONFIRM_PRIMARY_TRUSTED_0007
V5CONFIRM_004,Doris Hart,COMPETITIVE,CONFIRM,1925,1946,1949,3,0,negative,positive,1,1,grand_slam_final_loss,grand_slam_title_win,2,0.5,21,24,1947.5,1949,1946,0,24,21,3,PRIMARY_TRUSTED,CONFIRM_PRIMARY_TRUSTED_0008
V5CONFIRM_004,Doris Hart,COMPETITIVE,CONFIRM,1925,1946,1951,5,0,negative,positive,1,1,grand_slam_final_loss,grand_slam_title_win,2,0.5,21,26,1948.5,1951,1946,0,26,21,5,PRIMARY_TRUSTED,CONFIRM_PRIMARY_TRUSTED_0009
V5CONFIRM_013,Ronnie Harris,COMPETITIVE,CONFIRM,1948,1978,1979,1,0,negative,positive,1,1,world_title_fight_loss,regional_title_win,2,0.5,30,31,1978.5,1979,1978,0,31,30,1,PRIMARY_TRUSTED,CONFIRM_PRIMARY_TRUSTED_0010
V5CONFIRM_013,Ronnie Harris,COMPETITIVE,CONFIRM,1948,1979,1980,1,1,positive,negative,1,1,regional_title_win,regional_title_loss,2,0.5,31,32,1979.5,1979,1980,1,31,32,1,PRIMARY_TRUSTED,CONFIRM_PRIMARY_TRUSTED_0011
V5CONFIRM_016,Boomer Esiason,COMPETITIVE,CONFIRM,1961,1988,1989,1,1,positive,negative,1,1,league_mvp,championship_final_loss,1,1.0,27,28,1988.5,1988,1989,1,27,28,1,PRIMARY_TRUSTED,CONFIRM_PRIMARY_TRUSTED_0012
V5CONFIRM_018,Sergi Bruguera,COMPETITIVE,CONFIRM,1971,1993,1997,4,1,positive,negative,1,1,grand_slam_title_win,grand_slam_final_loss,2,0.5,22,26,1995.0,1993,1997,1,22,26,4,PRIMARY_TRUSTED,CONFIRM_PRIMARY_TRUSTED_0013
V5CONFIRM_018,Sergi Bruguera,COMPETITIVE,CONFIRM,1971,1994,1997,3,1,positive,negative,1,1,grand_slam_title_win,grand_slam_final_loss,2,0.5,23,26,1995.5,1994,1997,1,23,26,3,PRIMARY_TRUSTED,CONFIRM_PRIMARY_TRUSTED_0014
V5CONFIRM_077,Michel Rocard,STATUS,CONFIRM,1930,1988,1991,3,1,positive,negative,1,1,prime_minister_appointment,forced_prime_minister_exit,1,1.0,58,61,1989.5,1988,1991,1,58,61,3,PRIMARY_TRUSTED,CONFIRM_PRIMARY_TRUSTED_0015
