subject_id,name,preassigned_axis,collection_wave,birth_year,earlier_year,later_year,year_gap,earlier_is_positive,earlier_polarity,later_polarity,earlier_event_count,later_event_count,earlier_event_types,later_event_types,subject_pair_count,subject_weight,earlier_event_age,later_event_age,calendar_midpoint
V5DEVX_004,Jérôme Le Banner,COMPETITIVE,E1,1972,1995,2000,5,0,negative,positive,1,1,k1_grand_prix_final_loss,k1_world_gp_regional_title,3,0.3333333333333333,23,28,1997.5
V5DEVX_004,Jérôme Le Banner,COMPETITIVE,E1,1972,2000,2002,2,1,positive,negative,1,1,k1_world_gp_regional_title,k1_world_gp_final_loss,3,0.3333333333333333,28,30,2001.0
V5DEVX_004,Jérôme Le Banner,COMPETITIVE,E1,1972,2001,2002,1,1,positive,negative,1,1,k1_world_gp_regional_title,k1_world_gp_final_loss,3,0.3333333333333333,29,30,2001.5
V5DEVX_007,Gianluca Rinaldini,COMPETITIVE,E1,1959,1978,1982,4,0,negative,positive,1,2,national_championship_final_loss,career_high_ranking | national_team_championship_win,1,1.0,19,23,1980.0
V5DEVX_008,Wolfgang Staudte,PROJECT,E1,1906,1951,1955,4,1,positive,negative,1,1,national_film_prize,committed_film_production_aborted,2,0.5,45,49,1953.0
V5DEVX_008,Wolfgang Staudte,PROJECT,E1,1906,1955,1960,5,0,negative,positive,1,1,committed_film_production_aborted,festival_best_director_award,2,0.5,49,54,1957.5
V5DEVX_010,Duilio Loi,COMPETITIVE,E1,1929,1960,1961,1,0,negative,positive,1,1,world_title_challenge_loss,world_title_defense_win,4,0.25,31,32,1960.5
V5DEVX_010,Duilio Loi,COMPETITIVE,E1,1929,1960,1962,2,1,positive,negative,1,1,world_title_win,world_title_loss,4,0.25,31,33,1961.0
V5DEVX_010,Duilio Loi,COMPETITIVE,E1,1929,1960,1962,2,0,negative,positive,1,1,world_title_challenge_loss,world_title_reclaim,4,0.25,31,33,1961.0
V5DEVX_010,Duilio Loi,COMPETITIVE,E1,1929,1961,1962,1,1,positive,negative,1,1,world_title_defense_win,world_title_loss,4,0.25,32,33,1961.5
V5DEVX_017,Artur Axmann,STATUS,E1,1913,1940,1945,5,1,positive,negative,1,1,reichsjugendfuehrer_accession,regime_collapse_authority_loss,1,1.0,27,32,1942.5
V5DEVX_025,Alex Ferguson,COMPETITIVE,E1,1941,2008,2009,1,1,positive,negative,1,1,champions_league_win,champions_league_final_loss,2,0.5,67,68,2008.5
V5DEVX_025,Alex Ferguson,COMPETITIVE,E1,1941,2008,2011,3,1,positive,negative,1,1,champions_league_win,champions_league_final_loss,2,0.5,67,70,2009.5
V5DEVX_031,Jack Kramer,COMPETITIVE,E1,1921,1943,1946,3,0,negative,positive,1,1,major_final_loss,grand_slam_win,2,0.5,22,25,1944.5
V5DEVX_031,Jack Kramer,COMPETITIVE,E1,1921,1943,1947,4,0,negative,positive,1,1,major_final_loss,major_titles_win,2,0.5,22,26,1945.0
V5DEVX_036,Paul Lücke,STATUS,E1,1914,1965,1968,3,1,positive,negative,1,1,interior_minister_accession,cabinet_resignation,1,1.0,51,54,1966.5
V5DEVX_038,Roland Dumas,STATUS,E1,1922,1995,2000,5,1,positive,negative,1,1,constitutional_council_president_accession,forced_resignation,1,1.0,73,78,1997.5
V5DEVX_046,Ronda Rousey,COMPETITIVE,E1,1987,2012,2015,3,1,positive,negative,1,1,strikeforce_title_win,ufc_title_loss,2,0.5,25,28,2013.5
V5DEVX_046,Ronda Rousey,COMPETITIVE,E1,1987,2012,2016,4,1,positive,negative,1,1,strikeforce_title_win,ufc_title_challenge_loss,2,0.5,25,29,2014.0
V5DEVX_048,Jean Van Houtte,STATUS,E1,1907,1952,1954,2,1,positive,negative,1,1,prime_minister_accession,prime_ministership_loss_after_election,1,1.0,45,47,1953.0
V5DEVX_049,Arnaud Clément,COMPETITIVE,E1,1977,2000,2001,1,1,positive,negative,1,1,atp_title_win,grand_slam_final_loss,4,0.25,23,24,2000.5
V5DEVX_049,Arnaud Clément,COMPETITIVE,E1,1977,2000,2002,2,1,positive,negative,1,1,atp_title_win,davis_cup_final_loss,4,0.25,23,25,2001.0
V5DEVX_049,Arnaud Clément,COMPETITIVE,E1,1977,2001,2002,1,1,positive,negative,1,1,davis_cup_win,davis_cup_final_loss,4,0.25,24,25,2001.5
V5DEVX_049,Arnaud Clément,COMPETITIVE,E1,1977,2002,2007,5,0,negative,positive,1,1,davis_cup_final_loss,wimbledon_doubles_win,4,0.25,25,30,2004.5
V5DEVX_050,Rob Cohen,PROJECT,E1,1949,2001,2005,4,1,positive,negative,1,1,film_commercial_breakthrough,film_commercial_failure,1,1.0,52,56,2003.0
V5DEVX_052,Shirley Fry,COMPETITIVE,E1,1927,1951,1956,5,0,negative,positive,1,1,wimbledon_final_loss,major_titles_win,1,1.0,24,29,1953.5
V5DEVX_055,Don Budge,COMPETITIVE,E1,1915,1936,1937,1,0,negative,positive,1,1,us_nationals_final_loss,wimbledon_us_titles_win,2,0.5,21,22,1936.5
V5DEVX_055,Don Budge,COMPETITIVE,E1,1915,1936,1938,2,0,negative,positive,1,1,us_nationals_final_loss,calendar_grand_slam,2,0.5,21,23,1937.0
V5DEVX_066,Guido Ferracin,COMPETITIVE,E1,1926,1948,1949,1,1,positive,negative,1,1,european_title_win,european_title_loss,1,1.0,22,23,1948.5
