subject_id,split,axis,old_name,old_birth_date,old_birth_place,old_wikidata_id,old_linkage_status,new_name,new_birth_date,new_birth_place,new_wikidata_id,new_linkage_status,replacement_key,batch_id,research_order_in_batch,existing_event_rows_action,reason
V5DEV_007,DEV,COMPETITIVE,Michelle Kwan,1980-07-07,"Los Angeles, CA, United States",,PASS_LEGACY_WAVE_A,Sébastien Chabal,1977-12-08,"Valence, France",Q465470,PASS_EXACT_DOB,02c6ecffff55d2d7fd222fbafbff1fcb0847314c28eaba154b562e2c17300979,5,13,DELETE_ALL_OLD_EVENT_ROWS_FOR_SUBJECT_ID_AND_RESEARCH_NEW_IDENTITY,IDENTITY_SLOT_REPLACED
V5DEV_011,DEV,COMPETITIVE,Terry Allen,1968-02-21,"Commerce, GA, United States",Q4062091,LIKELY_IDENTITY_MISMATCH,Guillaume Raoux,1970-02-14,"Bagnols-sur-Cèze, France",Q974288,PASS_EXACT_DOB,031abd0dc9947bdbe3537032e7278e8e21dd79813fc6a5bf486497a4b5a570fe,5,4,DELETE_ALL_OLD_EVENT_ROWS_FOR_SUBJECT_ID_AND_RESEARCH_NEW_IDENTITY,IDENTITY_SLOT_REPLACED
V5DEV_014,DEV,COMPETITIVE,Andy Murray,1987-05-15,"Glasgow, United Kingdom",,PASS_LEGACY_WAVE_A,Nicolas Mahut,1982-01-21,"Angers, France",Q317974,PASS_EXACT_DOB,039fc180ff229de71c3c9b745ebceff66a3d3124056860789e3b81e2b8628abc,6,13,DELETE_ALL_OLD_EVENT_ROWS_FOR_SUBJECT_ID_AND_RESEARCH_NEW_IDENTITY,IDENTITY_SLOT_REPLACED
V5DEV_015,DEV,COMPETITIVE,Arthur Johnson,1949-01-08,"Steubenville, OH, United States",Q4799274,REVIEW_DOB_DISCREPANCY_UNKNOWN_PLACE,Nathalie Tauziat,1967-10-17,"Bangui, Bangui, Central African Republic",Q232633,PASS_EXACT_DOB,03dbe8599e90cb125561ee0b95665ff3b8555c2477fbc712ef011d9dba24eed9,6,10,DELETE_ALL_OLD_EVENT_ROWS_FOR_SUBJECT_ID_AND_RESEARCH_NEW_IDENTITY,IDENTITY_SLOT_REPLACED
V5DEV_019,DEV,COMPETITIVE,Lou Nova,1915-03-16,"Los Angeles, CA, United States",Q3260140,REVIEW_DOB_DISCREPANCY_SAME_PLACE,Robert Hübner,1948-11-06,"Cologne, Germany",Q77389,PASS_EXACT_DOB,04d9b87cedf62976f92d5bd2e15863538927c75db44757dd5f665189b0b1d97b,5,7,DELETE_ALL_OLD_EVENT_ROWS_FOR_SUBJECT_ID_AND_RESEARCH_NEW_IDENTITY,IDENTITY_SLOT_REPLACED
V5DEV_022,DEV,COMPETITIVE,Walter Schmidt,1917-01-28,"Bremen, Germany",Q2546155,LIKELY_IDENTITY_MISMATCH,Andre Routis,1900-07-16,"Bordeaux, France",Q2848579,PASS_EXACT_DOB,0512ddb9eadf3001449ad3e07adeb90180ae595dd199cf74bb5f294921f98c1a,4,7,DELETE_ALL_OLD_EVENT_ROWS_FOR_SUBJECT_ID_AND_RESEARCH_NEW_IDENTITY,IDENTITY_SLOT_REPLACED
V5DEV_023,DEV,COMPETITIVE,Patrick Flanagan,1944-10-11,"Oklahoma City, OK, United States",Q2624096,REVIEW_MISSING_OR_LOW_PRECISION_DOB,Nino Benvenuti,1938-04-26,"Trieste, Italy",Q1800396,PASS_EXACT_DOB,07eeb5e1e3bad3e705aba1160ed806920e4e86c40b1f16605cc3f54f4a366dab,6,4,DELETE_ALL_OLD_EVENT_ROWS_FOR_SUBJECT_ID_AND_RESEARCH_NEW_IDENTITY,IDENTITY_SLOT_REPLACED
V5DEV_033,DEV,COMPETITIVE,Michel Platini,1955-06-21,"Jœuf, France",,PASS_LEGACY_WAVE_A,Philippe Chatrier,1928-02-02,"Créteil, France",Q589611,PASS_EXACT_DOB,0f30e467afeabc751795ea057aebfb672cae920195243105968f69edd00aed55,8,7,DELETE_ALL_OLD_EVENT_ROWS_FOR_SUBJECT_ID_AND_RESEARCH_NEW_IDENTITY,IDENTITY_SLOT_REPLACED
V5DEV_034,DEV,COMPETITIVE,Gianluigi Buffon,1978-01-28,"Carrara, Italy",,PASS_LEGACY_WAVE_A,Fritz Walter,1920-10-31,"Kaiserslautern, Germany",Q22717,PASS_EXACT_DOB,10869cde86f4803a1d783826aaf43c7d749a472209473789bb408e98ec9e66f0,5,10,DELETE_ALL_OLD_EVENT_ROWS_FOR_SUBJECT_ID_AND_RESEARCH_NEW_IDENTITY,IDENTITY_SLOT_REPLACED
V5DEV_035,DEV,COMPETITIVE,O. J. Simpson,1947-07-09,"San Francisco, CA, United States",,PASS_LEGACY_WAVE_A,Benoît Paire,1989-05-08,"Avignon, France",Q246542,PASS_EXACT_DOB,11e34e06313730a52ccaa1aee9a1141b5e10115a52b9eaed9546cf4983a9485a,2,10,DELETE_ALL_OLD_EVENT_ROWS_FOR_SUBJECT_ID_AND_RESEARCH_NEW_IDENTITY,IDENTITY_SLOT_REPLACED
V5DEV_037,DEV,COMPETITIVE,Julius Erving,1950-02-22,"New Hempstead, NY, United States",,PASS_LEGACY_WAVE_A,Sergio Caprari,1932-07-11,"Civita Castellana, Italia",Q716771,PASS_EXACT_DOB,1961456e9f87d92305fa73dc6d3643d18307ac7d4eb0f4df4054a515cb7ed6c9,1,4,DELETE_ALL_OLD_EVENT_ROWS_FOR_SUBJECT_ID_AND_RESEARCH_NEW_IDENTITY,IDENTITY_SLOT_REPLACED
V5DEV_038,DEV,COMPETITIVE,Michael Chang,1972-02-22,"Hoboken, GA, United States",,PASS_LEGACY_WAVE_A,Guy Forget,1965-01-04,"Casablanca, Casablanca-Settat, Morocco",Q560175,PASS_EXACT_DOB,1ab5d252ce819b3c5d3bc570feee0d5234917e0bac1dfd208b1d662939b07d74,3,13,DELETE_ALL_OLD_EVENT_ROWS_FOR_SUBJECT_ID_AND_RESEARCH_NEW_IDENTITY,IDENTITY_SLOT_REPLACED
