batch_id,research_order_in_batch,subject_id,name,preassigned_axis,event_year,polarity,event_type,event_description,source_url,source_title,source_publisher,source_date,source_quality,eligibility_note,exclude,exclude_reason
1,4,V5DEV_037,Sergio Caprari,COMPETITIVE,1952,negative,olympic_final_loss,Lost the Olympic featherweight final to Ján Zachara and finished runner-up.,https://www.olympedia.org/results/22529,"Featherweight (≤57 kilograms), Men",Olympedia,,high,Direct defeat in an Olympic championship final.,False,
1,4,V5DEV_037,Sergio Caprari,COMPETITIVE,1952,positive,olympic_medal,Won the silver medal in the men's featherweight boxing event at the Helsinki Olympics.,https://www.olympedia.org/athletes/4084,Sergio Caprari,Olympedia,,high,Direct medal-winning outcome at the Olympic Games.,False,
1,4,V5DEV_037,Sergio Caprari,COMPETITIVE,1956,positive,national_title_win,Won the Italian professional featherweight title by TKO over Nello Barbadaro.,https://www.olympedia.org/athletes/4084,Sergio Caprari,Olympedia,,high,Direct national professional championship title win.,False,
1,4,V5DEV_037,Sergio Caprari,COMPETITIVE,1958,negative,continental_title_loss,Lost the European featherweight title to Gracieux Lamperti.,https://www.olympedia.org/athletes/4084,Sergio Caprari,Olympedia,,high,Direct loss of a European professional championship title.,False,
1,4,V5DEV_037,Sergio Caprari,COMPETITIVE,1958,positive,continental_title_win,Won the European featherweight title by TKO over Jean Sneyers.,https://www.olympedia.org/athletes/4084,Sergio Caprari,Olympedia,,high,Direct European professional championship title win.,False,
1,4,V5DEV_037,Sergio Caprari,COMPETITIVE,1961,negative,world_title_challenge_loss,Lost his challenge for the World Super Featherweight title to Flash Elorde by first-round TKO.,https://www.olympedia.org/athletes/4084,Sergio Caprari,Olympedia,,high,Direct defeat in a professional world-title contest.,False,
2,10,V5DEV_035,Benoît Paire,COMPETITIVE,2013,negative,tour_final_loss,Reached the Montpellier ATP singles final but finished runner-up.,https://www.atptour.com/en/players/Beno%C3%AEt_Paire/PD31/bio,Benoit Paire | Bio,ATP Tour,,high,Direct defeat in an ATP Tour singles final.,False,
2,10,V5DEV_035,Benoît Paire,COMPETITIVE,2015,negative,tour_final_loss,"Lost the Tokyo ATP final to Stan Wawrinka, described by ATP as the biggest of his career finals.",https://www.atptour.com/en/players/Beno%C3%AEt_Paire/PD31/bio,Benoit Paire | Bio,ATP Tour,,high,Direct defeat in a major ATP Tour singles final.,False,
2,10,V5DEV_035,Benoît Paire,COMPETITIVE,2015,positive,tour_title_win,Won his first ATP Tour singles title at Bastad.,https://www.atptour.com/en/players/Beno%C3%AEt_Paire/PD31/bio,Benoit Paire | Bio,ATP Tour,,high,Direct ATP Tour singles title win.,False,
2,10,V5DEV_035,Benoît Paire,COMPETITIVE,2019,positive,tour_title_win,Won the ATP Tour singles title in Marrakech.,https://www.atptour.com/en/scores/results-archive?year=2019,2019 Results Archive,ATP Tour,,high,Direct ATP Tour singles title win.,False,
