astrology_scored,axis,birth_date,birth_ok,birth_place,birth_time,birth_year,candidate_source,eligible,event_collection_started,gender,latitude,longitude,name,norm_name,prior_used,role_family,role_qid,seed_origin,selection_information_used,source_name,source_row_key,utc_offset,wave,wikidata_id,wikidata_sitelinks
False,COMPETITIVE,1908-11-18,True,"Brussels, Belgium",18:30,1908.0,V5_WIKIDATA_EXPANSION,True,False,male,50.846,4.356,Adrien Anneet,adrienanneet,False,boxer,Q11338576,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,Adrien Anneet,AdrienAnneet1908,+00:00,V5_ROLE_ONLY_EXPANSION,Q376726,
False,COMPETITIVE,1927-02-27,True,"Algiers, Algeria",20:00,1927.0,V5_WIKIDATA_EXPANSION,True,False,male,36.772,3.052,Albert Yvel,albertyvel,False,boxer,Q11338576,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,Albert Yvel,AlbertYvel1927,+00:00,V5_ROLE_ONLY_EXPANSION,Q2639088,
False,COMPETITIVE,1926-08-26,True,"Rome, Italy",07:00,1926.0,V5_WIKIDATA_EXPANSION,True,False,male,41.891,12.494,Alessandro D'Ottavio,alessandrodottavio,False,boxer,Q11338576,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,Alessandro D'Ottavio,AlessandroD'Ottavio1926,+01:00,V5_ROLE_ONLY_EXPANSION,Q2466968,
False,COMPETITIVE,1941-12-31,True,"Glasgow, United Kingdom",16:30,1941.0,V5_WIKIDATA_EXPANSION,True,False,male,55.866,-4.257,Alex Ferguson,alexferguson,False,athlete,Q2066131,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,Alex Ferguson,AlexFerguson1941,+01:00,V5_ROLE_ONLY_EXPANSION,Q44980,
False,COMPETITIVE,1936-03-24,True,"Arequipa, Peru",09:30,1936.0,V5_WIKIDATA_EXPANSION,True,False,male,-16.399,-71.537,Alex Olmedo,alexolmedo,False,tennis_player,Q10833314,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,Alex Olmedo,AlexOlmedo1936,-05:00,V5_ROLE_ONLY_EXPANSION,Q734544,
False,COMPETITIVE,1952-06-25,True,"Natick, MA, United States",15:13,1952.0,V5_WIKIDATA_EXPANSION,True,False,male,42.284,-71.347,Al Parker,alparker,False,tennis_player,Q10833314,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,Al Parker,AlParker1952,-04:00,V5_ROLE_ONLY_EXPANSION,Q4704585,
False,COMPETITIVE,1979-07-05,True,"Saint-Germain-en-Laye, France",16:30,1979.0,V5_WAVE_A,True,False,female,48.899,2.094,Amelie Mauresmo,ameliemauresmo,False,,,WAVE2_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_CHECK_ALLOWED;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_ASTROLOGY,Amélie Mauresmo,AmélieMauresmo1979,+02:00,V5_ROSTER_WAVE_A_AVAILABLE_POOL,,
False,COMPETITIVE,1921-01-21,True,"Grainau, Germany",16:45,1921.0,V5_WIKIDATA_EXPANSION,True,False,male,47.475,11.024,Andreas Ostler,andreasostler,False,athlete,Q2066131,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,Andreas Ostler,AndreasOstler1921,+01:00,V5_ROLE_ONLY_EXPANSION,Q499846,
False,COMPETITIVE,1900-07-16,True,"Bordeaux, France",12:00,1900.0,V5_WIKIDATA_EXPANSION,True,False,male,44.835,-0.575,Andre Routis,andreroutis,False,boxer,Q11338576,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,André Routis,AndréRoutis1900,+00:09,V5_ROLE_ONLY_EXPANSION,Q2848579,
False,COMPETITIVE,1987-05-15,True,"Glasgow, United Kingdom",14:10,1987.0,V5_WAVE_A,True,False,male,55.866,-4.257,Andy Murray,andymurray,False,,,WAVE2_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_CHECK_ALLOWED;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_ASTROLOGY,Andy Murray,AndyMurray1987,+01:00,V5_ROSTER_WAVE_A_AVAILABLE_POOL,,
