axis,role_family,role_qid,wikidata_id,name,norm_name,wikidata_sitelinks,seed_origin,selection_information_used,source_row_key,source_name,gender,birth_date,birth_time,utc_offset,birth_year,birth_place,longitude,latitude,eligible,prior_used,birth_ok,wave,event_collection_started,astrology_scored
COMPETITIVE,boxer,Q11338576,Q376726,Adrien Anneet,adrienanneet,,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,AdrienAnneet1908,Adrien Anneet,male,1908-11-18,18:30,+00:00,1908,"Brussels, Belgium",4.356,50.846,True,False,True,V5_ROLE_ONLY_EXPANSION,False,False
COMPETITIVE,boxer,Q11338576,Q2639088,Albert Yvel,albertyvel,,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,AlbertYvel1927,Albert Yvel,male,1927-02-27,20:00,+00:00,1927,"Algiers, Algeria",3.052,36.772,True,False,True,V5_ROLE_ONLY_EXPANSION,False,False
COMPETITIVE,boxer,Q11338576,Q2466968,Alessandro D'Ottavio,alessandrodottavio,,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,AlessandroD'Ottavio1926,Alessandro D'Ottavio,male,1926-08-26,07:00,+01:00,1926,"Rome, Italy",12.494,41.891,True,False,True,V5_ROLE_ONLY_EXPANSION,False,False
COMPETITIVE,athlete,Q2066131,Q44980,Alex Ferguson,alexferguson,,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,AlexFerguson1941,Alex Ferguson,male,1941-12-31,16:30,+01:00,1941,"Glasgow, United Kingdom",-4.257,55.866,True,False,True,V5_ROLE_ONLY_EXPANSION,False,False
COMPETITIVE,tennis_player,Q10833314,Q734544,Alex Olmedo,alexolmedo,,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,AlexOlmedo1936,Alex Olmedo,male,1936-03-24,09:30,-05:00,1936,"Arequipa, Peru",-71.537,-16.399,True,False,True,V5_ROLE_ONLY_EXPANSION,False,False
COMPETITIVE,tennis_player,Q10833314,Q4704585,Al Parker,alparker,,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,AlParker1952,Al Parker,male,1952-06-25,15:13,-04:00,1952,"Natick, MA, United States",-71.347,42.284,True,False,True,V5_ROLE_ONLY_EXPANSION,False,False
COMPETITIVE,athlete,Q2066131,Q499846,Andreas Ostler,andreasostler,,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,AndreasOstler1921,Andreas Ostler,male,1921-01-21,16:45,+01:00,1921,"Grainau, Germany",11.024,47.475,True,False,True,V5_ROLE_ONLY_EXPANSION,False,False
COMPETITIVE,boxer,Q11338576,Q2848579,Andre Routis,andreroutis,,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,AndréRoutis1900,André Routis,male,1900-07-16,12:00,+00:09,1900,"Bordeaux, France",-0.575,44.835,True,False,True,V5_ROLE_ONLY_EXPANSION,False,False
COMPETITIVE,athlete,Q2066131,Q436450,Antonella Bellutti,antonellabellutti,,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,AntonellaBellutti1968,Antonella Bellutti,female,1968-11-07,22:00,+01:00,1968,"Bolzano, Italy",11.358,46.497,True,False,True,V5_ROLE_ONLY_EXPANSION,False,False
COMPETITIVE,athlete,Q2066131,Q57678,Armin Hary,arminhary,,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,ArminHary1937,Armin Hary,male,1937-03-22,10:00,+01:00,1937,"Quierschied, Germany",7.045,49.325,True,False,True,V5_ROLE_ONLY_EXPANSION,False,False
COMPETITIVE,tennis_player,Q10833314,Q299944,Arnaud Clément,arnaudclement,,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,ArnaudClément1977,Arnaud Clément,male,1977-12-17,13:15,+01:00,1977,"Aix-en-Provence, France",5.454,43.525,True,False,True,V5_ROLE_ONLY_EXPANSION,False,False
COMPETITIVE,boxer,Q11338576,Q4799274,Arthur Johnson,arthurjohnson,,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,ArthurJohnson1949,Arthur Johnson,male,1949-01-08,22:58,-05:00,1949,"Steubenville, OH, United States",-80.632,40.37,True,False,True,V5_ROLE_ONLY_EXPANSION,False,False
COMPETITIVE,tennis_player,Q10833314,Q53570,Barbara Jordan,barbarajordan,,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,BarbaraJordan1936,Barbara Jordan,female,1936-02-21,14:30,-06:00,1936,"Houston, TX, United States",-95.37,29.761,True,False,True,V5_ROLE_ONLY_EXPANSION,False,False
COMPETITIVE,tennis_player,Q10833314,Q246542,Benoît Paire,benoitpaire,,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,BenoîtPaire1989,Benoît Paire,male,1989-05-08,21:05,+02:00,1989,"Avignon, France",4.806,43.949,True,False,True,V5_ROLE_ONLY_EXPANSION,False,False
COMPETITIVE,athlete,Q2066131,Q109255,Bernard Hinault,bernardhinault,,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,BernardHinault1954,Bernard Hinault,male,1954-11-14,08:15,+01:00,1954,"Yffiniac, France",-2.676,48.484,True,False,True,V5_ROLE_ONLY_EXPANSION,False,False
COMPETITIVE,athlete,Q2066131,Q367064,Bernard Thévenet,bernardthevenet,,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,BernardThévenet1948,Bernard Thévenet,male,1948-01-10,12:00,+01:00,1948,"Saint-Julien-de-Civry, France",4.231,46.366,True,False,True,V5_ROLE_ONLY_EXPANSION,False,False
COMPETITIVE,athlete,Q2066131,Q2899711,Bertrand de Broc,bertranddebroc,,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,BertranddeBroc1960,Bertrand de Broc,male,1960-09-23,13:45,+01:00,1960,"Quimper, France",-4.1,47.996,True,False,True,V5_ROLE_ONLY_EXPANSION,False,False
COMPETITIVE,tennis_player,Q10833314,Q3640511,Bitti Bergamo,bittibergamo,,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,BittiBergamo1930,Bitti Bergamo,male,1930-01-01,03:45,+01:00,1930,"Venice, Italy",12.339,45.435,True,False,True,V5_ROLE_ONLY_EXPANSION,False,False
COMPETITIVE,athlete,Q2066131,Q437526,Bobby Jones,bobbyjones,,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,BobbyJones1951,Bobby Jones,male,1951-12-18,04:15,-05:00,1951,"Akron, OH, United States",-81.516,41.085,True,False,True,V5_ROLE_ONLY_EXPANSION,False,False
COMPETITIVE,tennis_player,Q10833314,Q54539,Bobby Riggs,bobbyriggs,,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,BobbyRiggs1918,Bobby Riggs,male,1918-02-25,01:00,-08:00,1918,"Los Angeles, CA, United States",-118.243,34.052,True,False,True,V5_ROLE_ONLY_EXPANSION,False,False
COMPETITIVE,athlete,Q2066131,Q4952446,Boyer Coe,boyercoe,,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,BoyerCoe1946,Boyer Coe,male,1946-08-18,21:35,-05:00,1946,"Lake Charles, LA, United States",-93.217,30.229,True,False,True,V5_ROLE_ONLY_EXPANSION,False,False
COMPETITIVE,athlete,Q2066131,Q1762270,Brian J. White,brianjwhite,,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,BrianJ.White1973,Brian J. White,male,1973-04-21,20:59,-05:00,1973,"Boston, MA, United States",-71.059,42.359,True,False,True,V5_ROLE_ONLY_EXPANSION,False,False
COMPETITIVE,boxer,Q11338576,Q729084,Bruno Arcari,brunoarcari,,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,BrunoArcari1942,Bruno Arcari,male,1942-01-01,10:00,+02:00,1942,"Atina, Italy",13.801,41.621,True,False,True,V5_ROLE_ONLY_EXPANSION,False,False
COMPETITIVE,athlete,Q2066131,Q3645856,Bruno Neri,brunoneri,,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,BrunoNeri1910,Bruno Neri,male,1910-09-12,20:35,+01:00,1910,"Faenza, Italy",11.883,44.285,True,False,True,V5_ROLE_ONLY_EXPANSION,False,False
COMPETITIVE,boxer,Q11338576,Q330364,Bruno Visintin,brunovisintin,,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,BrunoVisintin1932,Bruno Visintin,male,1932-11-23,16:00,+01:00,1932,"La Spezia, Italy",9.829,44.107,True,False,True,V5_ROLE_ONLY_EXPANSION,False,False
COMPETITIVE,boxer,Q11338576,Q2927516,Buddy Baer,buddybaer,,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,BuddyBaer1915,Buddy Baer,male,1915-06-11,05:30,-07:00,1915,"Denver, CO, United States",-104.985,39.738,True,False,True,V5_ROLE_ONLY_EXPANSION,False,False
COMPETITIVE,tennis_player,Q10833314,Q162487,Cédric Pioline,cedricpioline,,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,CedricPioline1969,Cedric Pioline,male,1969-06-15,18:00,+01:00,1969,"Neuilly-sur-Seine, France",2.273,48.884,True,False,True,V5_ROLE_ONLY_EXPANSION,False,False
