subject_id,name,source_name,gender,preassigned_axis,birth_date,birth_time,utc_offset,birth_place,latitude,longitude,rodden_rating,source_row_key,birth_source,candidate_source,role_family,role_qid,wikidata_id,wikidata_sitelinks,seed_origin,selection_information_used,event_collection_started,astrology_scored,split,final_det_key,audit_scope,wd_label,wd_description,wd_dob_values,wd_dob_precisions,wd_birth_places,wd_gender_qids,birth_place_match,gender_match,linkage_status
V5CONFIRM_001,Tracy Austin,Tracy Austin,female,COMPETITIVE,1962-12-12,06:18,-08:00,"Redondo Beach, CA, United States",33.845,-118.387,AA,TracyAustin1962,Frozen VedAstro PersonList-15k snapshot,V5_WAVE_A,,,,,WAVE2_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_CHECK_ALLOWED;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_ASTROLOGY,False,False,CONFIRM,02e0e33ae718ec558a2226448aff3db1e3f34afc85475836e0bd25c80e8bf35d,CONFIRM,,,,,,,,,PASS_LEGACY_WAVE_A
V5CONFIRM_002,Barbara Jordan,Barbara Jordan,female,COMPETITIVE,1936-02-21,14:30,-06:00,"Houston, TX, United States",29.761,-95.37,AA,BarbaraJordan1936,Frozen VedAstro PersonList-15k snapshot,V5_WIKIDATA_EXPANSION,tennis_player,Q10833314,Q53570,,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,False,False,CONFIRM,064e67f2b0c32e507d3e40a47aa669459d13cb7b727d9abdbb8bfca192bb5039,CONFIRM,Barbara Jordan,US American tennis player,1957-04-02,11,Milwaukee,Q6581072,False,True,LIKELY_IDENTITY_MISMATCH
V5CONFIRM_003,Pauline Betz,Pauline Betz,female,COMPETITIVE,1919-08-06,02:50,-04:00,"Dayton, OH, United States",39.761,-84.192,AA,PaulineBetz1919,Frozen VedAstro PersonList-15k snapshot,V5_WIKIDATA_EXPANSION,tennis_player,Q10833314,Q53331,,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,False,False,CONFIRM,1240b119ec165569783833ebb8b1cc2baeb409d7cfb140c3914db52c7c8fd462,CONFIRM,Pauline Betz,American tennis player (1919–2011),1919-08-06,11,Dayton,Q6581072,True,True,PASS_EXACT_DOB
V5CONFIRM_004,Doris Hart,Doris Hart,female,COMPETITIVE,1925-06-20,07:00,-05:00,"Saint Louis, MO, United States",38.635,-90.201,AA,DorisHart1925,Frozen VedAstro PersonList-15k snapshot,V5_WIKIDATA_EXPANSION,tennis_player,Q10833314,Q53564,,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,False,False,CONFIRM,18111e72b1624428dc416f58e675abe0f67618fde12122b950fa43481b365371,CONFIRM,Doris Hart,American tennis player (1925–2015),1925-06-20,11,St. Louis,Q6581072,False,True,PASS_EXACT_DOB
V5CONFIRM_005,Fabrice Tiozzo,Fabrice Tiozzo,male,COMPETITIVE,1969-05-08,08:30,+01:00,"Saint-Denis, France",48.936,2.365,AA,FabriceTiozzo1969,Frozen VedAstro PersonList-15k snapshot,V5_WIKIDATA_EXPANSION,boxer,Q11338576,Q717369,,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,False,False,CONFIRM,0081994afe33f2a2ad4bdb44c57364f51caddfd8085d283fe278bd023d6603d7,CONFIRM,Fabrice Tiozzo,French boxer,1969-05-08,11,Saint-Denis,Q6581097,True,True,PASS_EXACT_DOB
V5CONFIRM_006,Marcel Cerdan,Marcel Cerdan,male,COMPETITIVE,1916-07-22,21:00,+01:00,"Sidi Bel Abbes, Algeria",35.191,-0.635,AA,MarcelCerdan1916,Frozen VedAstro PersonList-15k snapshot,V5_WIKIDATA_EXPANSION,boxer,Q11338576,Q347201,,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,False,False,CONFIRM,0285d04557cc9eb84b93297085203cb688f024b66c7ac1e563a872b1ce909e5f,CONFIRM,Marcel Cerdan,French boxer (1916-1949),1916-07-22,11,Sidi Bel Abbès,Q6581097,True,True,PASS_EXACT_DOB
V5CONFIRM_007,Jamie Murray,Jamie Murray,male,COMPETITIVE,1986-02-13,02:01,+00:00,"Glasgow, United Kingdom",55.866,-4.257,AA,JamieMurray1986,Frozen VedAstro PersonList-15k snapshot,V5_WIKIDATA_EXPANSION,tennis_player,Q10833314,Q317820,,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,False,False,CONFIRM,0294218da9cc7db46ab286157de7e7933d0f4e86d25929c5ba7a44efa724493d,CONFIRM,Jamie Murray,British tennis player (born 1986),1986-02-13,11,Dunblane,Q6581097,False,True,PASS_EXACT_DOB
V5CONFIRM_008,Zora Folley,Zora Folley,male,COMPETITIVE,1931-05-27,22:53,-05:00,"Dallas, TX, United States",32.778,-96.796,AA,ZoraFolley1931,Frozen VedAstro PersonList-15k snapshot,V5_WIKIDATA_EXPANSION,boxer,Q11338576,Q220464,,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,False,False,CONFIRM,05285f65ba7a2f92358282e6adf5dbf8e42a9a883372569bc5b19793f1e87a6f,CONFIRM,Zora Folley,American boxer (1931–1972),1932-05-27,11,Dallas,Q6581097,True,True,REVIEW_DOB_DISCREPANCY_SAME_PLACE
V5CONFIRM_009,Hans Günter Winkler,Hans Günter Winkler,male,COMPETITIVE,1926-07-24,04:30,+01:00,"Wuppertal, Germany",51.256,7.151,AA,HansGünterWinkler1926,Frozen VedAstro PersonList-15k snapshot,V5_WIKIDATA_EXPANSION,athlete,Q2066131,Q62177,,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,False,False,CONFIRM,075c9366f2bd7c8f233f51101577b0c9533fb8e8e7c38c5775e578182fd5cf97,CONFIRM,Hans Günter Winkler,German equestrian (1926–2018),1926-07-24,11,Barmen,Q6581097,False,True,PASS_EXACT_DOB
V5CONFIRM_010,Rubin Carter,Rubin Carter,male,COMPETITIVE,1937-05-06,11:45,-04:00,"William Paterson University of New Jersey, NJ, United States",40.948,-74.199,AA,RubinCarter1937,Frozen VedAstro PersonList-15k snapshot,V5_WIKIDATA_EXPANSION,boxer,Q11338576,Q452772,,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,False,False,CONFIRM,08eb57fbe9d1cd7d82ddf4054584dec3913724e1e14349aade7692f9a76571ec,CONFIRM,Rubin Carter,American boxer (1937–2014),1937-05-06,11,Clifton,Q6581097,False,True,PASS_EXACT_DOB
