subject_id,split,axis,old_name,old_birth_date,old_birth_place,old_wikidata_id,old_linkage_status,new_name,new_birth_date,new_birth_place,new_wikidata_id,new_linkage_status,replacement_key
V5CONFIRM_001,CONFIRM,COMPETITIVE,Tracy Austin,1962-12-12,"Redondo Beach, CA, United States",,PASS_LEGACY_WAVE_A,Dean Karnazes,1962-08-23,"Inglewood, CA, United States",Q331288,PASS_EXACT_DOB,1bb56f198edf78c1b016837172c8fae209aa5b660ae00ab759af6203b4ee318b
V5CONFIRM_002,CONFIRM,COMPETITIVE,Barbara Jordan,1936-02-21,"Houston, TX, United States",Q53570,LIKELY_IDENTITY_MISMATCH,Bertrand de Broc,1960-09-23,"Quimper, France",Q2899711,PASS_EXACT_DOB,1bc650668f9e9871a36075c5437f053cdd993188305a11342b9beeba40fd9b85
V5CONFIRM_008,CONFIRM,COMPETITIVE,Zora Folley,1931-05-27,"Dallas, TX, United States",Q220464,REVIEW_DOB_DISCREPANCY_SAME_PLACE,Jean Sneyers,1927-08-11,"Mulhouse, France",Q1685826,PASS_EXACT_DOB,1c0ef3d48d28990789f3addca15e15ff65c888c87dfd96d720039389b57a419f
V5CONFIRM_015,CONFIRM,COMPETITIVE,Brian J. White,1973-04-21,"Boston, MA, United States",Q1762270,REVIEW_DOB_DISCREPANCY_SAME_PLACE,Giovanni Zuddas,1928-03-01,"Cagliari, Italy",Q2467009,PASS_EXACT_DOB,1d2b0f8ca8d6249438faee6ed6ae2ce4256e48e671eb7608fbd2459cb95fac37
V5CONFIRM_016,CONFIRM,COMPETITIVE,Boomer Esiason,1961-04-17,"West Islip, NY, United States",,PASS_LEGACY_WAVE_A,Boyer Coe,1946-08-18,"Lake Charles, LA, United States",Q4952446,PASS_EXACT_DOB,1fff1e41e11149749b79c9f53a95cdc20bb3edcc59f6e65f73b1264e3ecd3b69
V5CONFIRM_017,CONFIRM,COMPETITIVE,Patrick Vieira,1976-06-23,"Dakar, Dakar, Senegal",,PASS_LEGACY_WAVE_A,Pierre Montané,1919-12-01,"Toulouse, France",Q3386326,PASS_EXACT_DOB,20cb5040641411c178278032d387cfd5ef7b123f905930d2a9720ca3a2153d01
V5CONFIRM_031,CONFIRM,PROJECT,Gregory Peck,1916-04-05,"La Jolla, CA, United States",,PASS_LEGACY_WAVE_A,Bertrand Tavernier,1941-04-25,"Lyon, France",Q337226,PASS_EXACT_DOB,02ba1304b47056e7913bf7f9d96b15c0661d574f487d67cab44eeb2bf6aa8e4d
V5CONFIRM_032,CONFIRM,PROJECT,Wayne Marshall,1976-05-27,"Waltham, MA, United States",Q348230,LIKELY_IDENTITY_MISMATCH,Candice Bergen,1946-05-09,"Los Angeles, CA, United States",Q106942,PASS_EXACT_DOB,02dde7f81d3507c5466a4cca6796f6345a13891211d8086cf18ed8cfddb2bf15
V5CONFIRM_041,CONFIRM,PROJECT,Orson Welles,1915-05-06,"Kenosha, WI, United States",,PASS_LEGACY_WAVE_A,"Desi Arnaz, Jr.",1953-01-19,"Los Angeles, CA, United States",Q324882,PASS_EXACT_DOB,02f4f80cdc10750448e29459307b23c7519e766b73fc2ef8dd7e18f8b7af0984
V5CONFIRM_054,CONFIRM,STATUS,Charles Wilson,1909-05-16,"Glasgow, United Kingdom",Q1066474,REVIEW_MISSING_OR_LOW_PRECISION_DOB,Adolf Butenandt,1903-03-24,"Bremerhaven, Germany",Q5327,PASS_EXACT_DOB,49b4bdd2acf2d5a0d651969c8f6f3b87b3b61d21f5d6a54ae15911bf3b973372
V5CONFIRM_055,CONFIRM,STATUS,Umberto Agnelli,1934-10-30,"Lausanne, Switzerland",Q967846,REVIEW_DOB_DISCREPANCY_SAME_PLACE,Pierre Cardin,1922-07-02,"San Biagio di Callalta, Italia",Q299211,PASS_EXACT_DOB,4b6ca5b4b992fdf28de5e2a8dc744c7c27f8471ab80c9ff819235914702ccf80
V5CONFIRM_060,CONFIRM,STATUS,Walter Dirks,1901-08-01,"Dortmund, Germany",Q95445,REVIEW_DOB_DISCREPANCY_SAME_PLACE,Xavier Niel,1967-08-25,"Maisons-Alfort, France",Q1450891,PASS_EXACT_DOB,5d4338b95bd656e612e0845b7212f4103308eec923b1df70610b1104714a579b
V5CONFIRM_063,CONFIRM,STATUS,Jack Welch,1935-11-19,"Peabody, MA, United States",,PASS_LEGACY_WAVE_A,Klaus Wowereit,1953-10-01,"Berlin, Germany",Q8863,PASS_EXACT_DOB,5e521c7f835b61134f3576e37979e244c4ee8476df675402e12b96eeef361870
V5CONFIRM_066,CONFIRM,STATUS,Fritz Fischer,1908-03-05,"Ludwigsstadt, Germany",Q61533,LIKELY_IDENTITY_MISMATCH,Jimmy Dean,1928-08-10,"Olton, TX, United States",Q1689346,PASS_EXACT_DOB,64acd7b692f288bac9d64eb308504b0c46c2b59365c772f42c78820466622f77
V5CONFIRM_070,CONFIRM,STATUS,Guy,1974-02-08,"Neuilly-sur-Seine, France",Q28531,REVIEW_MISSING_OR_LOW_PRECISION_DOB,Demos Shakarian,1913-07-21,"Los Angeles, CA, United States",Q1186569,PASS_EXACT_DOB,6525d49a98b30844b3d6f2eb0409b142410787be74cb2101d2317222a5626e85
V5CONFIRM_077,CONFIRM,STATUS,Michel Rocard,1930-08-23,"Courbevoie, France",,PASS_LEGACY_WAVE_A,Mariano Rajoy,1955-03-27,"Santiago de Compostela, Spain",Q10819,PASS_EXACT_DOB,69110d4a7f3ccd627e69af640c8495afc005a5730b4acbfbf56951c88786086a
