axis,seed_rank,name,seed_origin,selection_information_used,norm_name,source_row_key,source_name,gender,birth_date,birth_time,utc_offset,birth_year,birth_place,longitude,latitude,prior_used,birth_ok,eligible,wave,event_collection_started,astrology_scored
COMPETITIVE,3,Arthur Ashe,WAVE2_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_CHECK_ALLOWED;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_ASTROLOGY,arthurashe,ArthurAshe1943,Arthur Ashe,male,1943-07-10,12:55,-04:00,1943.0,"Richmond, VA, United States",-77.434,37.541,False,True,True,V5_ROSTER_WAVE_A_AVAILABLE_POOL,False,False
COMPETITIVE,5,Boris Becker,WAVE2_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_CHECK_ALLOWED;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_ASTROLOGY,borisbecker,BorisBecker1967,Boris Becker,male,1967-11-22,08:45,+01:00,1967.0,"Leimen, Germany",8.689,49.349,False,True,True,V5_ROSTER_WAVE_A_AVAILABLE_POOL,False,False
COMPETITIVE,10,Andy Murray,WAVE2_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_CHECK_ALLOWED;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_ASTROLOGY,andymurray,AndyMurray1987,Andy Murray,male,1987-05-15,14:10,+01:00,1987.0,"Glasgow, United Kingdom",-4.257,55.866,False,True,True,V5_ROSTER_WAVE_A_AVAILABLE_POOL,False,False
COMPETITIVE,21,Michael Chang,WAVE2_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_CHECK_ALLOWED;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_ASTROLOGY,michaelchang,MichaelChang1972,Michael Chang,male,1972-02-22,13:30,-05:00,1972.0,"Hoboken, GA, United States",-82.135,31.181,False,True,True,V5_ROSTER_WAVE_A_AVAILABLE_POOL,False,False
COMPETITIVE,24,Amelie Mauresmo,WAVE2_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_CHECK_ALLOWED;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_ASTROLOGY,ameliemauresmo,AmélieMauresmo1979,Amélie Mauresmo,female,1979-07-05,16:30,+02:00,1979.0,"Saint-Germain-en-Laye, France",2.094,48.899,False,True,True,V5_ROSTER_WAVE_A_AVAILABLE_POOL,False,False
COMPETITIVE,25,Justine Henin,WAVE2_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_CHECK_ALLOWED;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_ASTROLOGY,justinehenin,JustineHenin1982,Justine Henin,female,1982-06-01,16:20,+02:00,1982.0,"Liège, Belgium",5.572,50.644,False,True,True,V5_ROSTER_WAVE_A_AVAILABLE_POOL,False,False
COMPETITIVE,28,Tracy Austin,WAVE2_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_CHECK_ALLOWED;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_ASTROLOGY,tracyaustin,TracyAustin1962,Tracy Austin,female,1962-12-12,06:18,-08:00,1962.0,"Redondo Beach, CA, United States",-118.387,33.845,False,True,True,V5_ROSTER_WAVE_A_AVAILABLE_POOL,False,False
COMPETITIVE,34,Julius Erving,WAVE2_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_CHECK_ALLOWED;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_ASTROLOGY,juliuserving,JuliusErving1950,Julius Erving,male,1950-02-22,20:51,-05:00,1950.0,"New Hempstead, NY, United States",-74.055,41.143,False,True,True,V5_ROSTER_WAVE_A_AVAILABLE_POOL,False,False
COMPETITIVE,40,Reggie Miller,WAVE2_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_CHECK_ALLOWED;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_ASTROLOGY,reggiemiller,ReggieMiller1965,Reggie Miller,male,1965-08-24,16:39,-07:00,1965.0,"Riverside, CA, United States",-117.377,33.981,False,True,True,V5_ROSTER_WAVE_A_AVAILABLE_POOL,False,False
COMPETITIVE,49,Gary Payton,WAVE2_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_CHECK_ALLOWED;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_ASTROLOGY,garypayton,GaryPayton1968,Gary Payton,male,1968-07-23,00:52,-07:00,1968.0,"Oakland, CA, United States",-122.272,37.805,False,True,True,V5_ROSTER_WAVE_A_AVAILABLE_POOL,False,False
COMPETITIVE,60,Bart Starr,WAVE2_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_CHECK_ALLOWED;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_ASTROLOGY,bartstarr,BartStarr1934,Bart Starr,male,1934-01-09,15:00,-06:00,1934.0,"Montgomery, AL, United States",-86.3,32.377,False,True,True,V5_ROSTER_WAVE_A_AVAILABLE_POOL,False,False
COMPETITIVE,63,O. J. Simpson,WAVE2_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_CHECK_ALLOWED;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_ASTROLOGY,ojsimpson,O.J.Simpson1947,O. J. Simpson,male,1947-07-09,08:08,-08:00,1947.0,"San Francisco, CA, United States",-122.42,37.78,False,True,True,V5_ROSTER_WAVE_A_AVAILABLE_POOL,False,False
COMPETITIVE,68,Warren Moon,WAVE2_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_CHECK_ALLOWED;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_ASTROLOGY,warrenmoon,WarrenMoon1956,Warren Moon,male,1956-11-18,03:22,-08:00,1956.0,"Los Angeles, CA, United States",-118.243,34.052,False,True,True,V5_ROSTER_WAVE_A_AVAILABLE_POOL,False,False
COMPETITIVE,77,Yogi Berra,WAVE2_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_CHECK_ALLOWED;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_ASTROLOGY,yogiberra,YogiBerra1925,Yogi Berra,male,1925-05-12,02:00,-05:00,1925.0,"Saint Louis, MO, United States",-90.201,38.635,False,True,True,V5_ROSTER_WAVE_A_AVAILABLE_POOL,False,False
COMPETITIVE,85,Greg Maddux,WAVE2_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_CHECK_ALLOWED;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_ASTROLOGY,gregmaddux,GregMaddux1966,Greg Maddux,male,1966-04-14,18:15,-06:00,1966.0,"San Angelo, TX, United States",-100.437,31.464,False,True,True,V5_ROSTER_WAVE_A_AVAILABLE_POOL,False,False
COMPETITIVE,96,Franz Beckenbauer,WAVE2_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_CHECK_ALLOWED;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_ASTROLOGY,franzbeckenbauer,FranzBeckenbauer1945,Franz Beckenbauer,male,1945-09-11,23:45,+03:00,1945.0,"Munich, Germany",11.58,48.139,False,True,True,V5_ROSTER_WAVE_A_AVAILABLE_POOL,False,False
COMPETITIVE,97,Johan Cruyff,WAVE2_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_CHECK_ALLOWED;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_ASTROLOGY,johancruyff,JohanCruyff1947,Johan Cruyff,male,1947-04-25,13:10,+01:00,1947.0,"Amsterdam, Netherlands",4.891,52.373,False,True,True,V5_ROSTER_WAVE_A_AVAILABLE_POOL,False,False
COMPETITIVE,98,Michel Platini,WAVE2_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_CHECK_ALLOWED;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_ASTROLOGY,michelplatini,MichelPlatini1955,Michel Platini,male,1955-06-21,09:00,+01:00,1955.0,"Jœuf, France",6.01,49.227,False,True,True,V5_ROSTER_WAVE_A_AVAILABLE_POOL,False,False
COMPETITIVE,101,Paolo Maldini,WAVE2_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_CHECK_ALLOWED;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_ASTROLOGY,paolomaldini,PaoloMaldini1968,Paolo Maldini,male,1968-06-26,21:35,+02:00,1968.0,"Milan, Italy",9.188,45.464,False,True,True,V5_ROSTER_WAVE_A_AVAILABLE_POOL,False,False
COMPETITIVE,103,Gianluigi Buffon,WAVE2_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_CHECK_ALLOWED;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_ASTROLOGY,gianluigibuffon,GianluigiBuffon1978,Gianluigi Buffon,male,1978-01-28,08:30,+01:00,1978.0,"Carrara, Italy",10.101,44.079,False,True,True,V5_ROSTER_WAVE_A_AVAILABLE_POOL,False,False
COMPETITIVE,116,Kenny Dalglish,WAVE2_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_CHECK_ALLOWED;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_ASTROLOGY,kennydalglish,KennyDalglish1951,Kenny Dalglish,male,1951-03-04,09:30,+00:00,1951.0,"Glasgow, United Kingdom",-4.257,55.866,False,True,True,V5_ROSTER_WAVE_A_AVAILABLE_POOL,False,False
COMPETITIVE,119,Eric Cantona,WAVE2_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_CHECK_ALLOWED;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_ASTROLOGY,ericcantona,EricCantona1966,Eric Cantona,male,1966-05-24,00:30,+01:00,1966.0,"Marseille, France",5.374,43.295,False,True,True,V5_ROSTER_WAVE_A_AVAILABLE_POOL,False,False
COMPETITIVE,122,Muhammad Ali,WAVE2_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_CHECK_ALLOWED;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_ASTROLOGY,muhammadali,MuhammadAli1942,Muhammad Ali,male,1942-01-17,18:35,-05:00,1942.0,"Louisville-Jefferson County, KY, United States",-85.654,38.199,False,True,True,V5_ROSTER_WAVE_A_AVAILABLE_POOL,False,False
COMPETITIVE,146,Lee Trevino,WAVE2_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_CHECK_ALLOWED;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_ASTROLOGY,leetrevino,LeeTrevino1939,Lee Trevino,male,1939-12-01,16:35,-06:00,1939.0,"Dallas, TX, United States",-96.796,32.778,False,True,True,V5_ROSTER_WAVE_A_AVAILABLE_POOL,False,False
COMPETITIVE,161,Edwin Moses,WAVE2_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_CHECK_ALLOWED;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_ASTROLOGY,edwinmoses,EdwinMoses1955,Edwin Moses,male,1955-08-31,19:58,-04:00,1955.0,"Dayton, OH, United States",-84.192,39.761,False,True,True,V5_ROSTER_WAVE_A_AVAILABLE_POOL,False,False
COMPETITIVE,164,Marion Jones,WAVE2_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_CHECK_ALLOWED;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_ASTROLOGY,marionjones,MarionJones1975,Marion Jones,female,1975-10-12,08:01,-07:00,1975.0,"Los Angeles, CA, United States",-118.243,34.052,False,True,True,V5_ROSTER_WAVE_A_AVAILABLE_POOL,False,False
COMPETITIVE,170,Bruce Jenner,WAVE2_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_CHECK_ALLOWED;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_ASTROLOGY,brucejenner,BruceJenner1949,Bruce Jenner,male,1949-10-28,06:16,-05:00,1949.0,"Mount Kisco, NY, United States",-73.727,41.208,False,True,True,V5_ROSTER_WAVE_A_AVAILABLE_POOL,False,False
COMPETITIVE,178,Michelle Kwan,WAVE2_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_CHECK_ALLOWED;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_ASTROLOGY,michellekwan,MichelleKwan1980,Michelle Kwan,female,1980-07-07,10:05,-07:00,1980.0,"Los Angeles, CA, United States",-118.243,34.052,False,True,True,V5_ROSTER_WAVE_A_AVAILABLE_POOL,False,False
COMPETITIVE,179,Kristi Yamaguchi,WAVE2_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_CHECK_ALLOWED;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_ASTROLOGY,kristiyamaguchi,KristiYamaguchi1971,Kristi Yamaguchi,female,1971-07-12,09:02,-07:00,1971.0,"Hayward, CA, United States",-122.084,37.672,False,True,True,V5_ROSTER_WAVE_A_AVAILABLE_POOL,False,False
COMPETITIVE,180,Dorothy Hamill,WAVE2_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_CHECK_ALLOWED;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_ASTROLOGY,dorothyhamill,DorothyHamill1956,Dorothy Hamill,female,1956-07-26,21:18,-05:00,1956.0,"Chicago, IL, United States",-87.632,41.883,False,True,True,V5_ROSTER_WAVE_A_AVAILABLE_POOL,False,False
COMPETITIVE,185,Patrick Roy,WAVE2_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_CHECK_ALLOWED;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_ASTROLOGY,patrickroy,PatrickRoy1965,Patrick Roy,male,1965-10-05,11:07,-04:00,1965.0,"Québec QC, Canada",-71.207,46.814,False,True,True,V5_ROSTER_WAVE_A_AVAILABLE_POOL,False,False
COMPETITIVE,193,Pancho Gonzales,WAVE2_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_CHECK_ALLOWED;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_ASTROLOGY,panchogonzales,PanchoGonzales1928,Pancho Gonzales,male,1928-05-09,04:45,-08:00,1928.0,"Los Angeles, CA, United States",-118.243,34.052,False,True,True,V5_ROSTER_WAVE_A_AVAILABLE_POOL,False,False
