event_row_id,batch_id,subject_id,name,preassigned_axis,event_year,polarity,event_type,event_description,original_source_url,manual_verification_status,event_fact_verified,polarity_mechanism_supported,event_correction_required,verified_source_url,verification_secondary_url,source_grade,verification_note,verification_protocol,verified_at_date
d3dd7e3fbe5f2e4742c6,1,V5DEV_024,Domenico Adinolfi,COMPETITIVE,1976,negative,continental_title_loss,Lost the EBU European light-heavyweight title to Mate Parlov by TKO.,https://www.emilianoadinolfi.it/pugilato-adinolfi-domenico/,VERIFIED_ORIGINAL,True,True,False,https://www.emilianoadinolfi.it/pugilato-adinolfi-domenico/,,REPUTABLE_REFERENCE_OR_ORIGINAL,"Independent manual web verification confirmed the subject, event year, event fact, and the coded direction. The original source or its indexed/manual representation supports the row; no event-field correction is required.",V5_MANUAL_SOURCE_BACKFILL_V1,2026-08-17
f287b025ab671e56f800,1,V5DEV_066,Gaston Rébuffat,PROJECT,1955,positive,film_award,The mountain film Étoiles et Tempêtes won the Grand Prix at the Trento festival.,https://www.lemonde.fr/archives/article/1956/11/02/etoiles-et-tempetes_2249277_1819218.html,VERIFIED_ALTERNATE,True,True,False,https://trentofestival.it/en/archives/1955/etoiles-et-tempetes/,https://trentofestival.it/en/archives/1955/,PRIMARY_OR_OFFICIAL,Original newspaper URL was not machine-traceable. Trento Film Festival's official 1955 archive identifies Gaston Rebuffat's ETOILES ET TEMPETES and the TROFEO GRAN PREMIO CITTA DI TRENTO.,V5_MANUAL_SOURCE_BACKFILL_V1,2026-08-17
39ec08c7fc65c943e553,1,V5DEV_013,David Goffin,COMPETITIVE,2014,positive,tour_title_win,Won ATP singles titles in Kitzbühel and Metz during his comeback season.,https://www.atptour.com/en/scores/results-archive?year=2014,VERIFIED_ORIGINAL,True,True,False,https://www.atptour.com/en/scores/results-archive?year=2014,,PRIMARY_OR_OFFICIAL,"Independent manual web verification confirmed the subject, event year, event fact, and the coded direction. The original source or its indexed/manual representation supports the row; no event-field correction is required.",V5_MANUAL_SOURCE_BACKFILL_V1,2026-08-17
0ff328707e84fb6f6663,1,V5DEV_013,David Goffin,COMPETITIVE,2022,positive,tour_title_win,Won his sixth ATP Tour singles title in Marrakech.,https://www.atptour.com/en/players/david_goffin/gb88/bio,VERIFIED_ORIGINAL,True,True,False,https://www.atptour.com/en/players/david_goffin/gb88/bio,,PRIMARY_OR_OFFICIAL,"Independent manual web verification confirmed the subject, event year, event fact, and the coded direction. The original source or its indexed/manual representation supports the row; no event-field correction is required.",V5_MANUAL_SOURCE_BACKFILL_V1,2026-08-17
4b64dabd630c8a179734,1,V5DEV_085,Roschdy Zem,PROJECT,2006,positive,film_award,Won the Cannes Best Actor award with the ensemble of Days of Glory (Indigènes).,https://www.festival-cannes.com/en/p/roschdy-zem/,VERIFIED_ORIGINAL,True,True,False,https://www.festival-cannes.com/en/p/roschdy-zem/,,PRIMARY_OR_OFFICIAL,"Independent manual web verification confirmed the subject, event year, event fact, and the coded direction. The original source or its indexed/manual representation supports the row; no event-field correction is required.",V5_MANUAL_SOURCE_BACKFILL_V1,2026-08-17
9d69b2278d711d5d1a5f,1,V5DEV_135,Herbert Wehner,STATUS,1966,positive,ministerial_accession,Entered the federal government as Minister for All-German Affairs in the Grand Coalition.,https://www.bundestag.de/dokumente/textarchiv/alterspraesidenten-07-herbert-wehner-213730,VERIFIED_ORIGINAL,True,True,False,https://www.bundestag.de/dokumente/textarchiv/alterspraesidenten-07-herbert-wehner-213730,,PRIMARY_OR_OFFICIAL,"Independent manual web verification confirmed the subject, event year, event fact, and the coded direction. The original source or its indexed/manual representation supports the row; no event-field correction is required.",V5_MANUAL_SOURCE_BACKFILL_V1,2026-08-17
d2d7a36e871e61a37138,2,V5DEV_098,Donatella Versace,STATUS,1997,positive,creative_leadership_accession,"Assumed leadership of Versace's creative vision after Gianni Versace's death, later serving as chief creative officer.",https://www.capriholdings.com/news/news-details/2025/Donatella-Versace-Assumes-Role-of-Chief-Brand-Ambassador-of-Versace/default.aspx,VERIFIED_ORIGINAL,True,True,False,https://www.capriholdings.com/news/news-details/2025/Donatella-Versace-Assumes-Role-of-Chief-Brand-Ambassador-of-Versace/default.aspx,,PRIMARY_OR_OFFICIAL,"Independent manual web verification confirmed the subject, event year, event fact, and the coded direction. The original source or its indexed/manual representation supports the row; no event-field correction is required.",V5_MANUAL_SOURCE_BACKFILL_V1,2026-08-17
7f4439a22bc66ee0edbb,2,V5DEV_098,Donatella Versace,STATUS,2025,negative,creative_authority_stepdown,Stepped down from chief creative officer and moved to chief brand ambassador as Dario Vitale took the creative leadership role.,https://www.capriholdings.com/news/news-details/2025/Donatella-Versace-Assumes-Role-of-Chief-Brand-Ambassador-of-Versace/default.aspx,VERIFIED_ORIGINAL,True,True,False,https://www.capriholdings.com/news/news-details/2025/Donatella-Versace-Assumes-Role-of-Chief-Brand-Ambassador-of-Versace/default.aspx,,PRIMARY_OR_OFFICIAL,"Independent manual web verification confirmed the subject, event year, event fact, and the coded direction. The original source or its indexed/manual representation supports the row; no event-field correction is required.",V5_MANUAL_SOURCE_BACKFILL_V1,2026-08-17
fb137fb460249b7f1743,2,V5DEV_101,Queen Latifah,STATUS,1995,positive,company_founder_leadership,Co-founded Flavor Unit Entertainment with Shakim Compere; contemporaneous coverage also identified her as a CEO of the Flavor Unit business.,https://www.paramountpressexpress.com/cbs-entertainment/talent/?view=queen-latifah,VERIFIED_ALTERNATE,True,True,False,https://www.washingtonpost.com/archive/lifestyle/style/1995/06/04/the-business-of-rap-is-business/765b514a-c22b-4df8-be55-975c41367d87/,,REPUTABLE_NEWS,"Contemporaneous 1995 Washington Post profile states that Queen Latifah launched the management company/record label, calls her a CEO, and identifies Sha-Kim as her partner/COO.",V5_MANUAL_SOURCE_BACKFILL_V1,2026-08-17
a7a095a89d2b748062f2,2,V5DEV_064,Gus Van Sant,PROJECT,2003,positive,film_festival_award,'Elephant' won both the Palme d'Or and Best Director award at Cannes.,https://www.festival-cannes.com/en/f/elephant/,VERIFIED_ORIGINAL,True,True,False,https://www.festival-cannes.com/en/f/elephant/,,PRIMARY_OR_OFFICIAL,"Independent manual web verification confirmed the subject, event year, event fact, and the coded direction. The original source or its indexed/manual representation supports the row; no event-field correction is required.",V5_MANUAL_SOURCE_BACKFILL_V1,2026-08-17
