event_row_id,batch_id,subject_id,name,preassigned_axis,event_year,polarity,event_type,event_description,source_url,source_title,source_publisher,source_date,source_quality,exclude,exclude_reason,source_batch_file,source_url_valid,event_keyword_family
48fbeb30e83a2bff93ee,1,V5DEV_009,Loris Stecca,COMPETITIVE,1984,positive,world_title_win,Defeated Leonardo Cruz to win the WBA super-bantamweight world title.,https://openboxing.org/super-bantamweight/wba/,Super Bantamweight - World Boxing Association title history,Open Boxing,,high,False,,research/ml/artifacts/v5_event_collection_repaired/results_post_repair/batch_01/V5_DEV_EVENT_BATCH_01_EVENTS_POST_REPAIR.csv,True,title
ab1fec66576fe6becc55,1,V5DEV_009,Loris Stecca,COMPETITIVE,1984,negative,world_title_loss,Lost the WBA super-bantamweight title to Victor Callejas by knockout.,https://openboxing.org/super-bantamweight/wba/,Super Bantamweight - World Boxing Association title history,Open Boxing,,high,False,,research/ml/artifacts/v5_event_collection_repaired/results_post_repair/batch_01/V5_DEV_EVENT_BATCH_01_EVENTS_POST_REPAIR.csv,True,title
74ffe190e97770fa6a6b,1,V5DEV_009,Loris Stecca,COMPETITIVE,1985,negative,world_title_challenge_loss,Lost a WBA super-bantamweight world-title rematch to Victor Callejas.,https://openboxing.org/super-bantamweight/wba/,Super Bantamweight - World Boxing Association title history,Open Boxing,,high,False,,research/ml/artifacts/v5_event_collection_repaired/results_post_repair/batch_01/V5_DEV_EVENT_BATCH_01_EVENTS_POST_REPAIR.csv,True,title
d49af6f2ded294b51893,1,V5DEV_065,Dario Fo,PROJECT,1962,negative,project_exit_due_censorship,Fo and Franca Rame left RAI's Canzonissima after censorship disputes over their sketches.,https://www.teche.rai.it/2021/10/la-canzonissima-di-dario-fo-e-franca-rame/,"La Canzonissima di Dario Fo e Franca Rame, 1962",RAI Teche,2021-10-13,high,False,,research/ml/artifacts/v5_event_collection_repaired/results_post_repair/batch_01/V5_DEV_EVENT_BATCH_01_EVENTS_POST_REPAIR.csv,True,resign
96f6bb23e02b4d4c7e96,1,V5DEV_065,Dario Fo,PROJECT,1969,positive,major_work_breakthrough,Mistero Buffo premiered and became the work with which Fo made his name internationally.,https://www.nobelprize.org/prizes/literature/1997/fo/facts/,Dario Fo - Facts,NobelPrize.org,,high,False,,research/ml/artifacts/v5_event_collection_repaired/results_post_repair/batch_01/V5_DEV_EVENT_BATCH_01_EVENTS_POST_REPAIR.csv,True,release
2f06c7e17b2a58c5ed9e,1,V5DEV_065,Dario Fo,PROJECT,1970,positive,major_work_success,Accidental Death of an Anarchist premiered and became one of Fo's most performed plays.,https://www.nobelprize.org/prizes/literature/1997/fo/facts/,Dario Fo - Facts,NobelPrize.org,,high,False,,research/ml/artifacts/v5_event_collection_repaired/results_post_repair/batch_01/V5_DEV_EVENT_BATCH_01_EVENTS_POST_REPAIR.csv,True,
dd9e248b80326d0af86c,1,V5DEV_065,Dario Fo,PROJECT,1997,positive,career_award,Received the Nobel Prize in Literature.,https://www.nobelprize.org/prizes/literature/1997/fo/facts/,Dario Fo - Facts,NobelPrize.org,,high,True,PROJECT axis requires project-specific outcome rather than an oeuvre-wide career award.,research/ml/artifacts/v5_event_collection_repaired/results_post_repair/batch_01/V5_DEV_EVENT_BATCH_01_EVENTS_POST_REPAIR.csv,True,award
f8074767e6f8108e64e6,1,V5DEV_133,Édouard Leclerc,STATUS,1949,positive,leadership_accession,Opened the first E.Leclerc store in Landerneau and established the retail movement that bore his name.,https://p1.histoireetarchives.leclerc/chronologie,Chronologie - de 1949 à nos jours,E.Leclerc Histoire et Archives,,high,False,,research/ml/artifacts/v5_event_collection_repaired/results_post_repair/batch_01/V5_DEV_EVENT_BATCH_01_EVENTS_POST_REPAIR.csv,True,office
ef83cc0e15749da12600,1,V5DEV_133,Édouard Leclerc,STATUS,1960,positive,policy_influence,His campaign helped secure a government decree supporting free competition and prohibiting refusal to sell.,https://www.lemonde.fr/en/summer-reads/article/2024/08/19/for-the-leclercs-only-the-name-is-inherited_6718339_183.html,"For the Leclercs, only the name is inherited",Le Monde,2024-08-19,high,True,Not a direct STATUS gain under the frozen definition.,research/ml/artifacts/v5_event_collection_repaired/results_post_repair/batch_01/V5_DEV_EVENT_BATCH_01_EVENTS_POST_REPAIR.csv,True,
96faf43b2172eeb44cca,1,V5DEV_049,Ilse Künkele,PROJECT,1991,,acting_credit,Appeared in Die Machtprobe (1991/1992).,https://www.filmportal.de/person/ilse-kuenkele_175a0dc0dc614df5a3ba5c6e94f6d347,Ilse Künkele - Filmografie,filmportal.de,,high,True,Credit/release alone is not an eligible PROJECT outcome.,research/ml/artifacts/v5_event_collection_repaired/results_post_repair/batch_01/V5_DEV_EVENT_BATCH_01_EVENTS_POST_REPAIR.csv,True,
