feature,global_coefficient,scaler_mean,scaler_scale
diff__tg10__dw_branch_hidden_bijian,0.13903678000132264,0.014680483592400694,0.17693034005572905
diff__tg10__dw_branch_hidden_jiecai,-0.372492286533559,0.004317789291882557,0.12969477604735233
diff__tg10__dw_branch_hidden_pian_cai,-0.18525086000036045,0.006044905008635578,0.13182770043013045
diff__tg10__dw_branch_hidden_pian_yin,-0.44224322954348266,0.004317789291882558,0.1433974162491701
diff__tg10__dw_branch_hidden_qi_sha,-0.161287478925839,0.014680483592400694,0.17281516754886336
diff__tg10__dw_branch_hidden_shangguan,-1.0009939453512053,0.004317789291882556,0.1307997995160226
diff__tg10__dw_branch_hidden_shishen,0.23058236897432782,-0.013816925734024177,0.12037265534855146
diff__tg10__dw_branch_hidden_zheng_cai,0.693517485861384,-0.013816925734024179,0.11423796679898925
diff__tg10__dw_branch_hidden_zheng_guan,0.7049639762453223,-0.026770293609671845,0.16537527559247958
diff__tg10__dw_branch_hidden_zheng_yin,0.291690827652222,0.006044905008635579,0.16039410389725206
diff__tg10__dw_stem_bijian,-0.10364007615683704,0.03626943005181347,0.18695977774786235
diff__tg10__dw_stem_jiecai,0.15178413983160335,-0.025906735751295335,0.15885709551042373
diff__tg10__dw_stem_pian_cai,-0.3311702168052696,0.07253886010362694,0.27863895667873056
diff__tg10__dw_stem_pian_yin,-0.3649427261819815,0.015544041450777202,0.21538455638162204
diff__tg10__dw_stem_qi_sha,-0.22898535507767043,0.010362694300518135,0.1760133445747464
diff__tg10__dw_stem_shangguan,-0.25459498141263764,-0.025906735751295335,0.2775771033363497
diff__tg10__dw_stem_shishen,-0.8647413611625041,0.025906735751295335,0.2775771033363497
diff__tg10__dw_stem_zheng_cai,1.1677498383340288,-0.046632124352331605,0.2748556934689087
diff__tg10__dw_stem_zheng_guan,-0.4173690829892916,-0.015544041450777202,0.18980993869444768
diff__tg10__dw_stem_zheng_yin,1.1762724023481639,-0.046632124352331605,0.23413727518538868
diff__tg10__sw_branch_hidden_bijian,-0.4068086743035969,-0.018134715025906734,0.2955033920890673
diff__tg10__sw_branch_hidden_jiecai,-0.19881911597043148,-0.0008635578583765139,0.31214958906691126
diff__tg10__sw_branch_hidden_pian_cai,0.6520761821190357,-0.01813471502590674,0.2974452306122598
diff__tg10__sw_branch_hidden_pian_yin,-0.08694021385587478,-0.022452504317789296,0.340699568433376
diff__tg10__sw_branch_hidden_qi_sha,0.028908706909220518,0.002590673575129529,0.2513502305183782
diff__tg10__sw_branch_hidden_shangguan,0.025834601820159307,-0.01381692573402418,0.3313137383154164
diff__tg10__sw_branch_hidden_shishen,0.1336579508434298,0.050949913644214154,0.2706534158791474
diff__tg10__sw_branch_hidden_zheng_cai,0.10731197131891568,0.011226252158894643,0.2909408319454188
diff__tg10__sw_branch_hidden_zheng_guan,-0.22672425825903247,0.015544041450777198,0.27938198808831644
diff__tg10__sw_branch_hidden_zheng_yin,-0.006663125321961918,-0.00690846286701209,0.2913224946363944
diff__tg10__sw_stem_bijian,-0.3988383769189435,0.05699481865284974,0.43412145213789455
diff__tg10__sw_stem_jiecai,-0.1020289163625627,0.06217616580310881,0.40241425572948397
diff__tg10__sw_stem_pian_cai,-0.15471408810408208,-0.06217616580310881,0.473406167067375
diff__tg10__sw_stem_pian_yin,0.08637185556813962,0.031088082901554404,0.4307691127632441
diff__tg10__sw_stem_qi_sha,0.03551193848291354,-0.025906735751295335,0.4126903160982358
diff__tg10__sw_stem_shangguan,0.3165723288541767,0.02072538860103627,0.45477944575112317
diff__tg10__sw_stem_shishen,0.3016254420513536,-0.02072538860103627,0.487762675057505
diff__tg10__sw_stem_zheng_cai,0.05184146456373855,-0.02072538860103627,0.44323994627874036
diff__tg10__sw_stem_zheng_guan,-0.04560060259943029,0.0,0.4437242293472879
diff__tg10__sw_stem_zheng_yin,-0.12537064683191212,-0.04145077720207254,0.4646486988900593
