C,inner_balanced_macro,inner_p10,repeat,fold,model
0.1,0.5586080586080587,0.5100732600732601,0,0,TG10_SHARED_RIDGE_BALANCED
0.003,0.553978428978429,0.4869658119658119,0,0,TG10_SHARED_RIDGE_BALANCED
0.01,0.5393264143264144,0.49099511599511597,0,0,TG10_SHARED_RIDGE_BALANCED
3.0,0.5393264143264143,0.4904456654456654,0,0,TG10_SHARED_RIDGE_BALANCED
0.3,0.5376984126984127,0.486996336996337,0,0,TG10_SHARED_RIDGE_BALANCED
1.0,0.5324582824582824,0.4912087912087912,0,0,TG10_SHARED_RIDGE_BALANCED
0.03,0.5243691493691494,0.4704822954822955,0,0,TG10_SHARED_RIDGE_BALANCED
3.0,0.8011294261294261,0.7557692307692307,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
1.0,0.7576312576312576,0.7296703296703297,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.3,0.6543040293040293,0.6052197802197803,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.1,0.6215404965404966,0.5491452991452992,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.03,0.5672059422059422,0.4461843711843712,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.01,0.5599308099308099,0.44548229548229545,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.003,0.5389702889702889,0.477045177045177,0,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
3.0,0.6409613173839518,0.5828561634443987,0,1,TG10_SHARED_RIDGE_BALANCED
1.0,0.6322443523370633,0.5763678989382314,0,1,TG10_SHARED_RIDGE_BALANCED
0.3,0.6292828814408099,0.5607020430549842,0,1,TG10_SHARED_RIDGE_BALANCED
0.003,0.6228165607481464,0.569331550802139,0,1,TG10_SHARED_RIDGE_BALANCED
0.1,0.6153584214166056,0.5563499245852187,0,1,TG10_SHARED_RIDGE_BALANCED
0.03,0.6059710696379493,0.5540771973124914,0,1,TG10_SHARED_RIDGE_BALANCED
