repeat,fold,n_test_pairs,n_test_subjects,positive_earlier_share
0,0,39,20,0.6410256410256411
0,1,38,19,0.6052631578947368
0,2,39,20,0.6153846153846154
0,3,39,21,0.6153846153846154
0,4,38,20,0.631578947368421
1,0,39,20,0.6410256410256411
1,1,38,19,0.631578947368421
1,2,39,21,0.6153846153846154
1,3,39,21,0.6153846153846154
1,4,38,19,0.6052631578947368
2,0,39,20,0.6153846153846154
2,1,38,19,0.631578947368421
2,2,39,21,0.6153846153846154
2,3,39,21,0.6153846153846154
2,4,38,19,0.631578947368421
3,0,38,19,0.6052631578947368
3,1,38,20,0.631578947368421
3,2,40,21,0.625
3,3,38,19,0.631578947368421
3,4,39,21,0.6153846153846154
4,0,39,20,0.6153846153846154
4,1,38,18,0.631578947368421
4,2,39,21,0.6410256410256411
4,3,39,21,0.6153846153846154
4,4,38,20,0.6052631578947368
