pair_id,subject_id,positive_earlier_calc,preassigned_axis,collection_wave,repeat,fold,model,score_kind,correct
PRIMARY_TRUSTED_0016,V5DEVX_036,1,STATUS,E1,0,0,TG10_SHARED_RIDGE_BALANCED,GENERAL,1.0
PRIMARY_TRUSTED_0021,V5DEVX_049,1,COMPETITIVE,E1,0,0,TG10_SHARED_RIDGE_BALANCED,GENERAL,1.0
PRIMARY_TRUSTED_0022,V5DEVX_049,1,COMPETITIVE,E1,0,0,TG10_SHARED_RIDGE_BALANCED,GENERAL,1.0
PRIMARY_TRUSTED_0023,V5DEVX_049,1,COMPETITIVE,E1,0,0,TG10_SHARED_RIDGE_BALANCED,GENERAL,1.0
PRIMARY_TRUSTED_0024,V5DEVX_049,0,COMPETITIVE,E1,0,0,TG10_SHARED_RIDGE_BALANCED,GENERAL,1.0
PRIMARY_TRUSTED_0027,V5DEVX_055,0,COMPETITIVE,E1,0,0,TG10_SHARED_RIDGE_BALANCED,GENERAL,1.0
PRIMARY_TRUSTED_0028,V5DEVX_055,0,COMPETITIVE,E1,0,0,TG10_SHARED_RIDGE_BALANCED,GENERAL,1.0
PRIMARY_TRUSTED_0039,V5DEVX_128,1,STATUS,E1,0,0,TG10_SHARED_RIDGE_BALANCED,GENERAL,0.0
PRIMARY_TRUSTED_0049,V5DEVX_148,0,COMPETITIVE,E1,0,0,TG10_SHARED_RIDGE_BALANCED,GENERAL,0.0
PRIMARY_TRUSTED_0050,V5DEVX_148,0,COMPETITIVE,E1,0,0,TG10_SHARED_RIDGE_BALANCED,GENERAL,0.0
PRIMARY_TRUSTED_0051,V5DEVX_148,1,COMPETITIVE,E1,0,0,TG10_SHARED_RIDGE_BALANCED,GENERAL,1.0
PRIMARY_TRUSTED_0058,V5DEVE2_001,1,COMPETITIVE,E2,0,0,TG10_SHARED_RIDGE_BALANCED,GENERAL,1.0
PRIMARY_TRUSTED_0059,V5DEVE2_001,0,COMPETITIVE,E2,0,0,TG10_SHARED_RIDGE_BALANCED,GENERAL,1.0
PRIMARY_TRUSTED_0060,V5DEVE2_003,1,STATUS,E2,0,0,TG10_SHARED_RIDGE_BALANCED,GENERAL,1.0
PRIMARY_TRUSTED_0075,V5DEVE2_106,1,COMPETITIVE,E2,0,0,TG10_SHARED_RIDGE_BALANCED,GENERAL,1.0
PRIMARY_TRUSTED_0076,V5DEVE2_115,1,COMPETITIVE,E2,0,0,TG10_SHARED_RIDGE_BALANCED,GENERAL,1.0
PRIMARY_TRUSTED_0094,V5DEV_011,1,COMPETITIVE,ORIGINAL,0,0,TG10_SHARED_RIDGE_BALANCED,GENERAL,0.0
